sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local
1000,1,C,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a business document.,Accounts Payable,0,ID,AP01a_GE01_01,/AP01a_GE01_01,$.Account Payable Adjustment.Accounting Ledger.ID,AcntPblAdjstLedgr.Id,,
1001,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a business document.,Accounts Payable,0,Accounting Ledger,AP01b_GE01_01,/AP01a_GE01_01/AP01b_GE01_01,$.Account Payable Adjustment.Accounting Ledger.ID,AcntPblAdjstLedgr.Id,,
1002,2,A,,Number,Char,0..1,Char Long,"The number for a business document, facilitating its recognition and retrieval within a system.",Accounts Payable,0,Accounting Ledger,AP01c_GE01_02,/AP01a_GE01_01/AP01c_GE01_02,$.Account Payable Adjustment.Accounting Ledger.Number,AcntPblAdjstLedgr.Nr,,
1003,2,A,,Date,Date,0..1,DATE,The date on the business document.,Accounts Payable,0,Accounting Ledger,AP01d_GE01_03,/AP01a_GE01_01/AP01d_GE01_03,$.Account Payable Adjustment.Accounting Ledger.Date,AcntPblAdjstLedgr.Dt,,
1004,2,R,,Accounting Period,,0..1,,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,22,Accounting Period,BS03a,/AP01a_GE01_01/BS03a,$.Account Payable Adjustment.Accounting Ledger.Accounting Period,AcntPblAdjstLedgr.AccntPer,,
1005,3,A,REF,Fiscal Year,Identifier,1..1,YEAR,"The year for which financial records are kept, expressed in four digits.",Accounts Payable,22,Accounting Period,BS03a_01,/AP01a_GE01_01/BS03a_01,$.Account Payable Adjustment.Accounting Ledger.Accounting Period.Fiscal Year,AcntPblAdjstLedgr.AccntPer.FiscYr,,
1006,3,A,REF,ID,Identifier,1..1,PERIOD IDENTIFIER,The span of time covered by an accounting record.,Accounts Payable,22,Accounting Period,BS03a_02,/AP01a_GE01_01/BS03a_02,$.Account Payable Adjustment.Accounting Ledger.Accounting Period.ID,AcntPblAdjstLedgr.AccntPer.Id,,
1007,2,R,,General Ledger Journal Entry Line,,0..1,,"The reference association to the General Ledger Journal Entry Line class, which is a class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,52,General Ledger Journal Entry Line,GL04a,/AP01a_GE01_01/GL04a,$.Account Payable Adjustment.Accounting Ledger.General Ledger Journal Entry Line,AcntPblAdjstLedgr.GenrLedgrJrnEntryLn,,
1008,3,A,REF,Journal ID,Identifier,1..1,Identifier Long,"Unique identifier for each journal entry line.
",Accounts Payable,52,General Ledger Journal Entry Line,GL04a_01,/AP01a_GE01_01/GL04a_01,$.Account Payable Adjustment.Accounting Ledger.General Ledger Journal Entry Line.Journal ID,AcntPblAdjstLedgr.GenrLedgrJrnEntryLn.JrnId,,
1009,2,R,,(Credit) Ledger Account,,0..1,,"The reference association to the Credit Ledger Account class, which is a class stores information about General Ledger accounts.",Accounts Payable,0,(Credit) Ledger Account,GE24a,/AP01a_GE01_01/GE24a,$.Account Payable Adjustment.Accounting Ledger.(Credit) Ledger Account,AcntPblAdjstLedgr.CrdtLedgrAcnt,,
1010,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Accounts Payable,0,(Credit) Ledger Account,GE24a_01,/AP01a_GE01_01/GE24a_01,$.Account Payable Adjustment.Accounting Ledger.(Credit) Ledger Account.Account Number,AcntPblAdjstLedgr.CrdtLedgrAcnt.AcntNr,,
1011,2,R,,(Debit) Ledger Account,,0..1,,"The reference association to the Debit Ledger Account class, which is a class stores information about General Ledger accounts.",Accounts Payable,0,(Debit) Ledger Account,GE24b,/AP01a_GE01_01/GE24b,$.Account Payable Adjustment.Accounting Ledger.(Debit) Ledger Account,AcntPblAdjstLedgr.DebtLedgrAcnt,,
1012,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Accounts Payable,0,(Debit) Ledger Account,GE24b_01,/AP01a_GE01_01/GE24b_01,$.Account Payable Adjustment.Accounting Ledger.(Debit) Ledger Account.Account Number,AcntPblAdjstLedgr.DebtLedgrAcnt.AcntNr,,
1013,2,C,,Activities,,0..1,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Payable,0,Activities,GE08a,/AP01a_GE01_01/GE08a,$.Account Payable Adjustment.Accounting Ledger.Activities,AcntPblAdjstLedgr.Acts,,
1014,3,C,,(Approved) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Accounts Payable,0,(Approved) Activity,GE09a,/AP01a_GE01_01/GE09a,$.Account Payable Adjustment.Accounting Ledger.Activities.(Approved) Activity,AcntPblAdjstLedgr.Acts.ApprvAct,,
1015,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Accounts Payable,0,(Approved) Activity,GE09a_01,/AP01a_GE01_01/GE09a_01,$.Account Payable Adjustment.Accounting Ledger.Activities.(Approved) Activity.Date,AcntPblAdjstLedgr.Acts.ApprvAct.Dt,,
1016,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Accounts Payable,0,(Approved) Activity,GE09a_02,/AP01a_GE01_01/GE09a_02,$.Account Payable Adjustment.Accounting Ledger.Activities.(Approved) Activity.Time,AcntPblAdjstLedgr.Acts.ApprvAct.Tm,,
1017,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Accounts Payable,0,User,GE18a,/AP01a_GE01_01/GE18a,$.Account Payable Adjustment.Accounting Ledger.Activities.(Approved) Activity.User,AcntPblAdjstLedgr.Acts.ApprvAct.Usr,,
1018,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Accounts Payable,0,User,GE18a_01,/AP01a_GE01_01/GE18a_01,$.Account Payable Adjustment.Accounting Ledger.Activities.(Approved) Activity.User.ID,AcntPblAdjstLedgr.Acts.ApprvAct.Usr.Id,,
1019,3,C,,(Created) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Accounts Payable,0,(Created) Activity,GE09b,/AP01a_GE01_01/GE09b,$.Account Payable Adjustment.Accounting Ledger.Activities.(Created) Activity,AcntPblAdjstLedgr.Acts.CrtdAct,,
1020,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Accounts Payable,0,(Created) Activity,GE09b_01,/AP01a_GE01_01/GE09b_01,$.Account Payable Adjustment.Accounting Ledger.Activities.(Created) Activity.Date,AcntPblAdjstLedgr.Acts.CrtdAct.Dt,,
1021,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Accounts Payable,0,(Created) Activity,GE09b_02,/AP01a_GE01_01/GE09b_02,$.Account Payable Adjustment.Accounting Ledger.Activities.(Created) Activity.Time,AcntPblAdjstLedgr.Acts.CrtdAct.Tm,,
1022,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Accounts Payable,0,User,GE18b,/AP01a_GE01_01/GE18b,$.Account Payable Adjustment.Accounting Ledger.Activities.(Created) Activity.User,AcntPblAdjstLedgr.Acts.CrtdAct.Usr,,
1023,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Accounts Payable,0,User,GE18b_01,/AP01a_GE01_01/GE18b_01,$.Account Payable Adjustment.Accounting Ledger.Activities.(Created) Activity.User.ID,AcntPblAdjstLedgr.Acts.CrtdAct.Usr.Id,,
1024,3,C,,(Last Modified) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Accounts Payable,0,(Last Modified) Activity,GE09c,/AP01a_GE01_01/GE09c,$.Account Payable Adjustment.Accounting Ledger.Activities.(Last Modified) Activity,AcntPblAdjstLedgr.Acts.LastMdfdAct,,
1025,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Accounts Payable,0,(Last Modified) Activity,GE09c_01,/AP01a_GE01_01/GE09c_01,$.Account Payable Adjustment.Accounting Ledger.Activities.(Last Modified) Activity.Date,AcntPblAdjstLedgr.Acts.LastMdfdAct.Dt,,
1026,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Accounts Payable,0,(Last Modified) Activity,GE09c_02,/AP01a_GE01_01/GE09c_02,$.Account Payable Adjustment.Accounting Ledger.Activities.(Last Modified) Activity.Time,AcntPblAdjstLedgr.Acts.LastMdfdAct.Tm,,
1027,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Accounts Payable,0,User,GE18c,/AP01a_GE01_01/GE18c,$.Account Payable Adjustment.Accounting Ledger.Activities.(Last Modified) Activity.User,AcntPblAdjstLedgr.Acts.LastMdfdAct.Usr,,
1028,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Accounts Payable,0,User,GE18c_01,/AP01a_GE01_01/GE18c_01,$.Account Payable Adjustment.Accounting Ledger.Activities.(Last Modified) Activity.User.ID,AcntPblAdjstLedgr.Acts.LastMdfdAct.Usr.Id,,
1029,3,C,,(Posted) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Accounts Payable,0,(Posted) Activity,GE09d,/AP01a_GE01_01/GE09d,$.Account Payable Adjustment.Accounting Ledger.Activities.(Posted) Activity,AcntPblAdjstLedgr.Acts.PstdAct,,
1030,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Accounts Payable,0,(Posted) Activity,GE09d_01,/AP01a_GE01_01/GE09d_01,$.Account Payable Adjustment.Accounting Ledger.Activities.(Posted) Activity.Date,AcntPblAdjstLedgr.Acts.PstdAct.Dt,,
1031,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Accounts Payable,0,(Posted) Activity,GE09d_02,/AP01a_GE01_01/GE09d_02,$.Account Payable Adjustment.Accounting Ledger.Activities.(Posted) Activity.Time,AcntPblAdjstLedgr.Acts.PstdAct.Tm,,
1032,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Accounts Payable,0,User,GE18d,/AP01a_GE01_01/GE18d,$.Account Payable Adjustment.Accounting Ledger.Activities.(Posted) Activity.User,AcntPblAdjstLedgr.Acts.PstdAct.Usr,,
