sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local
1000,1,C,,Contact,,,,A class that details the communication information for an individual or entity.,General,0,Contact,GE08a,/GE08a,$.Contact,Cnt,,
1001,2,A,,Name,Name,0..1,Name Medium,The full name of an individual or entity that is a point of contact.,General,0,Contact,GE08a_01,/GE08a/GE08a_01,$.Contact.Name,Cnt.Nam,,
1002,2,A,,Phone,Char,0..1,PHONE NUMBER,The telephone number associated with a contact.,General,0,Contact,GE08a_02,/GE08a/GE08a_02,$.Contact.Phone,Cnt.Phn,,
1003,2,A,,Email,Char,0..1,EMAIL,The electronic mail address associated with a contact.,General,0,Contact,GE08a_03,/GE08a/GE08a_03,$.Contact.Email,Cnt.Eml,,
1004,1,C,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a contract.,Purchase,0,ID,PR01a_GE09_01,/PR01a_GE09_01,$.Purchase Contract.Contract.ID,PurCntrc.Id,,
1005,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a contract.,Purchase,0,Contract,PR01b_GE09_01,/PR01a_GE09_01/PR01b_GE09_01,$.Purchase Contract.Contract.ID,PurCntrc.Id,,
1006,2,A,,Number,Char,0..1,Char Long,"The number for a contract, facilitating its recognition and retrieval within a system.",Purchase,0,Contract,PR01c_GE09_02,/PR01a_GE09_01/PR01c_GE09_02,$.Purchase Contract.Contract.Number,PurCntrc.Nr,,
1007,2,A,,Type Name,Name,0..1,Name Medium,The classification title given to a contract that specifies its nature and terms within the context of sales and purchase activities.,Purchase,0,Contract,PR01d_GE09_03,/PR01a_GE09_01/PR01d_GE09_03,$.Purchase Contract.Contract.Type Name,PurCntrc.TypNam,,
1008,2,A,,Beginning Date,Date,0..1,DATE,The date on which the terms of a contract become effective.,Purchase,0,Contract,PR01e_GE09_04,/PR01a_GE09_01/PR01e_GE09_04,$.Purchase Contract.Contract.Beginning Date,PurCntrc.BegDt,,
1009,2,A,,Ending Date,Date,0..1,DATE,The date on which the terms of a contract conclude or expire.,Purchase,0,Contract,PR01f_GE09_05,/PR01a_GE09_01/PR01f_GE09_05,$.Purchase Contract.Contract.Ending Date,PurCntrc.EndDt,,
1010,2,A,,Status,Code,0..1,STATUS CODE,The current state of the contract's lifecycle.,Purchase,0,Contract,PR01g_GE09_06,/PR01a_GE09_01/PR01g_GE09_06,$.Purchase Contract.Contract.Status,PurCntrc.Stat,,
1011,2,A,,Remark,Text,0..1,Text Medium,Annotations or supplemental information for a contract.,Purchase,0,Contract,PR01h_GE09_07,/PR01a_GE09_01/PR01h_GE09_07,$.Purchase Contract.Contract.Remark,PurCntrc.Remrk,,
1012,2,R,,(Transaction) Currency,,0..1,,"The reference association to the Transaction Currency class, which is a class holds information about different currencies.",Purchase,30,(Transaction) Currency,BS06a,/PR01a_GE09_01/BS06a,$.Purchase Contract.Contract.(Transaction) Currency,PurCntrc.TrnscCur,,
1013,3,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,(Transaction) Currency,BS06a_01,/PR01a_GE09_01/BS06a_01,$.Purchase Contract.Contract.(Transaction) Currency.Code,PurCntrc.TrnscCur.Cd,,
1014,2,R,,Payment Term,,0..1,,"The reference association to the Payment Term class, which is a class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Purchase,34,Payment Term,BS19a,/PR01a_GE09_01/BS19a,$.Purchase Contract.Contract.Payment Term,PurCntrc.PayTerm,,
1015,3,A,REF,Code,Identifier,1..1,PAYMENT TERM CODE,The unique code denoting the terms of payment.,Purchase,34,Payment Term,BS19a_01,/PR01a_GE09_01/BS19a_01,$.Purchase Contract.Contract.Payment Term.Code,PurCntrc.PayTerm.Cd,,
1016,2,R,,Settlement Method,,0..1,,"The reference association to the Settlement Method class, which is a class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Purchase,28,Settlement Method,BS22a,/PR01a_GE09_01/BS22a,$.Purchase Contract.Contract.Settlement Method,PurCntrc.SetlMethd,,
1017,3,A,REF,Code,Identifier,1..1,Identifier Medium,The unique code describing how a transaction is settled.,Purchase,28,Settlement Method,BS22a_01,/PR01a_GE09_01/BS22a_01,$.Purchase Contract.Contract.Settlement Method.Code,PurCntrc.SetlMethd.Cd,,
1018,2,C,,Activities,,0..1,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,0,Activities,GE02a,/PR01a_GE09_01/GE02a,$.Purchase Contract.Contract.Activities,PurCntrc.Acts,,
1019,3,C,,(Approved) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Approved) Activity,GE03a,/PR01a_GE09_01/GE03a,$.Purchase Contract.Contract.Activities.(Approved) Activity,PurCntrc.Acts.ApprvAct,,
1020,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Approved) Activity,GE03a_01,/PR01a_GE09_01/GE03a_01,$.Purchase Contract.Contract.Activities.(Approved) Activity.Date,PurCntrc.Acts.ApprvAct.Dt,,
1021,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Approved) Activity,GE03a_02,/PR01a_GE09_01/GE03a_02,$.Purchase Contract.Contract.Activities.(Approved) Activity.Time,PurCntrc.Acts.ApprvAct.Tm,,
1022,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS29a,/PR01a_GE09_01/BS29a,$.Purchase Contract.Contract.Activities.(Approved) Activity.User,PurCntrc.Acts.ApprvAct.Usr,,
1023,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS29a_01,/PR01a_GE09_01/BS29a_01,$.Purchase Contract.Contract.Activities.(Approved) Activity.User.ID,PurCntrc.Acts.ApprvAct.Usr.Id,,
1024,3,C,,(Created) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Created) Activity,GE03b,/PR01a_GE09_01/GE03b,$.Purchase Contract.Contract.Activities.(Created) Activity,PurCntrc.Acts.CrtdAct,,
1025,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Created) Activity,GE03b_01,/PR01a_GE09_01/GE03b_01,$.Purchase Contract.Contract.Activities.(Created) Activity.Date,PurCntrc.Acts.CrtdAct.Dt,,
1026,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Created) Activity,GE03b_02,/PR01a_GE09_01/GE03b_02,$.Purchase Contract.Contract.Activities.(Created) Activity.Time,PurCntrc.Acts.CrtdAct.Tm,,
1027,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS29b,/PR01a_GE09_01/BS29b,$.Purchase Contract.Contract.Activities.(Created) Activity.User,PurCntrc.Acts.CrtdAct.Usr,,
1028,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS29b_01,/PR01a_GE09_01/BS29b_01,$.Purchase Contract.Contract.Activities.(Created) Activity.User.ID,PurCntrc.Acts.CrtdAct.Usr.Id,,
1029,3,C,,(Last Modified) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Last Modified) Activity,GE03c,/PR01a_GE09_01/GE03c,$.Purchase Contract.Contract.Activities.(Last Modified) Activity,PurCntrc.Acts.LastMdfdAct,,
1030,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Last Modified) Activity,GE03c_01,/PR01a_GE09_01/GE03c_01,$.Purchase Contract.Contract.Activities.(Last Modified) Activity.Date,PurCntrc.Acts.LastMdfdAct.Dt,,
1031,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Last Modified) Activity,GE03c_02,/PR01a_GE09_01/GE03c_02,$.Purchase Contract.Contract.Activities.(Last Modified) Activity.Time,PurCntrc.Acts.LastMdfdAct.Tm,,
