sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path
3713,1,C,,JP Purchase Order,,,,A class representing a formal request to a vendor for the supply of goods or services within a specified period.,JP,0,JP Purchase Order,JP17a,/JP17a,/JP Purchase Order
3714,2,A,PK,ID,Identifier,1..1,Identifier Long,The unique identifier for an order.,JP,0,JP Purchase Order,JP17a_JP15_GE13_01,/JP17a/JP17a_JP15_GE13_01,/JP Purchase Order/ID
3715,2,A,,Number,Char,0..1,Char Long,"The number for an order, generated manually or by the system.",JP,0,JP Purchase Order,JP17a_JP15_GE13_02,/JP17a/JP17a_JP15_GE13_02,/JP Purchase Order/Number
3716,2,A,,Type Name,Name,0..1,Name Medium,The label that specifies the type of order within sales or purchasing activities.,JP,0,JP Purchase Order,JP17a_JP15_GE13_03,/JP17a/JP17a_JP15_GE13_03,/JP Purchase Order/Type Name
3717,2,A,,Date,Date,0..1,DATE,"The date on which a purchase order is made effective, distinct from the date of system entry.",JP,0,JP Purchase Order,JP17a_JP15_GE13_04,/JP17a/JP17a_JP15_GE13_04,/JP Purchase Order/Date
3718,2,A,,Status,Code,0..1,STATUS CODE,The current state of the order's lifecycle.,JP,0,JP Purchase Order,JP17a_JP15_GE13_05,/JP17a/JP17a_JP15_GE13_05,/JP Purchase Order/Status
3719,2,A,,Remark,Text,0..1,Text Medium,Annotations or supplemental information for an order.,JP,0,JP Purchase Order,JP17a_JP15_GE13_06,/JP17a/JP17a_JP15_GE13_06,/JP Purchase Order/Remark
3720,2,C,,Activities,,0..1,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",JP,0,Activities,GE02z,/JP17a/GE02z,/JP Purchase Order/Activities
3721,3,C,,(Approved) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Approved) Activity,GE03cc,/JP17a/GE03cc,/JP Purchase Order/Activities/(Approved) Activity
3722,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Approved) Activity,GE03cc_01,/JP17a/GE03cc_01,/JP Purchase Order/Activities/(Approved) Activity/Date
3723,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Approved) Activity,GE03cc_02,/JP17a/GE03cc_02,/JP Purchase Order/Activities/(Approved) Activity/Time
3724,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29ce,/JP17a/BS29ce,/JP Purchase Order/Activities/(Approved) Activity/User
3725,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29ce_01,/JP17a/BS29ce_01,/JP Purchase Order/Activities/(Approved) Activity/User/ID
3726,3,C,,(Created) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Created) Activity,GE03cd,/JP17a/GE03cd,/JP Purchase Order/Activities/(Created) Activity
3727,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Created) Activity,GE03cd_01,/JP17a/GE03cd_01,/JP Purchase Order/Activities/(Created) Activity/Date
3728,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Created) Activity,GE03cd_02,/JP17a/GE03cd_02,/JP Purchase Order/Activities/(Created) Activity/Time
3729,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29cf,/JP17a/BS29cf,/JP Purchase Order/Activities/(Created) Activity/User
3730,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29cf_01,/JP17a/BS29cf_01,/JP Purchase Order/Activities/(Created) Activity/User/ID
3731,3,C,,(Last Modified) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Last Modified) Activity,GE03ce,/JP17a/GE03ce,/JP Purchase Order/Activities/(Last Modified) Activity
3732,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Last Modified) Activity,GE03ce_01,/JP17a/GE03ce_01,/JP Purchase Order/Activities/(Last Modified) Activity/Date
3733,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Last Modified) Activity,GE03ce_02,/JP17a/GE03ce_02,/JP Purchase Order/Activities/(Last Modified) Activity/Time
3734,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29dg,/JP17a/BS29dg,/JP Purchase Order/Activities/(Last Modified) Activity/User
3735,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29dg_01,/JP17a/BS29dg_01,/JP Purchase Order/Activities/(Last Modified) Activity/User/ID
3736,3,C,,(Posted) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Posted) Activity,GE03cf,/JP17a/GE03cf,/JP Purchase Order/Activities/(Posted) Activity
3737,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Posted) Activity,GE03cf_01,/JP17a/GE03cf_01,/JP Purchase Order/Activities/(Posted) Activity/Date
3738,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Posted) Activity,GE03cf_02,/JP17a/GE03cf_02,/JP Purchase Order/Activities/(Posted) Activity/Time
3739,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29dh,/JP17a/BS29dh,/JP Purchase Order/Activities/(Posted) Activity/User
3740,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29dh_01,/JP17a/BS29dh_01,/JP Purchase Order/Activities/(Posted) Activity/User/ID
3741,2,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Transaction) Amount,GE05fr,/JP17a/GE05fr,/JP Purchase Order/(Transaction) Amount
3742,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Transaction) Amount,GE05fr_01,/JP17a/GE05fr_01,/JP Purchase Order/(Transaction) Amount/Value
3743,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06gz,/JP17a/BS06gz,/JP Purchase Order/(Transaction) Amount/Currency
3744,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06gz_01,/JP17a/BS06gz_01,/JP Purchase Order/(Transaction) Amount/Currency/Code
3745,2,R,,Accounting Period,,0..1,,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",JP,22,Accounting Period,BS01x,/JP17a/BS01x,/JP Purchase Order/Accounting Period
3746,3,A,REF,Fiscal Year,Identifier,1..1,YEAR,"The year for which financial records are kept, expressed in four digits.",JP,22,Accounting Period,BS01x_01,/JP17a/BS01x_01,/JP Purchase Order/Accounting Period/Fiscal Year
3747,3,A,REF,ID,Identifier,1..1,PERIOD IDENTIFIER,The span of time covered by an accounting record.,JP,22,Accounting Period,BS01x_02,/JP17a/BS01x_02,/JP Purchase Order/Accounting Period/ID
3748,2,R,,Payment Term,,0..1,,"The reference association to the Payment Term class, which is a class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",JP,34,Payment Term,BS19h,/JP17a/BS19h,/JP Purchase Order/Payment Term
3749,3,A,REF,Code,Identifier,1..1,PAYMENT TERM CODE,The unique code denoting the terms of payment.,JP,34,Payment Term,BS19h_01,/JP17a/BS19h_01,/JP Purchase Order/Payment Term/Code
3750,2,R,,Settlement Method,,0..1,,"The reference association to the Settlement Method class, which is a class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",JP,28,Settlement Method,BS22m,/JP17a/BS22m,/JP Purchase Order/Settlement Method
3751,3,A,REF,Code,Identifier,1..1,Identifier Medium,The unique code describing how a transaction is settled.,JP,28,Settlement Method,BS22m_01,/JP17a/BS22m_01,/JP Purchase Order/Settlement Method/Code
3752,2,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Local) Amount,GE05fs,/JP17a/GE05fs,/JP Purchase Order/(Local) Amount
3753,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Local) Amount,GE05fs_01,/JP17a/GE05fs_01,/JP Purchase Order/(Local) Amount/Value
3754,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06gA,/JP17a/BS06gA,/JP Purchase Order/(Local) Amount/Currency
3755,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06gA_01,/JP17a/BS06gA_01,/JP Purchase Order/(Local) Amount/Currency/Code
3756,2,R,,(Purchase Organization) Business Segment,,0..1,,"The reference association to the Purchase Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",JP,4,(Purchase Organization) Business Segment,BS04cT,/JP17a/BS04cT,/JP Purchase Order/(Purchase Organization) Business Segment
3757,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,(Purchase Organization) Business Segment,BS04cT_01,/JP17a/BS04cT_01,/JP Purchase Order/(Purchase Organization) Business Segment/Code
3758,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,(Purchase Organization) Business Segment,BS04cT_03,/JP17a/BS04cT_03,/JP Purchase Order/(Purchase Organization) Business Segment/Segment Reference Level
3759,2,R,,(Purchaser) Employee,,0..1,,"The reference association to the Purchaser Employee class, which is a class that holds individual employee details within a specific accounting entity.",JP,8,(Purchaser) Employee,BS14h,/JP17a/BS14h,/JP Purchase Order/(Purchaser) Employee
