Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/APA_SEKTSIOONID_enum,,,,,,,,,,,
codeListCode,APA_SEKTSIOONID_enum,,,,,,,,,,,
codeListName,Andmepõhise aruandluse sektsioonid,,,,,,,,,,,
,Klassifikaatori elemendi kood,"Sektsiooni vastuvõtuvõimekuse info asutuses (andmete vastuvõtt, faili struktuuri kontroll, sisukontrollid, tagasisideraporti tagastamine ning seotud aruannete kinnitamine)",Sektsiooni esitamise tähtaeg,Sektsioon on sisendiks järgnevatele Statistikaameti küsimustikele:,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
Asutus,code,,,,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,validFromDate,validUntilDate
Statistikaamet,EE0101001,Vastuvõtuvõimekus on seisuga 12.2023 olemas,Järgneva kalendrikuu 20. kuupäev,"1462 - Palk ja tööjõud (töövoog teostatud)
1410 - Mees- ja naistöötajate brutotunnitasu (töövoog teostatud)
1089 - Töötasu struktuur (töövoog planeerimisel)
1090 - Tööandja kulutused töötajatele (taksonoomia täiendavalt kaardistamisel + töövoog planeerimisel)",Palga- ja tööjõukuluandmed Statistikaametile,Labour cost data for Statistics Estonia,Данные о расходах на рабочую силу для Департамента статистики,Antud sektsioonis esitatakse tekkepõhised tööjõukuluandmed.,"In this section, accrual-based labour cost data are presented.",В данной секции представляют данные о расходах на рабочую силу по методу начисления.,2022-01-01,
Statistikaamet,EE0102001,Vastuvõtuvõimekus on seisuga 12.2023 olemas,Järgneva kalendrikuu 20. kuupäev,1462 - Palk ja tööjõud (töövoog teostatud),Täiendavad palga- ja tööjõukulu andmed Statistikaametile,Other data for Statistics Estonia,Дополнительные данные для Департамента статистики,"Antud sektsioonis esitatakse täiendavad andmed, mida ei esitata töötajate/osapoolte tasemel.","In this section, additional data not provided at the employee level are presented.","В данной секции представляют дополнительные данные, которые не представляют на уровне работников/ сторон.",2022-01-01,
Maksu- ja Tolliamet,EE0201001,"Vastuvõtuvõimekuse arendamise planeeritud aeg: 2025-2027
Täpsem ajakava on toodud välja:
https://reaalajamajandus.ee/andmepohine-aruandlus ","Isikutele väljamaksete tegemise kuule järgneva kuu 10. kuupäev või kui töötajale väljamakseid ei tehtud, esitatakse andmed töötaja sotsiaalmaksu kohustuse kohta sotsiaalmaksu kuumääralt töötasu väljamaksmiseks kokku lepitud kuule järgneva kuu 10-ndaks kuupäevaks.",,Tööjõumaksude andmed Maksu- ja Tolliametile,Labor tax data to the Tax and Customs Board,Данные налога на рабочую силу в Налогово-таможенный департамент,"Väljamaksed, mis tulenevad töösuhtest, mille kohta on TÖR-s registreeritud töötamise kanne sh VÕS ja juhatuse liikme töötasud",,,2022-01-01,
Maksu- ja Tolliamet,EE0201002,"Vastuvõtuvõimekuse arendamise planeeritud aeg: 2025-2027
Täpsem ajakava on toodud välja:
https://reaalajamajandus.ee/andmepohine-aruandlus ","Isikutele hüvitisite, toetuste jm väljamaksete tegemise kuule järgneva kuu 10. kuupäevaks",,"Hüvitisite, toetuste jm väljamaksete andmed Maksu- ja Tolliametile",,,"Väljamaksed, mis ei tulene otsesest töösuhtest (nt üüritulu, muu tulu, toetused, hüvitised, pension, Tervisekassa haigushüvitis, intressid jne)",,,2022-01-01,
Maksu- ja Tolliamet,EE0202001,"Vastuvõtuvõimekuse arendamise planeeritud aeg: 2025-2027
Täpsem ajakava on toodud välja:
https://reaalajamajandus.ee/andmepohine-aruandlus ","Sündmuspõhine sektsioon.
Töötamise alustamine tuleb registreerida hiljemalt tööd tegeva isiku tööle asumise hetkeks. 
Erandina tuleb 7–12-aastase lapse töötamine registreerida kümme tööpäeva enne lapse tööle asumist.
Töötamise peatumine ja lõpetamine registreeritakse kümne päeva jooksul töötamise peatumise või lõpetamise päevast arvates.",,TÖR andmed Maksu- ja Tolliametile,Employment data to the Tax and Customs Board,Данные о трудоустройстве в Налогово-таможенный департамент,,,,2022-01-01,
Maksu- ja Tolliamet,EE0203001,"Vastuvõtuvõimekuse arendamise planeeritud aeg: 2025-2026
Täpsem ajakava on toodud välja:
https://reaalajamajandus.ee/andmepohine-aruandlus ",Maksustamisperioodile järgneva kuu 20. kuupäev,,Ostu ja müügi tehingute ja toimingute andmed Maksu- ja Tolliametile,Data on purchase and sale transactions and acts to the Tax and Customs Board,Данные о сделках и операциях покупки и продажи для Налогово-таможенного департамента,Selles sektsioonis esitatakse ostu ja müügi tehingute ja toimingute andmed Maksu- ja Tolliametile.,"In this section, data on purchase and sale transactions and acts is submitted to the Tax and Customs Board.",В этом разделе представляются данные о сделках и операциях по покупке и продаже в Налогово-таможенный департамент.,2024-01-01,
Statistikaamet,EE0103001,"Vastuvõtuvõimekuse arendamise planeeritud aeg: 2024 aasta lõpuks, et võimaldada masin-masin andmeedastust alates 2025 a (esmane andmeedastus oleks veebruar 2025).",Järgneva kalendrikuu 10. kuupäev,"1157 - Majutustegevus 
Infoks: majutuse puhul on aruandluskohuslaseks asukohapõhine majutusüksus ning üks saadetav fail (aruanne) käib ühe aruandluskohuslase kohta.",Majutatute ja ööbimiste andmed Statistikaametile,Data on accommodated persons and overnight stays for Statistics Estonia,,Antud sektsioonis esitatakse majutatute ja ööbimiste andmed iga riigi ning reisi eesmärgi lõikes. ,"In this section, data on accommodated persons and overnight stays are presented by country of residence and purpose of the trip.",,2024-01-01,
Statistikaamet,EE0103002,"Vastuvõtuvõimekuse arendamise planeeritud aeg: 2024 aasta lõpuks, et võimaldada masin-masin andmeedastust alates 2025 a (esmane andmeedastus oleks veebruar 2025).",Järgneva kalendrikuu 10. kuupäev,"1157 - Majutustegevus 
Infoks: majutuse puhul on aruandluskohuslaseks asukohapõhine majutusüksus ning üks saadetav fail (aruanne) käib ühe aruandluskohuslase kohta.",Majutustubade ja -kohtade andmed Statistikaametile,Data on rooms and places of accommodation facilities for Statistics Estonia,,"Antud sektsioonis esitatakse infot majutustubade, voodikohtade ning laagri- ja haagissuvilaplatside koguarvude ja müügis olevate ruumide/kohtade arvude osas.","This section provides information on the total number of accommodation rooms, bed places and camping and caravan pitches, and on the number of rooms and places available for sale.",,2024-01-01,
Statistikaamet,EE0103003,"Vastuvõtuvõimekuse arendamise planeeritud aeg: 2024 aasta lõpuks, et võimaldada masin-masin andmeedastust alates 2025 a (esmane andmeedastus oleks veebruar 2025).",Järgneva kalendrikuu 10. kuupäev,"1157 - Majutustegevus 
Infoks: majutuse puhul on aruandluskohuslaseks asukohapõhine majutusüksus ning üks saadetav fail (aruanne) käib ühe aruandluskohuslase kohta.",Majutusasutuse täiendavad andmed Statistikaametile,Additional data on accommodation facilities for Statistics Estonia,,"Antud sektsioonis esitatakse info lahtiolekupäevade, müüdud tubaööpäevade ning sissetuleku osas.","This section provides information on opening days, sold room nights and income.",,2024-01-01,
