Klassifikaatori elementide täielik loetelu,,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/MUUTUSELIIK2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,MUUTUSELIIK2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Tehingute ja toimingute muutuse liik,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias tase kõrgemal oleva elemendi kood,Hierarhilise klassifikaatori elemendi tase,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate
ML_11,,1,1,Suurenemine,Increase,,"Soetamine, omandamine, saamine.","Purchase, Acquisition, Receipt.",,,,,,,,,,,,,,,2024-01-01,
ML_12,,1,1,Vähenemine,Decrease,,"Võõrandamine (vara), Tasumine (kohustis), Laekumine(nõue).","Sales (asset), Payment (liability), Receipt (claim).",,,,,,,,,,,,,,,2024-01-01,
ML_13,,1,1,Ümberliigitamine,Reclassification,,Ühelt kontolt teisele sisemine liikumine.,Internal movement between accounts.,,,,,,,,,,,,,,,2024-01-01,
ML_14,,1,1,Äriühendus,Bussiness combination,,"Mitterahaline (märk ees näitab liikumise suunda ehk plussiga suurenemine, miinusega vähenemine).","Non-monetary (the sign in front indicates the direction of movement, with plus for increase, minus for decrease).",,,,,,,,,,,,,,,2024-01-01,
ML_15,,1,1,Väärtuse muutus,Revaluation,,"Allahindlus, ümberhindlus, kapitali osalusel muutus.","Discount, revaluation, increase, decrease resulting from production, change in equity participation.",,,,,,,,,,,,,,,2024-01-01,
ML_21,,1,1,Amortisatsioon,Depreciation,,"Kulum, diskonteerimine.","Depreciation, discounting.",,,,,,,,,,,,,,,2024-01-01,
ML_31,,1,1,Toodangu saamine,Agricultural produce,,Saagi korjamine,Harvested product,,,,,,,,,,,,,,,2024-01-01,
ML_32,,1,1,Bioloogiline muundumine,Biological transformation,,"Kasvamine, vananemine, paljunemine","Growth, degeneration, procreation",,,,,,,,,,,,,,,2024-01-01,
ML_41,,1,1,Kapitalirent,Financial lease,,"Kapitalirent või tehingud, mis klassifitseeritud kapitalirendiks. Kui see kood kasutuses ja kui kasutusrendi vara, siis tuleb omaniku kood täpsustada registrikoodina","Finance lease or transactions classified as finance lease. When using this code for an operating lease asset, the owner's code must be specified as the registration code.",,,,,,,,,,,,,,,2024-01-01,
ML_51,,1,1,Omatarve,Used by Own,,Omaks tarbeks kuluks kandmine.,Expensing for own use.,,,,,,,,,,,,,,,2024-01-01,
ML_52,,1,1,Omal jõul valmistatud vara,Own-produced assets,,"Varad, mis rajatakse omal jõul (mitte ei osteta teenusena sisse).",Assets built on their own (not bought in as a service).,,,,,,,,,,,,,,,2024-01-01,
ML_61,,1,1,Dividendid,Dividends,,Saadud ja väljamakstud dividendid,Dividends received and paid out,,,,,,,,,,,,,,,2024-01-01,
ML_71,,1,1,Annetatud (mitterahaline),Donation (NonMonetary),,Saadud ja antud annetused (mitterahaline),Received and given donation (NonMonetary),,,,,,,,,,,,,,,2024-01-01,
ML_99,,1,1,Muud muutused,Other changes,,,,,,,,,,,,,,,,,,2024-01-01,
