Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/ANDMETEESITLUSVIIS2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,ANDMETEESITLUSVIIS2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Andmete esitlusviis,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias tase kõrgemal oleva elemendi kood,Hierarhilise klassifikaatori elemendi tase,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate
AE_11,,1,1,Õiglase väärtuse meetod,Fair value method,,Kasutatakse ainult bilansikirjete korral.,Only used for balance sheet items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_12,,1,1,Soetusmaksumuse meetod - individuaalse hindamise meetod,Cost method - individual cost method,,Kasutatakse ainult bilansikirjete korral.,Only used for balance sheet items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_13,,1,1,Soetusmaksumuse meetod - FIFO,Cost method - FIFO,,Kasutatakse ainult bilansikirjete korral.,Only used for balance sheet items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_14,,1,1,Soetusmaksumuse meetod - kaalutud keskmise soetusmaksumuse meetod,Cost method - Average cost method,,Kasutatakse ainult bilansikirjete korral.,Only used for balance sheet items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_15,,1,1,Korrigeeritud soetusmaksumuse meetod,Corrected cost (amortised cost) method,,Kasutatakse ainult bilansikirjete korral.,Only used for balance sheet items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_16,,1,1,Kapitaliosaluse meetod,Equity method,,Kasutatakse ainult bilansikirjete korral.,Only used for balance sheet items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_17,,1,1,Juhtkonna hinnang,Management Estimate,,Kasutatakse ainult bilansikirjete korral.,Only used for balance sheet items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_20,,1,1,Müüdud toodangu kulu (Põhitegevuse kulud),Cost of Sales,,Kulukirje lisatunnus.,Additional identifier for expense item.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_21,,1,1,Turustuskulud (Mitmesugused tegevuskulud),Distribution costs,,Kulukirje lisatunnus.,Additional identifier for expense item.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_22,,1,1,Halduskulud (Mitmesugused tegevuskulud),Administrative expenses,,Kulukirje lisatunnus.,Additional identifier for expense item.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_31,,1,1,Kulum - lineaarne meetod,Depreciation - linear method,,Kasutatakse ainult kulumi bilansikirje korral.,Only used for depreciation balance sheet items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_32,,1,1,Kulum - kahaneva jäägi meetod,Depreciation - diminishing balance method,,Kasutatakse ainult kulumi bilansikirje korral,Only used for depreciation balance sheet items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_33,,1,1,Kulum - tootmisühiku meetod,Depreciation - units of production method,,Kasutatakse ainult kulumi bilansikirje korral,Only used for depreciation balance sheet items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_40,,1,1,Brutomeetod,Gross method,,Kasutatakse ainult sihtfinantseerimise kirjete korral.,Only used for government grants items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
AE_41,,1,1,Netomeetod,Net method,,Kasutatakse ainult sihtfinantseerimise kirjete korral.,Only used for government grants items.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
