Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/EMTAK2025ap,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,EMTAK2025ap,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Eesti majanduse tegevusalade klassifikaator,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias tase kõrgemal oleva elemendi kood,Hierarhilise klassifikaatori elemendi tase,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate
A,,1,0,"Põllumajandus, metsamajandus ja kalapüük","Agriculture, forestry and fishing",,"Taimsete ja loomsete loodusvarade kasutamine. Siia kuulub taimekasvatus, loomade kasvatamine ja aretamine, puidu ja taimede kogumine ning loomsete toodete tootmine põllumajandusettevõttes või looduslikes elupaikades. Ka mahepõllumajandus, vesiviljelus, geneetiliselt muundatud põllukultuuride ning geneetiliselt muundatud loomade kasvatamine","The exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, and the production of animal products from a farm or natural habitats. This section also includes organic agriculture, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals.",,,,,,,,"Kodumajapidamiste oma tarbeks mõeldud eristamata kaupade tootmine, mis liigitatakse klassi 9810.","Undifferentiated subsistence goods-producing activities of households, which are classified in class 9810.",,,,,,2025-01-01 00:00:00,
01,A,2,0,"Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad","Crop and animal production, hunting and related service activities",,"Kaks tegevust: taimede ja loomade kasvatamine. Grupis 015 „Segapõllumajandus“ ei järgita tavapäraseid põhitegevuse kindlaksmääramise põhimõtteid. Arvestatakse sellega, et paljudes põllumajandusüksustes on taime- ja loomakasvatus enam-vähem tasakaalus ning et nende liigitamine ühte või teise kategooriasse oleks meelevaldne. ka taimede kasvatamine ilma mullata, nt hüdropoonika ja akvapoonika meetodeid kasutades. RAKENDAMISE REEGEL: Põllumajanduses on lisandväärtuse jaotamine sageli keeruline näiteks juhul, kui üksus kasvatab viinamarju ja toodab omakasvatatud viinamarjadest veini või kasvatab oliive ja toodab omakasvatatud oliividest õli. Sellistel juhtudel on sobivaim vahendusmuutuja töötatud tundide arv. Kasutades seda muutujat niisuguste vertikaalselt integreeritud tegevuste korral, liigitatakse üksused üldiselt põllumajanduse alla. Muude põllumajandustoodete puhul liigitatakse üksused samasuguses olukorras kokkuleppeliselt põllumajanduse alla, et tagada ühtlustatud käsitlus. Siia ossa kuuluvad ka põllumajandusega ja jahindusega seotud tegevused ja teenused","Two basic activities, namely the production of crop products and the production of animal products. Mixed farming (group 015) breaks with the usual principles for identifying the main activity. It accepts that many agricultural units have a reasonably balanced production of crops and animals, and that it would be arbitrary to classify them in one category or the other. the soilless cultivation of crops, such as using hydroponic and aquaponic methods. IMPLEMENTATION RULE In agriculture, one frequent situation where the breakdown of the value added presents difficulties is when a unit manufactures a product from its own agricultural output. For example, when a unit produces grapes and manufactures wine from the own-produced grapes, or when it produces olives and manufactures oil from the own-produced olives. In these cases, the most suitable proxy variable is the number of hours worked. Applying this variable to these vertically integrated activities would generally lead to the classification of the units under agriculture. In the same case for other agricultural products, units will be classified in agriculture by convention, in order to guarantee harmonised treatment. This division also includes service activities incidental to agriculture, as well as hunting, trapping and related activities.",,,,,,,,"Põllumajanduslike tegevuste hulka ei kuulu põllumajandustoodete edasine töötlemine (liigitatud osadesse 10, 11 ja 12), v.a see, mida on vaja nende esmaseks turustamiseks. Toodete ettevalmistamine esmaseks turustamiseks kuulub siia ossa. põldude rajamine (nt põllumajandusmaadele terrasside rajamine, kuivendamine, riisipõldude ettevalmistamine), mis liigitatakse jakku F, ning põllumajandussaaduste turustamisega seotud vahendajad ja ühistud, mis liigitatakse jakku G. Siia ei kuulu ka maastiku hooldus ja korrashoid (liigitatud klassi 8130).","Agricultural activities exclude any subsequent processing of the agricultural products (classified under divisions 10, 11 and 12), beyond that needed to prepare them for the primary markets. The preparation of products for the primary markets is included here. field construction (for example, agricultural land terracing, drainage, preparing rice paddies) classified in section F and buyers and cooperative associations engaged in the marketing of farm products classified in section G. Also excluded are landscape service activities, which are classified in class 8130.",,,,,,2025-01-01 00:00:00,
011,01,3,0,Üheaastaste põllukultuuride kasvatus,Growing of non-perennial crops,,"Üheaastaste põllukultuuride kasvatamine. Üheaastased on taimed, mille eluiga ei ületa üht vegetatsiooniperioodi. Siia kuulub ka nende taimede kasvatamine seemnete tootmiseks.","The growing of non-perennial crops, in other words, plants that do not last for more than two growing seasons. Included is the growing of these plants for the purpose of seed production.",,,,,,,,,,,,,,,2025-01-01 00:00:00,
0111,011,4,0,"Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus","Growing of cereals, other than rice, leguminous crops and oil seeds",,"Teraviljade, kaunviljade ja õlikultuuride kasvatamine mistahes kujul. Siia kuulub ka nende taimede kasvatamine seemnetootmise eesmärgil. Põllumajanduslikes majapidamistes on nende kultuuride kasvatamine sageli kombineeritud. teraviljakasvatus, sh: nisu, mais, sorgo, oder, rukis, kaer, hirss, pseudoteraviljad, st puuviljad või seemned, mida kasutatakse nagu teravilju, sh: kinoa, amarant, tšiia (õlisalvei), kaunviljade kasvatamine, sh: oad, põldoad, kikerherned, silmoad, läätsed, lupiinid (hundioad), herned, tuviherned, õlikultuuride kasvatamine, sh: sojaoad, maapähklid, riitsinus, linaseemned, sinepiseemned, õliramtilla, raps, saflooriseemned, seesamiseemned, päevalilleseemned","All forms of growing of cereals, leguminous crops and oil seeds. Included is the growing of these plants for the purpose of seed production. The growing of these crops is often combined within agricultural units. growing of cereals, e.g.: wheat, grain maize, sorghum, barley, rye, oats, millet, pseudocereals, in other words, fruits or seeds used as cereals, e.g.: quinoa, amaranth, chia, growing of leguminous crops, e.g.: beans, broad beans, chickpeas, cowpeas, lentils, lupines, peas, pigeon peas, growing of oil seeds, e.g.: soya beans, groundnuts, castor beans, linseed, mustard seed, niger seed, rapeseed, safflower seed, sesame seed, sunflower seed",,,,,,,,"Riisi kasvatamine, vt 0112 suhkrumaisi kasvatamine, vt 0113 maisi, lupiini või lehtkapsa kasvatamine söödaks, vt 0119 õliviljade kasvatamine, vt 0126","Growing of rice, see 0112 growing of sweetcorn, see 0113 growing of maize, lupines or kale for fodder, see 0119 growing of oleaginous fruits, see 0126",,,,,,2025-01-01 00:00:00,
01111,0111,5,1,"Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus","Growing of cereals, other than rice, leguminous crops and oil seeds",,"Teraviljade, kaunviljade ja õlikultuuride kasvatamine mistahes kujul. Siia kuulub ka nende taimede kasvatamine seemnetootmise eesmärgil. Põllumajanduslikes majapidamistes on nende kultuuride kasvatamine sageli kombineeritud. teraviljakasvatus, sh: nisu, mais, sorgo, oder, rukis, kaer, hirss, pseudoteraviljad, st puuviljad või seemned, mida kasutatakse nagu teravilju, sh: kinoa, amarant, tšiia (õlisalvei), kaunviljade kasvatamine, sh: oad, põldoad, kikerherned, silmoad, läätsed, lupiinid (hundioad), herned, tuviherned, õlikultuuride kasvatamine, sh: sojaoad, maapähklid, riitsinus, linaseemned, sinepiseemned, õliramtilla, raps, saflooriseemned, seesamiseemned, päevalilleseemned","All forms of growing of cereals, leguminous crops and oil seeds. Included is the growing of these plants for the purpose of seed production. The growing of these crops is often combined within agricultural units. growing of cereals, e.g.: wheat, grain maize, sorghum, barley, rye, millet, pseudocereals, in other words, fruits or seeds - used as cereals, e.g.: quinoa, amaranth, chia, growing of leguminous crops, e.g.: beans, broad beans, chickpeas, cowpeas, lentils, lupiines, peas, pigeon peas, growing of oil seeds, e.g.: soya beans, groundnuts, castor beans, linseed, mustard seed, niger seed, rapeseed, safflower seed, sesame seed, sunflower seed",,,,,,,,"Riisi kasvatamine, vt 01121 suhkrumaisi kasvatamine, vt 01131 maisi, lupiini või lehtkapsa kasvatamine söödaks, vt 01192 õliviljade kasvatamine, vt 01261","Growing of rice, see 01121 growing of sweetcorn, see 01131 growing of maize, lupines or kale for fodder, see 01192 growing of oleaginous fruits, see 01261",,,,,,2025-01-01 00:00:00,
0112,011,4,0,Riisikasvatus,Growing of rice,,Riisi kasvatamine,Growing of rice,,,,,,,,,,,,,,,2025-01-01 00:00:00,
01121,0112,5,1,Riisikasvatus,Growing of rice,,Riisi kasvatamine,Growing of rice,,,,,,,,,,,,,,,2025-01-01 00:00:00,
0113,011,4,0,"Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus","Growing of vegetables and melons, roots and tubers",,"Leht- või varsköögiviljade kasvatamine, nt: artišokid, spargel, kapsad, lillkapsas ja brokoli, salat ja sigur, spinat, viliköögiviljade kasvatamine, nt: kurgid, baklažaanid, tomatid, arbuusid, juur-, sibul- või mugulköögiviljade kasvatamine, nt: porgandid, naerid, küüslauk, sibulad (k.a šalottsibulad), porrulauk vm laugud, seente ja trühvlite kasvatamine, juurviljaseemnete, k.a suhkrupeediseemnete kasvatamine (v.a muud peediseemned), suhkrupeedi kasvatamine, tšilli ja paprika (Capsicum spp.) kasvatamine, juurte ja mugulate kasvatamine, nt: kartulid, maguskartulid ehk bataadid, maniokk, jamss, kaalikad ja peedid ka: suhkrumaisi kasvatamine","Growing of leafy or stem vegetables, e.g.: artichokes, asparagus, cabbages, cauliflower and broccoli, lettuce and chicory, spinach, growing of fruit-bearing vegetables, e.g.: cucumbers and gherkins, eggplants (aubergines), tomatoes, watermelons, growing of root, bulb or tuberous vegetables, e.g.: carrots, turnips, garlic, onions (including shallots), leeks and other alliaceous vegetables, growing of mushrooms and truffles, growing of vegetable seeds, including sugar beet seeds, excluding other beet seeds, growing of sugar beet, growing of chillies, peppers (Capsicum spp.), growing of roots and tubers, e.g.: potatoes, sweet potatoes, cassava, yams, swedes and mangolds This class also includes: growing of sweetcorn",,,,,,,,"Vürtside, maitse- ja ravimtaimede kasvatamine, vt 0128 mütseeli kasvatamine, vt 0130","Growing of spices and aromatic, drug and pharmaceutical crops, see 0128 growing of mushroom spawn, see 0130",,,,,,2025-01-01 00:00:00,
