Väljavõte klassifikaatori elementide loetelust,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/KAUBAD_TEENUSED2024ap,,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,KAUBAD_TEENUSED2024ap,,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Ostetud/müüdud kaubad ja teenused,,,,,,,,,,,,,,,,,,,,,,,,
"Sektsioonide maatriks (tabeli lõpus) näitab, millistesse sektsioonidesse saab olla element sisendiks. Kui Andmekoosseisu lehel on märgitud veel täiendavaid sektsioonide seoseid, kuid neid ei ole eraldi siin lehel välja toodud, siis see tähendab, et klassifikaatori elemendid võivad olla sektsiooni sisendiks täies mahus.",,,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias tase kõrgemal oleva elemendi kood,Hierarhilise klassifikaatori elemendi tase,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD),EE0103003
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate,
KAUP,,1,0,KAUBAD,,,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,,
01,KAUP,2,0,ELUSLOOMAD,LIVE ANIMALS,,,,,,,,,,,,,,,,,,2004-01-01 00:00:00,,
01012100,01,3,1,Tõupuhtad aretushobused,Pure-bred breeding horses,,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01012910,01,3,1,Tapahobused,Horses for slaughter,,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01012990,01,3,1,Elusad hobused (v.a tõupuhtad aretushobused ja tapahobused),"Live horses (excl. for slaughter, pure-bred for breeding)",,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01013000,01,3,1,Elusad eeslid,Live asses,,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01019000,01,3,1,Elusad muulad ja hobueeslid,Live mules and hinnies,,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022110,01,3,1,Tõupuhtad aretusmullikad (poegimata emasveised),"Pure-bred breeding heifers ""female bovines that have never calved""",,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022130,01,3,1,Tõupuhtad aretuslehmad (v.a mullikad),Pure-bred breeding cows (excl. heifers),,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022190,01,3,1,Tõupuhtad aretusveised (v.a mullikad ja lehmad),Pure-bred cattle for breeding (excl. heifers and cows),,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022905,01,3,1,Elusad veised alamperekonnast Bibos või Poephagus (v.a tõupuhtad aretusloomad),Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding),,,,,,,,,,,,,,PCE,Tükk,,,2013-01-01 00:00:00,,
01022910,01,3,1,Elusad veised massiga mitte rohkem kui 80 kg (v.a tõupuhtad aretusloomad),Live cattle of a weight <= 80 kg (excl. pure-bred for breeding),,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022921,01,3,1,"Elusad veised massiga rohkem kui 80 kg, kuid mitte rohkem kui 160 kg, tapaloomaks","Cattle of a weight > 80 kg but <= 160 kg, for slaughter",,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022929,01,3,1,"Elusad veised massiga rohkem kui 80 kg, kuid mitte rohkem kui 160 kg (v.a tapaloomad ja tõupuhtad aretusloomad)","Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding)",,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022941,01,3,1,"Veised massiga rohkem kui 160 kg, kuid mitte rohkem kui 300 kg, tapaloomaks","Cattle of a weight > 160 kg but <= 300 kg, for slaughter",,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022949,01,3,1,"Elusad veised massiga rohkem kui 160 kg, kuid mitte rohkem kui 300 kg (v.a tapaloomad ja tõupuhtad aretusloomad)","Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding)",,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022951,01,3,1,"Elusad mullikad (poegimata emasveised) massiga rohkem kui 300 kg, tapaloomaks","Heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter",,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022959,01,3,1,Elusad mullikad (poegimata emasveised) massiga rohkem kui 300 kg (v.a tapaloomad ja tõupuhtad aretusloomad),"Live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)",,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022961,01,3,1,"Elusad lehmad massiga rohkem kui 300 kg, tapaloomaks (v.a mullikad)","Cows of a weight > 300 kg, for slaughter (excl. heifers)",,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022969,01,3,1,Elusad lehmad massiga rohkem kui 300 kg (v.a tapaloomad ja tõupuhtad aretusloomad ning mullikad),Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers),,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022991,01,3,1,"Elusad veised massiga rohkem kui 300 kg, tapaloomaks (v.a mullikad ja lehmad)","Cattle of a weight > 300 kg, for slaughter (excl. heifers and cows)",,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01022999,01,3,1,"Elusad veised massiga rohkem kui 300 kg (v.a tapaloomad, mullikad, lehmad ja tõupuhtad aretusloomad)","Live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows)",,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01023100,01,3,1,Tõupuhtad aretuspühvlid,Pure-bred buffalo for breeding,,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01023910,01,3,1,Elusad kodupühvlid (v.a tõupuhtad aretusloomad),Live domestic buffalo (excl. pure-bred for breeding),,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01023990,01,3,1,Elusad pühvlid (v.a kodupühvlid ja tõupuhtad aretusloomad),Live buffalo (excl. domestic species and pure-bred for breeding),,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
01029020,01,3,1,Elusad tõupuhtad aretusveised (v.a kariloomad ja pühvlid),Bovine pure-bred breeding animals (excl. cattle and buffalo),,,,,,,,,,,,,,PCE,Tükk,,,2012-01-01 00:00:00,,
