Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/KMDTYYP2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,KMDTYYP2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Tehingute ja toimingute käibemaksu liigid,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias tase kõrgemal oleva elemendi kood,Hierarhilise klassifikaatori elemendi tase,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate
M,,1,0,Müük,Sale,Продажа,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
M_1,M,2,0,Standard- või soodusmääraga maksustatavad tehingud,Transactions taxable at a standard or reduced rate,"Сделки, облагаемые по стандартной или льготной ставке",,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
M_101,M_1,3,1,"Standard- või soodusmääraga maksustatav käive, v.a ettemaks","Supply subject to standard or reducted rate, excluding advance payment","Оборот, облагаемый налогом по стандартной или льготной ставке, за исключением предоплаты","Standard- või soodusmääraga maksustatav käive, sh juhul kui arve tehingupartneri kohta on väiksem kui 1000 eurot; arve on väljastatud füüsilisele isikule või MRR-i koodita isikule. Siin ei kajastata käivet, mis on tekkinud kauba või teenuse eest osalisel või täielikul makse laekumisel.","Supply taxable at a standard or reduced rate, including if the invoice per transaction partner is less than EUR 1000; the invoice is issued to a natural person or a person without a non-resident code (MRR). Supply created upon the receipt of full or partial payment for goods or services is not included here.","Облагаемый по стандартной или льготной ставке оборот, в т.ч. если счёт на одного партнёра по сделке составляет менее 1000 евро; счёт выдан физическому лицу или лицу без кода нерезидента (MRR). Здесь не отражается оборот, возникший при частичном или полном поступлении платежа за товар или услугу.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_102,M_1,3,1,"Standard- või soodusmääraga maksustatav käive, arve infot kajastamata","Supply subject to standard or reducted rate, without giving invoice information","Оборот, облагаемый налогом по стандартной или льготной ставке, без отражения информации о счёте","Standard- või soodusmääraga maksustatav käive, arve tehingu eest, millele laieneb kutse- ja ametisaladuse hoidmise kohustus.","Supply taxable at a standard or reduced rate,  invoice for such transaction on which the obligation to keep professional or official secrecy is extended. ","Облагаемый по стандартной или льготной ставке оборот, счёт за сделку, на которую распространяется обязанность сохранения профессиональной или служебной тайны.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_103,M_1,3,1,"Standard- või soodusmääraga maksustatav käive, käive tekib raha saamisest (ettemaks)","Supply subject to standard or reducted rate, supply is created upon receipt of money (advance payment)","Оборот, облагаемый налогом по стандартной или льготной ставке, оборот возникает от получения денег (предоплата)","Standard- või soodusmääraga maksustatav käive, mis on tekkinud kauba või teenuse eest osalisel või täielikul makse laekumisel.",Supply taxable at a standard or reduced rate created upon receipt of full or partial payment for the goods or services.,"Облагаемый по по стандартной или льготной ставке оборот, возникший при частичном или полном поступлении платежа за товар или услугу.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_104,M_1,3,1,"Standard- või soodusmääraga maksustatav käive, kassapõhine käibemaksuarvestus","Supply subject to standard or reducted rate,  cash accounting of VAT ","Оборот, облагаемый налогом по стандартной или льготной ставке, кассовый принцип учёта налога с оборота",Kassapõhise käibemaksuarvestuse rakendajal on osalise või täieliku makse laekumisel tekkinud standard- või soodusmääraga maksustatav käive (KMS § 44).,Person applying  cash accounting of VAT has upon receipt of full or partial payment effected supply taxable at a standard or reduced rate  (§ 44 of the VAT Act).,"При поступлении частичного или полного платежа у лица, применяющего кассовый принцип учёта налога с оборота, возник оборот, облагаемый по стандартной или льготной ставке (статья 44 ЗоНО).",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_105,M_1,3,1,"Kasuminormi maksustamise kord - kasutatud kauba, originaalkunstiteose ning kollektsiooni- ja antiikeseme edasimüük","Procedure for taxing the margin - resale of second-hand goods, original works of art, collectors’ items and antiques","Порядок обложения налогом нормы прибыли – перепродажа бывшего в употреблении товара, оригинала произведения искусства и коллекционного или антикварного предметов","Standard- või soodusmääraga maksustatav kasuminormi maksustamise kord - kasutatud kauba, originaalkunstiteose ning kollektsiooni- ja antiikeseme edasimüük (KMS § 41 ja 42).","Taxable at a standard or reduced rate on the basis of the procedure for taxing the margin - resale of second-hand goods, original works of art, collectors’ items and antiques (§ 41 and § 42 of the VAT Act).","Порядок обложения налогом нормы прибыли по стандартной или льготной ставке – перепродажа бывшего в употреблении товара, оригинала произведения искусства и коллекционного или антикварного предметов (статьи 41 и 42 ЗоНО)",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_106,M_1,3,1,Kasuminormi maksustamise kord - reisibürood,Procedure for taxing the margin – travel agencies ,Ппорядок обложеня налогом нормы прибыли – туристические бюро,Standard- või soodusmääraga maksustatav kasuminormi maksustamise kord - reisibürood (KMS § 40).,Taxable  at a standard or reduced rate on the basis of the procedure for taxing the margin – travel agencies (§ 40 of the VAT Act). ,Порядок обложения налогом нормы прибыли по стандартной или льготной ставке – туристические бюро (статья 40 ЗоНО).,,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_107,M_1,3,1,"Kinnisasja, metallijäätmete, väärismetalli ja metalltoodete maksustamise erikord (müüja)","Special arrangements for imposing VAT on immovables, scrap metal, precious metal and metal products (seller) ","Особый порядок обложения налогом недвижимой вещи, металлоотходов, драгоценного металла и металлических изделий (продавец)","Standard- või soodusmääraga maksustatav kinnisasja, metallijäätmete, väärismetalli ja metalltoodete maksustamise erikord (müüja; KMS § 411).","Taxable at a standard or reduced rate on the basis of special arrangements for imposing VAT on immovables, scrap metal, precious metal and metal products (seller; § 411 of the VAT Act). ","Особый порядок обложения налогом с оборота по стандартной или льготной ставке недвижимой вещи, металлоотходов, драгоценного металла и металлических изделий (продавец, статья 411 ЗоНО)",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_2,M,2,0,Nullmääraga maksustatavad tehingud,Transactions taxable at zero rate,"Сделки, облагаемые по нулевой ставке",,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
M_201,M_2,3,1,Kauba ühendusesisene käive,Intra-Community supply of goods,Оборот товара внутри Сообщества,"0% määraga maksustatav kauba käive, mis on deklareeritav kauba ühendusesisese käibena.","Supply of goods subject to a 0 % rate, which is declared as intra-Community supply of goods.","Облагаемый по ставке 0% оборот товара, декларируемый как оборот товара внутри Сообщества.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
