Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/MAJUTUSMAHT2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,MAJUTUSMAHT2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Majutusmaht,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias kõrgemal oleva selle elemendi grupi kood,Hierarhilise klassifikaatori elemendi taseme kood,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate
MYYGIS_TUBE,,1,1,Müügis olevate majutustubade arv,Number of accommodation rooms available for sale,,Aruandekuul müügis olevate majutustubade (sh väikemajade ning puudega isikutele kohandatud tubade) arv.,Number of accommodation rooms (incl. small houses and rooms adapted for disabled people) available for sale during the reference month.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
KOKKU_TUBE,,1,1,Majutustubade koguarv,Total number of accommodation rooms,,"Majutustubade (sh väikemajade ja puudega isikutele kohandatud tubade) koguarv, sh ka ajutiselt suletud ja remondis olevad toad.","Total number of accommodation rooms (incl. small houses and rooms adapted for disabled people), including temporarily closed rooms and rooms under repair.",,,,,,,,,,,,,,,2024-01-01 00:00:00,
MYYGIS_KOHANDATUD_TUBE,,1,1,Müügis olevate kohandatud majutustubade arv,Number of adapted accommodation rooms available for sale,,Aruandekuul müügis olevate puudega isikutele (k.a ratastoolis isikutele) kohandatud majutustubade arv.,Number of accommodation rooms adapted for disabled people (incl. wheelchair users) available for sale during the reference month.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
KOKKU_KOHANDATUD_TUBE,,1,1,Kohandatud majutustubade koguarv,Total number of adapted accommodation rooms,,"Puudega isikutele (k.a ratastooli kasutajatele) kohandatud majutustubade koguarv, sh ka ajutiselt suletud ja remondis olevad toad.","Total number of accommodation rooms adapted for disabled people (incl. wheelchair users), including temporarily closed rooms and rooms under repair.",,,,,,,,,,,,,,,2024-01-01 00:00:00,
MYYGIS_VOODIKOHTI,,1,1,Müügis olevate voodikohtade arv,Number of bed places available for sale,,Aruandekuul müügis olevate voodikohtade arv.,Number of bed places available for sale during the reference month.,,,,,,,,,,,,,,,2024-01-01 00:00:00,
