Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/OSAPOOLELIIK2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,OSAPOOLELIIK2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Osapoole liik ,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias tase kõrgemal oleva elemendi kood,Hierarhilise klassifikaatori elemendi tase,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate
FYYSILINE_ISIK,,1,1,Füüsiline isik,,,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
FIE,,1,1,Füüsilisest isikust ettevõtja,,,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
JUR_ISIK_ERAOIGUSLIK,,1,1,Eraõiguslik juriidiline isik (v.a kasumitaotluseta),Eraõiguslikud juriidilised isikud on loodud erahuvides ja selle juriidilise isiku liigi kohta käiva seaduse alusel (TsÜS § 25 lg 1).,,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
JUR_ERA_KASUMITAOTLUSETA,,1,1,Kasumitaotluseta organisatsioonid,"Eesti kasumitaotluseta ehk mittetulundussektori moodustavad äriregistrisse kantud mittetulundusühingud (MTÜ) ja sihtasutused (SA), ning registreerimata, võlaõigusseaduse alusel tegutsevad seltsingud. Mittetulundusühing on eraõiguslik juriidiline isik. Mittetulundusühingu õigusvõime tekib mittetulundusühingu kandmisega mittetulundusühingute ja sihtasutuste registrisse (edaspidi register) ja lõpeb mittetulundusühingu kustutamisega registrist, kui mittetulundusühingul puudub vara.",,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
JUR_AVALIK_KOV,,1,1,Kohalik omavalitsus,"Kohalik omavalitsus on põhiseaduses sätestatud omavalitsusüksuse – valla või linna – demokraatlikult moodustatud võimuorganite õigus, võime ja kohustus seaduste alusel iseseisvalt korraldada ja juhtida kohalikku elu, lähtudes valla- või linnaelanike õigustatud vajadustest ja huvidest ning arvestades valla või linna arengu iseärasusi.",,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
