Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/SUMMALIIK2023ap,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,SUMMALIIK2023ap,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Summa liik,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias kõrgemal oleva selle elemendi grupi kood,Hierarhilise klassifikaatori elemendi taseme kood,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate
TSD_Vm,,1,1,Väljamakse summa,Payment amount,Сумма выплаты,Väljamakse brutosumma,,,,,,,,,,,,EUR,euro,euro,евро,2015-01-01 00:00:00,
TSD_Smvm,,1,1,Sotsiaalmaksuga maksustatav väljamakse,Amount subject to social tax,"Выплата, облагаемая социальным налогом","Näidatakse väljamakse summa, mida maksustatakse sotsiaalmaksuga. Erandina laevapere liikme tasu puhul vastab deklareeritud väljamakse brutosummale, sealjuures arvestades SMS § 2 lõike 4 punktis 8 sätestatud piirsummaga",,,,,,,,,,,,EUR,euro,euro,евро,2015-01-01 00:00:00,
TSD_OPTV_SM vahendus,,1,1,Sotsiaalmaksuga maksustatavalt väljamakselt maha arvatud: osalise või puuduva töövõimega isiku tasu osa millelt maksab sotsiaalmaksu töötukassa,Portion of amount deducted from payment subject to social tax on which the Unemployment Insurance Fund pays social tax,"Часть выплаты лицу с частичной трудоспособностью или с нетрудоспособностью, списанная из выплаты, облагаемой социальным налогом, с которой социальный налог платит Касса по безработице",,,,,,,,,,,,,EUR,euro,euro,евро,2015-01-01 00:00:00,
TSD_KuumSuurendus,,1,1,Sotsiaalmaksuga maksustatava summa suurendus seoses sotsiaalmaksu miinimum kohustusega,Increase in amount subject to social tax due to minimum social tax obligation,"Увеличение выплаты, облагаемой социальным налогом, в связи с минимальной обязанностью по социальному налогу",,,,,,,,,,,,,EUR,euro,euro,евро,2015-01-01 00:00:00,
TSD_KuumVahendus,,1,1,"Sotsiaalmaksuga maksustatavalt väljamakselt maha arvatud tasu osa, millelt on sotsiaalmaks deklareeritud eelmistel kuudel sotsiaalmaksu kuumääralt",Portion of amount deducted from payment subject to social tax on which social tax has been declared in previous months on the monthly rate of social tax,"Часть выплаты, социальный налог с которой продекларирован в предыдущих месяцах с месячной ставки социального налога",,,,,,,,,,,,,EUR,euro,euro,евро,2015-01-01 00:00:00,
