Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/SYNDMUS2017ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,SYNDMUS2017ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Kuupäevaga seotud sündmus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sektsioonide maatriks (tabeli lõpus) näitab, millistesse sektsioonidesse saab olla element sisendiks. Kui Andmekoosseisu lehel on märgitud veel täiendavaid sektsioonide seoseid, kuid neid ei ole eraldi siin lehel välja toodud, siis see tähendab, et klassifikaatori elemendid võivad olla sektsiooni sisendiks täies mahus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias kõrgemal oleva selle elemendi grupi kood,Hierarhilise klassifikaatori elemendi taseme kood,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD),"EE0101001
Element on sisendiks järgnevatele Statistikaameti küsimustikele:
1462 - Palk ja tööjõud
1410 - Mees- ja naistöötajate brutotunnitasu
1089 - Töötasu struktuur",EE0101001,EE0201002,EE0202001,EE0203001
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate,,,,,
TOR01,,1,1,Töötamine,Working,Pаботa,"Töölepingu alusel töötamine ja äriühingu või füüsilisest isikust ettevõtja majandushuvides tasu saamata töötamine, võlaõigusliku lepingu alusel töötamine ja ametniku avalik teenistus.","Working under an employment contract or a contract under the law of obligations, civil service as defined in § 5 of the Civil Service Act, working in the business interests of a company or a self-employed person on a voluntary basis without receiving any remuneration for work and provision of a service or sale of goods specified in § 1 of the Simplified Business Income Taxation Act;","Работа по трудовому договору и работа без вознаграждения в экономических интересах коммерческого объединения или предпринимателя – физического лица, работа по обязательственно-правовому договору и государственная служба чиновника.",,,,,,,,,,,,,,2018-01-01 00:00:00,,Jah* - vajalik on esitada alati töötamise algus. Töötamise lõpp on vajalik esitada vaid tähtajaliste lepingute puhul või kui töötamise lõpp ei võrdu aruandekuu lõpuga.,,,"Jah* - tingimuslik. Esitatakse juhul, kui esitatakse töötamise alguse kuupäev.",
TOR02,,1,1,Töötamise peatamine,Suspension of employment,Приостановка работы,"Töötamise peatumine – tööd tegeva isiku viibimine emapuhkusel, isapuhkusel või vanemapuhkusel, aja- või asendusteenistuses või poolte kokkuleppel antaval tasustamata puhkusel","Suspension of employment’ is a period spent by a person performing work on a maternity leave, paternity leave or parental leave, in conscript service or alternative service or on holidays without pay granted by agreement of the parties","Приостановка работы – пребывание работника в материнском, отцовском или родительском отпуске, на срочной или альтернативной службе или в неоплачиваемом отпуске, предоставленном по соглашению сторон

",,,,,,,,,,,,,,2018-01-01 00:00:00,,,,,"Jah* - tingimuslik. Esitatakse juhul, kui esitatakse töötamise peatamise alguse kuupäev.",
TSD01,,1,1,Tagasimakse või tagastuse aluseks oleva väljamakse kuupäev,,,"Kui väljamakse saaja tagastab väljamakse tegijale varasemal
maksustamisperioodil saadud summa",,,,,,,,,,,,,,,,2018-01-01 00:00:00,,,"Jah* - tingimuslik.Vajalik esitada juhul, kui väljamakse tagastatakse.","Jah* - tingimuslik.Vajalik esitada juhul, kui väljamakse tagastatakse.",,
Algse_arve_kp,,1,1,Esialgse arve esitamise kuupäev,Date of initial invoice,Дата выставления первоначального счёта,Kreeditarve aluseks oleva esialgse arve esitamise kuupäev,The date of submission of the initial invoice on which the credit invoice is based,"Дата выставления первоначального счёта, на основании которого выставляется кредитный счёт",,,,,,,,,,,,,,2024-01-01 00:00:00,,,,,,"Jah* - tingimuslik. Vajalik esitada, kui saadetakse kreeditarve info."
