Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/TL2015ap,,,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,TL2015ap,,,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Transpordiliigid,,,,,,,,,,,,,,,,,,,,,,,,,
"Sektsioonide maatriks (tabeli lõpus) näitab, millistesse sektsioonidesse saab olla element sisendiks. Kui Andmekoosseisu lehel on märgitud veel täiendavaid sektsioonide seoseid, kuid neid ei ole eraldi siin lehel välja toodud, siis see tähendab, et klassifikaatori elemendid võivad olla sektsiooni sisendiks täies mahus.",,,,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias kõrgemal oleva selle elemendi grupi kood,Hierarhilise klassifikaatori elemendi taseme kood,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD),EE0201001,EE0202001
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate,,
1,,1,1,Meretransport,Sea transport,Морской транспорт,,,,,,,,,,,,,,,,,2015-07-01 00:00:00,,Jah* - tingimuslik. Vajalik esitada teatud VM liikide puhul (laevapere liikme erikorra ja tonnaaži väljamaksete puhul).,"Jah* - tingimuslik. Vajalik esitada juhul, kui töötamise liik on ""Tööleping laevapere liikme soodustusega""."
2,,1,1,Raudteetransport,Rail transport,Железнодорожный транспорт,,,,,,,,,,,,,,,,,2015-07-01 00:00:00,,,
3,,1,1,Maanteetransport,Road transport,Автодорожный транспорт,,,,,,,,,,,,,,,,,2015-07-01 00:00:00,,,
4,,1,1,Õhutransport,Air transport,Воздушный транспорт,,,,,,,,,,,,,,,,,2015-07-01 00:00:00,,,
5,,1,1,Post,Postal consignment,Почтовое отправление,,,,,,,,,,,,,,,,,2015-07-01 00:00:00,,,
7,,1,1,Kinnistranspordiseade,Fixed transport installations,Стационарная транспортная установка,,,,,,,,,,,,,,,,,2015-07-01 00:00:00,,,
8,,1,1,	Siseveetransport,Inland waterway transport,Внутренний водный транспорт,,,,,,,,,,,,,,,,,2015-07-01 00:00:00,,,
9,,1,1,Muud iseliikuvad transpordivahendid,Own propulsion,"Прочее транспортное средство, перемещающееся своим ходом",,,,,,,,,,,,,,,,,2015-07-01 00:00:00,,,
