Väljavõte klassifikaatori elementide loetelust,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/TOOSTUSTT2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,TOOSTUSTT2024ap,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Tööstustooted ja -teenused,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias tase kõrgemal oleva elemendi kood,Hierarhilise klassifikaatori elemendi tase,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate
2030,,1,0,"Värvide, lakkide jms viimistlusvahendite ning trükivärvide ja mastiksite tootmine","Manufacture of paints, varnishes and similar coatings, printing ink and mastics",,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
203011,2030,2,0,Akrüül- või vinüülpolümeeride baasil valmistatud värvid ja lakid vesikeskkonnas,"Paints and varnishes based on acrylic or vinyl polymers, in an aqueous medium",,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
20301150087,203011,3,1,"Akrüül- või vinüülpolümeeride baasil valmistatud ja vesikeskkonnas dispergeeritud või lahustatud värvid ja lakid, k.a emailid ja lakid","Paints and varnishes, based on acrylic or vinyl polymers dispersed or dissolved in an aqueous medium (including enamels and lacquers)",,Tootekoodile vastav(ad) KN kood(id): 3209 10,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
20301170080,203011,3,1,Muud vesikeskkonnas dispergeeritud või lahustatud värvid ja lakid,"Other paints, varnishes dispersed or dissolved in an aqueous medium",,Tootekoodile vastav(ad) KN kood(id): 3209 90,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
203012,2030,2,0,"Polüestrite, akrüül- või vinüülpolümeeride baasil valmistatud värvid ja lakid mittevesikeskkonnas; lahused","Paints and varnishes based on polyesters, acrylic or vinyl polymers, in a non-aqueous medium; solutions",,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
20301225083,203012,3,1,"Polüestrite baasil valmistatud ja mittevesikeskkonnas dispergeeritud või lahustatud värvid ja lakid, k,a emailid ja lakid, lahusti kaal rohkem kui 50% lahuse kaalust","Paints and varnishes, based on polyesters dispersed/dissolved in a non-aqueous medium, weight of the solvent more than 50% of the weight of the solution including enamels and lacquers",,Tootekoodile vastav(ad) KN kood(id): 3208 10 10,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
20301229084,203012,3,1,"Polüestrite baasil valmistatud ja mittevesikeskkonnas dispergeeritud või lahustatud värvid ja lakid, k.a emailid ja lakid (v.a lahusti kaal rohkem kui 50% lahuse kaalust)","Paints and varnishes, based on polyesters dispersed/dissolved in a non-aqueous medium including enamels and lacquers excluding weight of the solvent more than 50% of the weight of the solution",,Tootekoodile vastav(ad) KN kood(id): 3208 10 90,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
20301230085,203012,3,1,"Akrüül- või vinüülpolümeeride baasil valmistatud ja mittevesikeskkonnas dispergeeritud või lahustatud värvid ja lakid, k.a emailid ja lakid, lahusti kaal rohkem kui 50% lahuse kaalust","Paints and varnishes, based on acrylic or vinyl polymers dispersed/dissolved in non-aqueous medium, weight of the solvent more than 50% of the solution weight including enamels and lacquers",,Tootekoodile vastav(ad) KN kood(id): 3208 20 10,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
20301250086,203012,3,1,Muud akrüül- ja vinüülpolümeeride baasil valmistatud värvid ja lakid,Other paints and varnishes based on acrylic or vinyl polymers,,Tootekoodile vastav(ad) KN kood(id): 3208 20 90,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
20301270088,203012,3,1,"Värvid ja lakid: lahused, mujal liigitamata",Paints and varnishes: solutions n.e.c.,,Tootekoodile vastav(ad) KN kood(id): 3208[.90(.11 + .13 + .19)],,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
20301290089,203012,3,1,"Sünteespolümeeride baasil valmistatud värvid ja lakid, mujal liigitamata",Other paints and varnishes based on synthetic polymers n.e.c.,,Tootekoodile vastav(ad) KN kood(id): 3208[.90(.91 + .99)],,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
203021,2030,2,0,"Valmis pigmendid, hägustid ja värvid, klaasjad emailid ja glasuurid, angoobid, vedelad läikelakid jms; klaasfritt","Prepared pigments, opacifiers and colours, vitrifiable enamels and glazes, engobes, liquid lustres and the like; glass frit",,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
20302130000,203021,3,1,"Valmis pigmendid, hägustid, värvid jms ained keraamika, emaili ja klaasi jaoks","Prepared pigments, opacifiers, colours and similar preparations for ceramics, enamelling or glass",,Tootekoodile vastav(ad) KN kood(id): 3207 10,,,,,,,,,,,,,kilogramm,,,2024-01-01 00:00:00,
20302150000,203021,3,1,"Klaasjad emailid ja glasuurid, angoobid (savilobri) jms ained keraamika, emaili ja klaasi jaoks","Vitrifiable enamels and glazes, engobes (slips) and similar preparations for ceramics, enamelling or glass",,Tootekoodile vastav(ad) KN kood(id): 3207[.20(.10 + .90)],,,,,,,,,,,,,kilogramm,,,2024-01-01 00:00:00,
20302170000,203021,3,1,"Vedelad läikelakid jms valmistised, klaasfritt, klaasipulber, -graanulid või -helbed",Liquid lustres and similar preparations; glass frit and other glass in powder; granules or flakes,,Tootekoodile vastav(ad) KN kood(id): 3207[.30 + .40(.40 + .85)],,,,,,,,,,,,,kilogramm,,,2024-01-01 00:00:00,
203022,2030,2,0,Muud värvid ja lakid; valmissikatiivid,Other paints and varnishes; prepared driers,,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
20302213000,203022,3,1,"Õlivärvid ja -lakid, k.a emailid ja glasuurid",Oil paints and varnishes (including enamels and lacquers),,Tootekoodile vastav(ad) KN kood(id): 3210 00 10,,,,,,,,,,,,,kilogramm,,,2024-01-01 00:00:00,
20302215000,203022,3,1,"Naha viimistlemiseks kasutatavad valmis vesipigmendid, k.a emailid, glasuurid ja liimvärvid (v.a õlivärvid ja -lakid)","Prepared water pigments for finishing leather; paints and varnishes (including enamels, lacquers and distempers) (excluding of oil)",,Tootekoodile vastav(ad) KN kood(id): 3210 00 90,,,,,,,,,,,,,kilogramm,,,2024-01-01 00:00:00,
20302220000,203022,3,1,Valmiskujul sikatiivid,Prepared driers,,Tootekoodile vastav(ad) KN kood(id): 3211,,,,,,,,,,,,,kilogramm,,,2024-01-01 00:00:00,
20302230000,203022,3,1,Trükifoolium,Stamping foils,,Tootekoodile vastav(ad) KN kood(id): 3212 10,,,,,,,,,,,,,kilogramm,,,2024-01-01 00:00:00,
20302240000,203022,3,1,"Värvide valmistamisel kasutatavad mittevesikeskkonnas dispergeeritud vedelad või pastataolised pigmendid, k.a metallipulbrid ja -helbed; mujal liigitamata värvained jaemüügivormis või -pakendis","Pigments, including metallic powders and flakes, dispersed in non-aqueous media, in liquid or paste form, of a kind used in the manufacture of paints; colorants and other colouring matter, n.e.c. put up for retail sale",,Tootekoodile vastav(ad) KN kood(id): 3212 90,,,,,,,,,,,,,kilogramm,,,2024-01-01 00:00:00,
20302253091,203022,3,1,"Aknakitt, pookvaha, vaiktsemendid, tihendussegud jm mastiksid","Glaziers’ putty, grafting putty, resin cements, caulking compounds and other mastics",,Tootekoodile vastav(ad) KN kood(id): 3214 10 10,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
20302255092,203022,3,1,Maalripahtlid,Painters’ fillings,,Tootekoodile vastav(ad) KN kood(id): 3214 10 90,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
20302260093,203022,3,1,"Mittetulekindlad segud ehitiste fassaadide, siseseinte, põrandate, lagede jms katmiseks","Non-refractory surfacing preparations for façades, indoor walls, floors, ceilings or the like",,Tootekoodile vastav(ad) KN kood(id): 3214 90,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
20302273138,203022,3,1,"Orgaaniliste lahustite segud ja vedeldid butüülatsetaadi baasil, mida kasutatakse koos pinnavõõpade ja tintidega (v.a trükivärvid)",Organic composite solvents and thinners used in conjunction with coatings and inks; based on butyl acetate (excluding printing inks),,Tootekoodile vastav(ad) KN kood(id): 3814 00 10,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
20302279139,203022,3,1,"Orgaaniliste lahustite segud ja vedeldid, mida kasutatakse koos pinnavõõpade ja tintidega (v.a need, mida valmistatakse butüülatsetaadi baasil või trükivärvid)",Organic composite solvents and thinners used in conjunction with coatings and inks (excluding those based on butyl acetate and printing inks),,Tootekoodile vastav(ad) KN kood(id): 3814 00 90,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
203023,2030,2,0,"Kunstniku-, õppe- ja plakativärvid, toonimis- ja harrastusvärvid jms","Artists', students' or signboard painters' colours, modifying tints, amusement colours and the like",,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
20302350127,203023,3,1,"Kunstniku-, õppe- ja plakativärvide jms komplektid, kus värvid on tablettidena, tuubides, purkides, pudelites, kausikestes vms pakendis","Artists’, students’, or signboard painters’ colours, amusement colours and modifying tints in sets of tablets, tubes, jars, bottles or pans",,Tootekoodile vastav(ad) KN kood(id): 3213 10,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
20302370132,203023,3,1,"Kunstniku-, õppe- ja plakativärvid jms tablettides, tuubides, purkides, pudelites või kausikestes (v.a komplektid)","Artists’, students’ or signboard painters’ colours, amusement colours and modifying tints in tablets, tubes, jars, bottles or pans (excluding in sets)",,Tootekoodile vastav(ad) KN kood(id): 3213 90,,,,,,,,,,,,,tonn,,,2024-01-01 00:00:00,
203024,2030,2,0,Trükivärv,Printing ink,,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
20302450000,203024,3,1,Mustad trükivärvid,Black printing inks,,Tootekoodile vastav(ad) KN kood(id): 3215 11,,,,,,,,,,,,,kilogramm,,,2024-01-01 00:00:00,
20302470000,203024,3,1,Trükivärvid (v.a must),Printing inks (excluding black),,Tootekoodile vastav(ad) KN kood(id): 3215 19,,,,,,,,,,,,,kilogramm,,,2024-01-01 00:00:00,
203099,2030,2,0,"Värvide, lakkide jms viimistlusvahendite, trükivärvide ja mastiksite tootmisega seotud allhanked","Subcontracting associated with manufacture of paints, varnishes and similar coatings, printing ink and mastics",,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
20309900144,203099,3,1,"Tööstusteenused, mis on seotud värvide ja lakkide tootmisega, nt värvide toonimine","Outsourcing associated with manufacture of paints and varnishes, e.g. tinting",,,,,,,,,,,,,,,euro,,,2024-01-01 00:00:00,
