Klassifikaatori elementide täielik loetelu. Viimati uuendatud seisuga 11.2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/TOOTPEATLOPALUS2023ap,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,TOOTPEATLOPALUS2023ap,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Töötamise peatumine ja lõpetamine,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias kõrgemal oleva selle elemendi grupi kood,Hierarhilise klassifikaatori elemendi taseme kood,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
code,parentCode,level,selectable,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate
A,,1,0,Peatamise alus,Basis for suspension,Основание для приостановки,,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
A2,A,2,1,Aja- ja asendusteenistus,Conscription and alternative service,Срочная/альтернативная служба,,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
A3,A,2,1,Tasustamata puhkus ,Unpaid leave ,Неоплачиваемый отпуск ,,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
A4,A,2,1,Töötamise peatumine muul põhjusel,Suspension of service relationship for other reasons,Приостановка работы по иной причине,,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
A6,A,2,1,Vanemapuhkus,Parental leave,Pодительский отпуск,,,,,,,,,,,,,,,,,2022-04-01 00:00:00,
A7,A,2,1,Emapuhkus,Maternity leave,Mатеринский отпуск,,,,,,,,,,,,,,,,,2022-04-01 00:00:00,
A8,A,2,1,Isapuhkus,Paternity leave,Oтцовский отпуск,,,,,,,,,,,,,,,,,2020-07-01 00:00:00,
B,,1,0,Lõpetamise alus,Basis of termination,Основание для завершения,,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
