sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local
1036,1,C,,Accounting Entries,,,,Root for XBRL GL. No entry made here.,gl-cor,0,Accounting Entries,CO12a,/CO12a,$.Accounting Entries,AccntnEntrs,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。
1037,2,C,,Document Information,,0..*,,Parent for descriptive information about the accountingEntries section in which it is contained.,gl-cor,0,Document Information,CO04a,/CO12a/CO04a,$.Accounting Entries.Document Information,AccntnEntrs.DocInfrmt,【文書情報】,この会計仕訳に関する情報の親タグ。
1038,3,A,,Document Type,Char,0..1,,"account: information to fill in a chart of accounts file. 
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger 
entries:  a list of individual accounting entries, which might be posted/validated or nonposted/validated  
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables:  aids automated interpretation of instances that represent tax tables; 
Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these ""master file"" tax tables can be referenced. 
Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",gl-cor,0,Document Information,CO04a_01,/CO12a/CO04a/CO04a_01,$.Accounting Entries.Document Information.Document Type,AccntnEntrs.DocInfrmt.DocTyp,文書種別,"・科目:科目体系ファイルの情報。
・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。
・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。
・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。
・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。
・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。
・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。
・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。
多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。
[設定値のリスト]
(account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)"
1039,3,A,,Audit Number,Char,0..1,,Unique identifier for this file.,gl-cor,0,Document Information,CO04a_02,/CO12a/CO04a/CO04a_02,$.Accounting Entries.Document Information.Audit Number,AccntnEntrs.DocInfrmt.AudtNr,監査番号,このファイルの一意識別子。
1040,3,A,,Revises Audit Number,Char,0..1,,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",gl-cor,0,Document Information,CO04a_03,/CO12a/CO04a/CO04a_03,$.Accounting Entries.Document Information.Revises Audit Number,AccntnEntrs.DocInfrmt.RevssAudtNr,改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。
1041,3,A,,Action to Take with Previous Data,Char,0..1,,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,gl-cor,0,Document Information,CO04a_04,/CO12a/CO04a/CO04a_04,$.Accounting Entries.Document Information.Action to Take with Previous Data,AccntnEntrs.DocInfrmt.ActnToTakWithPrvsDat,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。
補完-元々含まれていたかのように、そのデータに所属させる。
[設定値のリスト]
(supplement：補完)、(supersede：取替え)"
1042,3,A,,Language,Code,0..1,ISO639,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",gl-cor,0,Document Information,CO04a_05,/CO12a/CO04a/CO04a_05,$.Accounting Entries.Document Information.Language,AccntnEntrs.DocInfrmt.Langg,言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。
1043,3,A,,Creation Date,Date,0..1,,Date/time file was created.,gl-cor,0,Document Information,CO04a_06,/CO12a/CO04a/CO04a_06,$.Accounting Entries.Document Information.Creation Date,AccntnEntrs.DocInfrmt.CrtnDt,作成日付,ファイルが作成された日付/時間。
1044,3,A,,Document Comment,Text,0..1,,Text for entire document.,gl-cor,0,Document Information,CO04a_07,/CO12a/CO04a/CO04a_07,$.Accounting Entries.Document Information.Document Comment,AccntnEntrs.DocInfrmt.DocCommnt,文書コメント,文書全体に対する説明文。
1045,3,A,,Period Covered Start,Date,0..1,,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,0,Document Information,CO04a_08,/CO12a/CO04a/CO04a_08,$.Accounting Entries.Document Information.Period Covered Start,AccntnEntrs.DocInfrmt.PerCovrdStrt,対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。
