change,unid,acronym,DEN,Definition,Working_comments_and_instructions,Publication_comments,Object_Class_Term_Qualifier(s),Object_Class_Term,Property_Term_Qualifier(s),Property_Term,Datatype_Qualifier(s),Representation_Term,Qualified_Data_Type_UID,Associated_Object_Class_Term_Qualifier(s),Associated_Object_Class,Business_Term(s),Usage_Rule(s),Sequence_Number,Occurrence_Min,Occurrence_Max,Business_Process_Value,Business_Process_Meaning,Business_Process_Class.Schema,Product_Value,Product_Meaning,Product_Class.Schema,Industory_Value,Industory_Meaning,Industory_Class.Schema,Region_(Geo)_Value,Region_(Geo)_Meaning,Region_(Geo)_Class.Schema,Official_Constraints_Value,Official_Constraints_Meaning,Official_Constraints_Class.Schema,Role_Value,Role_Meaning,Role_Class.Schema,Supporting_Role_Value,Supporting_Role_Meaning,Supporting_Role_Class.Schema,System_Constraints_Value,System_Constraints_Meaning,System_Constraints_Class.Schema,"Facets To_restrict_the_set_of_values_of_Content_Component_or_Supplementary_Components",au,av,aw,ax,ay,az,ba,bb,bc,bd,be,bf,bg,bh,Example(s),BIE/CC/DT_Version,Ref_Library_Version,Submitter_Name,Ref_Component_UN_ID,Ref_CR_ID,Unique_submitter_ID,CR_Status_Date,CR_Status,Library_Maintenance_Comment,TDED,Submitted_Definition,Submitter_Comment,Submitted_DEN,Submission_Row_Number,Unique_CC/BIE_ID,CR_Storage_Date,Publication_Refs_--_Source,Persistent_Flag,cb,cc,Short_Name,ce
,UN01009069,ABIE,AAA Archive_ Archive Parameter. Details,The set of parameters linked with this AAA (Accounting And Audit) archive.,,,AAA Archive,Archive Parameter,,,,,,,,,,,,,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,AAA Archive Parameter,
,UN01009070,BBIE,AAA Archive_ Archive Parameter. Input. Date Time,"The date, time, date time, or other date time value of the input of this AAA archive parameter.",,,AAA Archive,Archive Parameter,,Input,,Date Time,,,,,,1,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Input Date Time,
,UN01009071,BBIE,AAA Archive_ Archive Parameter. Scheduled Destruction. Date Time,"The scheduled destruction date, time, date time, or other date time value for this AAA archive parameter.",,,AAA Archive,Archive Parameter,,Scheduled Destruction,,Date Time,,,,,,2,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Scheduled Destruction Date Time,
,UN01009072,BBIE,AAA Archive_ Archive Parameter. Prescription. Date Time,"The prescription date, time, date time, or other date time value for this AAA archive parameter.",,,AAA Archive,Archive Parameter,,Prescription,,Date Time,,,,,,3,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Prescription Date Time,
,UN01009073,BBIE,AAA Archive_ Archive Parameter. Destruction Authorization Level. Identifier,The identifier of the authorization level for the destruction for this AAA archive parameter.,,,AAA Archive,Archive Parameter,,Destruction Authorization Level,,Identifier,,,,,,4,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Destruction Authorization Level ID,
,UN01009074,ASBIE,AAA Archive_ Archive Parameter. Input Responsible. AAA Archive_ Party,The party responsible for the input of this AAA archive parameter.,,,AAA Archive,Archive Parameter,,Input Responsible,,,,AAA Archive,Party,,,1,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Input Responsible Party,
,UN01009075,ASBIE,AAA Archive_ Archive Parameter. Destruction Responsible. AAA Archive_ Party,The party responsible for the destruction of this AAA archive parameter.,,,AAA Archive,Archive Parameter,,Destruction Responsible,,,,AAA Archive,Party,,,2,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Destruction Responsible Party,
,UN01009076,ASBIE,AAA Archive_ Archive Parameter. Trusted Third Party. AAA Archive_ Authentication,The authentication of the trusted third party for this AAA archive parameter.,,,AAA Archive,Archive Parameter,,Trusted Third Party,,,,AAA Archive,Authentication,,,3,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Trusted Third Party Authentication,
,UN01009077,ASBIE,AAA Archive_ Archive Parameter. Agent. AAA Archive_ Authentication,The authentication of the agent for this AAA archive parameter.,,,AAA Archive,Archive Parameter,,Agent,,,,AAA Archive,Authentication,,,4,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Agent Authentication,
,UN01009158,ABIE,AAA Archive_ Authentication. Details,An AAA (Accounting And Audit) proof that something in an archive is genuine.,,,AAA Archive,Authentication,,,,,,,,,,,,,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,AAA Archive Authentication,
