ADD/CHG/DEP/WDR,Unique UN Assigned ID, ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC,"Dictionary Entry Name
(auto generated)","Definition
Mandatory",Working comments and instructions,Publication comments,Object Class Term Qualifier(s),Object Class Term,Property Term Qualifier(s),Property Term,Datatype Qualifier(s),Representation Term,Qualified Data Type UID,Associated Object Class Term Qualifier(s),Associated Object Class,Business Term(s),Usage Rule(s),Sequence Number,Occurrence Min,Occurrence Max,"Context Categories
Mandatory for BIE's",,,,,,,,,,,,,,,,,,,,,,,,"Facets
To restrict the set of values of Content Component or Supplementary Components",,,,,,,,,,,,,,,Example(s),BIE/CC/DT Version,Ref Library Version,Submitter Name,Ref Component UN ID,Ref CR ID,Unique submitter ID,CR Status Date,CR Status,Library Maintenance Comment,TDED,Submitted Definition,Submitter Comment,Submitted DEN,Submission Row Number,Unique CC/BIE ID,CR Storage Date,Publication Refs -- Source,Persistent Flag,,
,Library Maintenance Only,"START HERE
Press Enter","Keep the rows together
Adjust selected rows with Ctrl-a","Enable macro's with Ctrl-e
Disable macro's with Ctrl-d",Optional,Optional,Optional for BIE,Mandatory,"Optional for 
BBIE, ASBIE","Mandatory for 
BBIE, ASBIE, BCC, ASCC","Optional for BBIE
Each separated by an 
underscore and a space",Mandatory for BBIE and BCC,,Optional for ASBIE,Mandatory for ASBIE and ASCC,Optional,Optional,"Mandatory for BBIE, ASBIE, BCC, ASCC, SC","Mandatory for 
BBIE, ASBIE, BCC, ASCC",,"Business Process
Value                     Meaning           Class. Scheme",,,"Product
Value                     Meaning           Class. Scheme",,,"Industry
Value                     Meaning           Class. Scheme",,,"Region (Geopolitical)
Value                     Meaning           Class. Scheme",,,"Official Constraints
Value                     Meaning           Class. Scheme",,,"Role
Value                     Meaning           Class. Scheme",,,"Supporting Role
Value                     Meaning           Class. Scheme",,,"System Constraints
Value                     Meaning           Class. Scheme",,,Expression,Length,Min length,Max length,Enumeration,Total Digits,Fractional Digits,Min Inclusive,Max Inclusive,Min Exclusive,Max Exclusive,Expression Type,Restriction Value, White Space,,Optional,Library Maintenanc Only,Mandatory for submitter,Mandatory,"Mandatory for CHG, WDR, DEP",Mandatory for Withdrawal,Mandatory,,,,Optional,,,,,,,,Type,Submitter ID,Applied CCL
,,DT,,Complex Data Type containing Supplemental Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,,Content Component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,,Supplemental Component contained within the Data Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UN02000171,DT,Access Rights Type_ Code. Type,A character string used to represent the type of access rights.,,,,,,,Access Rights Type,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,D10A,,,
,,CC,Code. Content,A character string used to represent the type of access rights.,,,Access Rights Type,Code,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDIFICASEU_AccessRightsType_D11A.TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code List. Identifier,,,,Access Rights Type,Code List,,Identifier,,Identifier,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AccountingE704,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code List. Agency. Identifier,,,,Access Rights Type,Code List,,Agency,,Identifier,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code List. Version. Identifier,,,,Access Rights Type,Code List,,Version,,Identifier,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D11A,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code List. Uniform Resource. Identifier,,,,Access Rights Type,Code List,,Uniform Resource,,Identifier,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.edificas.eu/index.php/eng/Download/Code-lists,,,,,,,,,,,,,,,,,,,,,,,
