UNID,short_name,short_name_ja,definition,definition_ja
UN01003138,Branch Financial Institution,支店金融機関,"A sub-division of a bank, building society, credit union, stock brokerage, or similar business; established primarily to provide financial services and financial transactions.",銀行、住宅金融組合、信用組合、証券会社、または類似の事業における部門。主に金融サービスおよび金融取引を提供するために設立される。
UN01003139,ID,ID,The unique identifier for this branch of a financial institution.,金融機関の支店を識別する固有の識別子。
UN01003140,Name,名前,"The name, expressed as text, for this branch of a financial institution.",金融機関の支店の名称（テキスト表記）。
UN01003141,Address,住所,The location address for this branch of a financial institution.,金融機関の支店所在地の住所。
UN01005861,CIIH Exchanged Document,CIIH交換文書,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",書面、印刷物、または電子形式で2つ以上の事業者間で交換される、インボイスヘッダのデータ集合。
UN01005862,ID,ID,The unique identifier of this CIIH exchanged document.,CIIHの取引文書の固有識別子。
UN01005863,Name,名前,"A name, expressed as text, of this CIIH exchanged document.",CIIHの取引文書の名称（テキストで表現）。
UN01005864,Type Code,タイプコード,The code specifying the type of CIIH exchanged document.,交換されるCIIHの文書の種類を指定するコード。
UN01005865,Issue Date Time,発行日時,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",CIIHの取引文書の発行日、時刻、日付時刻、またはその他の日付時刻値。
UN01005866,Copy Indicator,コピーインジケーター,The indication of whether or not this CIIH exchanged document is a copy.,CIIHの取引文書が複写であるかどうかの表示。
UN01005867,Purpose Text,目的テキスト,"The purpose, expressed as text, of this CIIH exchanged document.",CIIHの取引文書の目的をテキストで表現したもの。
UN01005868,Language Code,言語コード,A unique identifier for a language used in this CIIH exchanged document.,CIIHの取引文書で使用される言語の一意の識別子。
UN01005869,Purpose Code,目的コード,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",CIIHの取引文書の目的（要求、リマインダーなど）を指定するコード。
UN01005870,Revision Date Time,改訂日時,"Thedate,time,datetimeorotherdatetimevaluefortherevisionofthisCIIHexchangeddocument.",CIIHの取引文書の改訂に関する日付、時刻、日付時刻、またはその他の日付時刻の値。
UN01005871,Version ID,バージョンID,TheuniqueidentifierfortheversionofthisCIIHexchangeddocument.,CIIHの取引文書のバージョンを一意に識別する識別子。
UN01005872,Global ID,グローバルID,The unique global identifier for this CIIH exchanged document.,CIIHの取引文書の一意のグローバル識別子。
UN01005873,Revision ID,リビジョンID,The unique identifier of the revision of this CIIH exchanged document.,CIIHの取引文書の改訂版の一意の識別子。
UN01005874,Previous Revision ID,前のリビジョンID,The unique identifier of the previous revision of this CIIH exchanged document.,CIIHの取引文書の前の改訂版の一意の識別子。
UN01005875,Category Code,カテゴリーコード,The code specifying the category for this CIIH exchanged document.,CIIHの取引文書のカテゴリを指定するコード。
UN01006038,Control Requirement Indicator,制御要件指標,The indication of whether or not there is a control requirement for this CIIH exchanged document.,CIIHの取引文書に管理要件があるかどうかの表示。
UN01014635,Response Reason Code,応答理由コード,The code specifying the response reason of this CIIH exchanged document.,CIIHの取引文書の応答理由を特定するコード。
UN01014636,Subtype Code,サブタイプコード,The code specifying the subtype of this CIIH exchanged document.,CIIHの取引文書のサブタイプを特定するコード。
UN01015491,Requested Response Type Code,要求された応答タイプコード,A code specifying a type of response requested for this CIIH exchanged document.,CIIHの取引文書に対して要求される応答の種類を指定するコード。
UN01005876,Note,注記,A note included in this CIIH exchanged document.,CIIHの取引文書に含まれる注記。
UN01005877,Issuer,発行者,The party that issues this CIIH exchanged document.,CIIHの取引文書を発行する事業者。
UN01012686,Signatory Document Authentication,署名文書の認証,The signatory authentication for this CIIH exchanged document.,CIIHの取引文書の署名者認証。
UN01012702,Other Referenced Documents,その他の参考文献,Other documents referenced by this CIIH exchanged document.,CIIHの取引文書が参照するその他の文書。
UN01015490,Attached Binary File,添付されたバイナリファイル,A binary file attached to this CIIH exchanged document.,CIIHの取引文書に添付されたバイナリファイル。
UN01005878,CIIH Trade Agreement,CIIH取引協定,The contractual terms of the supply chain trade agreement for this Cross Industry Invoice Header (CIIH).,CIIHサプライチェーン取引契約の契約条件。
UN01008552,Buyer Reference Text,買い手参照テキスト,"The buyer reference, expressed as text, for this CIIH supply chain trade agreement.",CIIHサプライチェーン取引契約の買い手参照（テキストで表現）。
UN01005879,Seller,売り手,The party that is the seller for this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約における売り手事業者。
UN01005880,Buyer,買い手,The party that is the buyer for this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約における買い手である事業者。
UN01005881,Buyer Assigned Accountant,買い手指定の会計士,The trade party assigned as an accountant by the buyer for this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約において、買手により会計担当者として指名された取引当事者。
UN01005882,Seller Assigned Accountant,売り手指定の会計士,The trade party assigned as an accountant by the seller for this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約において、売り手によって会計担当者として割り当てられた取引事業者。
UN01005883,Buyer Tax Representative,買い手の税務代理人,The trade party acting as a tax representative for the buyer for this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約における買い手の税務代理人として活動する取引事業者。
UN01005884,Seller Tax Representative,売り手税務代理人,The trade party acting as a tax representative for the seller for this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約における売主の税務代理人として活動する取引事業者。
UN01005885,Delivery Terms,配送条件,The trade terms of delivery applicable to this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約に適用される取引納品条件。
UN01005886,Seller Order Document,売り手注文書,The seller order document referenced from this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約から参照される売り手注文書。
UN01005887,Buyer Order Document,買い手注文書,The buyer order document referenced from this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約で参照される買い手注文書。
UN01005888,Quotation Document,見積書,The quotation document referenced from this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約で参照される見積書。
UN01005889,Order Response Document,注文回答書,The order response document referenced from this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約で参照される発注応答文書。
UN01005890,Contract Document,契約書,The contract document referenced from this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約で参照される契約文書。
UN01005891,Demand Forecast Document,需要予測文書,The demand forecast document referenced from this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約で参照される需要予測文書。
UN01005892,Supply Instruction Document,供給指示書,The supply instruction document referenced from this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約で参照される供給指示書。
UN01005893,Promotional Deal Document,プロモーション取引文書,The promotional deal document referenced from this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約で参照されるプロモーション取引文書。
UN01005894,Price List Document,価格表文書,The price list document referenced from this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約で参照される価格表文書。
UN01005895,Additional Document,追加文書,An additional document referenced from this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約で参照される追加文書。
UN01006058,Buyer Requisitioner,買い手の購買依頼者,A Cross Industry (CI) trade party who is a buyer requisitioner in this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約において買い手要求者であるインボイス取引事業者。
UN01006061,Requisitioner Document,請求者文書,A requisitioner Cross Industry (CI) document referenced in this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約で参照される要求者インボイス文書。
UN01008553,Buyer Agent,バイヤーエージェント,The party representing the buyer in this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約において買い手を代表する事業者。
UN01008554,Sales Agent,販売代理店,The party representing the seller in this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約において売り手を代表する事業者。
UN01011516,Procuring Project,調達プロジェクト,The procuring project specified for this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約に指定された調達プロジェクト。
UN01012688,Pricing Base Applicable Logistics Location,価格設定ベース 適用可能な物流拠点,The logistics location applicable to the pricing base for this CIIH supply chain trade agreement.,CIIHサプライチェーン取引契約の価格設定基準に適用される物流拠点。
UN01005896,CIIH Trade Delivery,CIIH 取引配送,Cross Industry Invoice Header (CIIH) supply chain shipping arrangements and movement of products and or services including despatch and delivery.,CIIHサプライチェーンにおける出荷手配および製品・サービスの移動（発送および配送を含む）。
UN01005897,Consignment,委託,The Cross Industry (CI) supply chain consignment related to this CIIH supply chain trade delivery.,CIIHサプライチェーン取引納品に関連するインボイスサプライチェーン委託品。
UN01005898,Ship To Party,配送先事業者,The Cross Industry (CI) trade party who is the ship to party for this CIIH supply chain trade delivery.,CIIHサプライチェーン取引配送における荷受先となるインボイス取引事業者。
UN01005899,Ultimate Ship To Party,最終配送先事業者,The Cross Industry (CI) trade party who is the ultimate ship to party for this CIIH supply chain trade delivery.,CIIHサプライチェーン取引配送における最終的な荷受先となるインボイス取引事業者。
UN01005900,Ship From Party,配送元事業者,The Cross Industry (CI) trade party who is the ship from party for this CIIH supply chain trade delivery.,CIIHサプライチェーン取引配送における出荷元となるインボイス取引事業者。
UN01005901,Actual Despatch Event,実際の発送イベント,The Cross Industry (CI) actual supply chain despatch event for this CIIH supply chain trade delivery.,CIIHサプライチェーン取引配送に関するインボイスの実際のサプライチェーン発送イベント。
UN01005902,Actual Pick-Up Event,実際のピックアップイベント,The Cross Industry (CI) actual supply chain pick-up event for this CIIH supply chain trade delivery.,CIIHサプライチェーン取引配送におけるインボイスの実際のサプライチェーン集荷イベント。
UN01005903,Actual Delivery Event,実際の配送イベント,The Cross Industry (CI) actual supply chain delivery event for this CIIH supply chain trade delivery.,CIIHサプライチェーン取引配送におけるインボイスの実際のサプライチェーン配送イベント。
UN01005904,Actual Receipt Event,実際の受領イベント,The Cross Industry (CI) actual supply chain receipt event for this CIIH supply chain trade delivery.,CIIHサプライチェーン取引配送に対するインボイスの実際のサプライチェーン受領イベント。
UN01005905,Despatch Advice Document,発送通知書,The Cross Industry (CI) despatch advice document referenced from this CIIH supply chain trade delivery.,CIIHサプライチェーン取引納品から参照されたインボイス発送通知書。
UN01005906,Receiving Advice Document,受領案内文書,The Cross Industry (CI) receiving advice document referenced from this CIIH supply chain trade delivery.,CIIHサプライチェーン取引配送から参照されるインボイス受領通知文書。
