sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,DEN,version
1,1,Class,,Cross Industry_ Invoice,,,,,"A message used as a request for payment, or modification of a request for payment, for the supply of goods or services ordered,",MA,Cross Industry_ Invoice. Details,January 2017
2,2,Composition,,Cross Industry_ Invoice,,,Exchanged Document_ Context,1..1,The set of context parameters specified for a use of this UNeDocs buy master message assembly.,ASMA,Cross Industry_ Invoice. Exchanged Document_ Context,January 2017
3,2,Composition,,Cross Industry_ Invoice,,,Exchanged_ Document,1..1,The header document information ffor a use of this UNeDocs buy master message assembly.,ASMA,Cross Industry_ Invoice. Exchanged_ Document,January 2017
4,2,Composition,,Cross Industry_ Invoice,,,Supply Chain_ Trade Transaction,1..1,A supply chain trade transaction specified for a use of this UNeDocs buy master message assembly.,ASMA,Cross Industry_ Invoice. Supply Chain_ Trade Transaction,January 2017
5,2,Composition,,Cross Industry_ Invoice,,,Valuation_ Breakdown Statement,0..1,"A detailed statement of work, prices, and dimensions for this cross industry invoice.",ASMA,Cross Industry_ Invoice. Valuation_ Breakdown Statement,January 2017
6,1,Class,,Advance_ Payment,,,,,A prepaid discharge of obligations in respect of funds or securities transferred between two or more parties.,ABIE,Advance_ Payment. Details,January 2017
7,2,Attribute,,Advance_ Payment,Paid,Amount,,1..1,The monetary value of the funds or securities paid in this advance payment.,BBIE,Advance_ Payment. Paid. Amount,January 2017
8,2,Attribute,,Advance_ Payment,Formatted_ Received,Date Time,,0..1,The formatted date or date time value when an advance payment has been received.,BBIE,Advance_ Payment. Formatted_ Received. Date Time,January 2017
9,1,Class,,Applied_ Allowance Charge,,,,,The applied allowance or charge component of pricing.,ABIE,Applied_ Allowance Charge. Details,January 2017
10,2,Attribute,,Applied_ Allowance Charge,Actual,Amount,,0..1,The actual monetary value of the applied allowance charge.,BBIE,Applied_ Allowance Charge. Actual. Amount,January 2017
11,2,Attribute,,Applied_ Allowance Charge,Description,Text,,0..1,The textual description of the applied allowance charge.,BBIE,Applied_ Allowance Charge. Description. Text,January 2017
12,2,Attribute,,Applied_ Allowance Charge,Reason,Code,,0..1,The code specifying the reason for this applied allowance charge.,BBIE,Applied_ Allowance Charge. Reason. Code,January 2017
13,2,Attribute,,Applied_ Allowance Charge,Calculation,Percent,,0..1,The percentage used to calculate the applied allowance charge.,BBIE,Applied_ Allowance Charge. Calculation. Percent,January 2017
14,2,Attribute,,Applied_ Allowance Charge,Basis,Amount,,0..1,The monetary value that is the basis on which the applied allowance charge is calculated.,BBIE,Applied_ Allowance Charge. Basis. Amount,January 2017
15,2,Attribute,,Applied_ Allowance Charge,Charge,Indicator,,1..1,The indication of whether or not the applied allowance charge is a charge.,BBIE,Applied_ Allowance Charge. Charge. Indicator,January 2017
16,2,Composition,,Applied_ Allowance Charge,Category,,Applied_ Tax,0..1,The applied tax category of this applied allowance charge.,ASBIE,Applied_ Allowance Charge. Category. Applied_ Tax,January 2017
17,1,Class,,Applied_ Tax,,,,,"A total levy or payment for the support of a government that is required of persons, groups, or businesses within the domain of that government.",ABIE,Applied_ Tax. Details,January 2017
18,2,Attribute,,Applied_ Tax,Calculated,Amount,,0..1,The monetary value resulting from the calculation of the applied tax.,BBIE,Applied_ Tax. Calculated. Amount,January 2017
19,2,Attribute,,Applied_ Tax,Type,Code,,0..1,The code specifying the applied tax type such as VAT.,BBIE,Applied_ Tax. Type. Code,January 2017
20,2,Attribute,,Applied_ Tax,Calculated,Rate,,0..1,The rate used to calculate the applied tax.,BBIE,Applied_ Tax. Calculated. Rate,January 2017
21,2,Attribute,,Applied_ Tax,Basis,Amount,,0..1,The monetary value used as the basis in calculating the applied tax.,BBIE,Applied_ Tax. Basis. Amount,January 2017
22,2,Attribute,,Applied_ Tax,Tax Point,Date,,0..1,"The date of the tax point when taxes, such as VAT, are to be applied.",BBIE,Applied_ Tax. Tax Point. Date,January 2017
23,1,Class,,Available_ Period,,,,,"A specific period of time such as the length of time between two known date/time points, from a start date onwards, or up to an end date for which something is available.",ABIE,Available_ Period. Details,January 2017
24,2,Attribute,,Available_ Period,Start,Date Time,,0..1,"The date, time, date time or other date time value for the start of this available period of time.",BBIE,Available_ Period. Start. Date Time,January 2017
25,2,Attribute,,Available_ Period,End,Date Time,,0..1,"The date, time, date time or other date time value for the end of this available period of time.",BBIE,Available_ Period. End. Date Time,January 2017
26,2,Attribute,,Available_ Period,Description,Text,,0..1,The textual description of this available period.,BBIE,Available_ Period. Description. Text,January 2017
27,1,Class,,Basic_ Work Item,,,,,A basic item of work.,ABIE,Basic_ Work Item. Details,January 2017
28,2,Attribute,,Basic_ Work Item,Identification,Identifier,,1..1,The unique identifier for this basic work item.,BBIE,Basic_ Work Item. Identification. Identifier,January 2017
29,2,Attribute,,Basic_ Work Item,Reference_ Identification,Identifier,,0..1,The unique identifier of another work item referenced by this basic work item.,BBIE,Basic_ Work Item. Reference_ Identification. Identifier,January 2017
30,2,Attribute,,Basic_ Work Item,Primary_ Classification,Code,,0..n,A code specifying the primary classification for this basic work item.,BBIE,Basic_ Work Item. Primary_ Classification. Code,January 2017
31,2,Attribute,,Basic_ Work Item,Alternative_ Classification,Code,,0..n,A code specifying an alternative classification for this basic work item.,BBIE,Basic_ Work Item. Alternative_ Classification. Code,January 2017
32,2,Attribute,,Basic_ Work Item,Type,Code,,0..n,A code specifying the type of basic work item.,BBIE,Basic_ Work Item. Type. Code,January 2017
33,2,Attribute,,Basic_ Work Item,Comment,Text,,0..n,"A comment, expressed as text, for this basic work item.",BBIE,Basic_ Work Item. Comment. Text,January 2017
34,2,Attribute,,Basic_ Work Item,Total,Quantity,,0..1,The total quantity for this basic work item.,BBIE,Basic_ Work Item. Total. Quantity,January 2017
35,2,Attribute,,Basic_ Work Item,Total Quantity Classification,Code,,0..1,The code specifying the classification of the total quantity for this basic work item.,BBIE,Basic_ Work Item. Total Quantity Classification. Code,January 2017
36,2,Attribute,,Basic_ Work Item,Index,Value,,0..1,The index value for this basic work item.,BBIE,Basic_ Work Item. Index. Value,January 2017
37,2,Attribute,,Basic_ Work Item,Status,Code,,0..n,A code specifying the status of this basic work item.,BBIE,Basic_ Work Item. Status. Code,January 2017
38,2,Attribute,,Basic_ Work Item,Reference File,Binary Object,,0..n,A reference file binary object related to this basic work item.,BBIE,Basic_ Work Item. Reference File. Binary Object,January 2017
39,2,Attribute,,Basic_ Work Item,Index,Text,,0..1,"The index, expressed as text, to be used for this basic work item.",BBIE,Basic_ Work Item. Index. Text,January 2017
40,2,Attribute,,Basic_ Work Item,Requested Action,Code,,0..n,A code specifying a requested action for this basic work item.,BBIE,Basic_ Work Item. Requested Action. Code,January 2017
41,2,Attribute,,Basic_ Work Item,Price List Item_ Identification,Identifier,,0..1,The unique identifier of a price list item for this basic work item.,BBIE,Basic_ Work Item. Price List Item_ Identification. Identifier,January 2017
42,2,Attribute,,Basic_ Work Item,Contractual Language,Code,,0..1,The code specifying the contractual language for this basic work item.,BBIE,Basic_ Work Item. Contractual Language. Code,January 2017
43,2,Composition,,Basic_ Work Item,Actual,,Work Item_ Complex Description,0..n,An actual complex description for this basic work item.,ASBIE,Basic_ Work Item. Actual. Work Item_ Complex Description,January 2017
44,2,Composition,,Basic_ Work Item,Total Quantity,,Work Item_ Quantity Analysis,0..n,An analysis of the total quantity for this basic work item.,ASBIE,Basic_ Work Item. Total Quantity. Work Item_ Quantity Analysis,January 2017
45,2,Composition,,Basic_ Work Item,Unit,,Calculated_ Price,0..n,A unit calculated price for this basic work item.,ASBIE,Basic_ Work Item. Unit. Calculated_ Price,January 2017
46,2,Composition,,Basic_ Work Item,Total,,Calculated_ Price,0..n,A total calculated price for this basic work item.,ASBIE,Basic_ Work Item. Total. Calculated_ Price,January 2017
47,2,Composition,,Basic_ Work Item,Subordinate,,Basic_ Work Item,0..n,A subordinate work item for this basic work item.,ASBIE,Basic_ Work Item. Subordinate. Basic_ Work Item,January 2017
48,2,Composition,,Basic_ Work Item,Changed,,Recorded_ Status,0..n,A changed recorded status for this basic work item.,ASBIE,Basic_ Work Item. Changed. Recorded_ Status,January 2017
49,2,Composition,,Basic_ Work Item,Item,,Basic_ Work Item,0..n,A basic work item in this basic work item.,ASBIE,Basic_ Work Item. Item. Basic_ Work Item,January 2017
50,2,Composition,,Basic_ Work Item,Referenced,,Specified_ Binary File,0..n,A specified binary file referenced by this basic work item.,ASBIE,Basic_ Work Item. Referenced. Specified_ Binary File,January 2017
51,1,Class,,Branch_ Financial Institution,,,,,"A sub-division of a bank, building society, credit union, stock brokerage, or similar business; established primarily to provide financial services and financial transactions.",ABIE,Branch_ Financial Institution. Details,January 2017
52,2,Attribute,,Branch_ Financial Institution,Identification,Identifier,,0..1,The unique identifier for this branch of a financial institution.,BBIE,Branch_ Financial Institution. Identification. Identifier,January 2017
53,2,Attribute,,Branch_ Financial Institution,Name,Text,,0..1,"The name, expressed as text, for this branch of a financial institution.",BBIE,Branch_ Financial Institution. Name. Text,January 2017
54,2,Composition,,Branch_ Financial Institution,Location,,Financial Institution_ Address,0..1,The location address for this branch of a financial institution.,ASBIE,Branch_ Financial Institution. Location. Financial Institution_ Address,January 2017
55,1,Class,,Calculated_ Price,,,,,Information related to a calculated price.,ABIE,Calculated_ Price. Details,January 2017
56,2,Attribute,,Calculated_ Price,Type,Code,,0..n,A code specifying the type of calculated price.,BBIE,Calculated_ Price. Type. Code,January 2017
57,2,Attribute,,Calculated_ Price,Charge,Amount,,0..n,A monetary value of the calculated price to be charged.,BBIE,Calculated_ Price. Charge. Amount,January 2017
58,2,Composition,,Calculated_ Price,Related,,Applied_ Allowance Charge,0..n,Applied allowance charge information related to this calculated price.,ASBIE,Calculated_ Price. Related. Applied_ Allowance Charge,January 2017
59,1,Class,,Contact_ Person,,,,,An individual human being in a position to give assistance or information.,ABIE,Contact_ Person. Details,January 2017
60,2,Attribute,,Contact_ Person,Given Name,Text,,0..1,"The name, expressed as text, given to this contact person, usually by parents at birth.",BBIE,Contact_ Person. Given Name. Text,January 2017
61,2,Attribute,,Contact_ Person,Middle Name,Text,,0..1,"The middle name, expressed as text, of this contact person, usually given by parents at birth.",BBIE,Contact_ Person. Middle Name. Text,January 2017
62,2,Attribute,,Contact_ Person,Family Name,Text,,0..1,"The name, expressed as text, that this contact person shares with members of his/her family.",BBIE,Contact_ Person. Family Name. Text,January 2017
63,1,Class,,Creditor_ Financial Account,,,,,A specific business arrangement whereby credits arising from transactions are recorded.,ABIE,Creditor_ Financial Account. Details,January 2017
64,2,Attribute,,Creditor_ Financial Account,IBAN_ Identification,Identifier,,0..1,The unique International Bank Account Number (IBAN) identifier for this creditor financial account.,BBIE,Creditor_ Financial Account. IBAN_ Identification. Identifier,January 2017
65,2,Attribute,,Creditor_ Financial Account,Account Name,Text,,0..1,"The account name, expressed as text, of this creditor financial account.",BBIE,Creditor_ Financial Account. Account Name. Text,January 2017
66,2,Attribute,,Creditor_ Financial Account,Proprietary_ Identification,Identifier,,0..1,The unique proprietary identifier for this creditor financial account.,BBIE,Creditor_ Financial Account. Proprietary_ Identification. Identifier,January 2017
67,1,Class,,Creditor_ Financial Institution,,,,,"A bank, building society, credit union, stock brokerage, or similar business of the party that receives money.",ABIE,Creditor_ Financial Institution. Details,January 2017
68,2,Attribute,,Creditor_ Financial Institution,BIC,Identifier,,0..1,The unique Bank Identification Code (BIC) as defined in ISO 9362 for this creditor financial institution.,BBIE,Creditor_ Financial Institution. BIC. Identifier,January 2017
69,2,Attribute,,Creditor_ Financial Institution,CHIPS Universal_ Identification,Identifier,,0..1,The unique (United States) Clearing House Interbank Payments System (CHIPS) Universal Identification (UID) as assigned by the New York Clearing House for this creditor financial institution.,BBIE,Creditor_ Financial Institution. CHIPS Universal_ Identification. Identifier,January 2017
70,2,Attribute,,Creditor_ Financial Institution,New Zealand NCC_ Identification,Identifier,,0..1,The unique New Zealand National Clearing Code (NCC) identifier as assigned by the New Zealand Bankers' Association (NZBA) for this creditor financial institution.,BBIE,Creditor_ Financial Institution. New Zealand NCC_ Identification. Identifier,January 2017
71,2,Attribute,,Creditor_ Financial Institution,Irish NSC_ Identification,Identifier,,0..1,The unique Irish National Sorting Code (NSC) identifier as assigned by the Irish Payments Services Organisation (IPSO) for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Irish NSC_ Identification. Identifier,January 2017
72,2,Attribute,,Creditor_ Financial Institution,UK Sort Code_ Identification,Identifier,,0..1,The unique United Kingdom (UK) Sort Code identifier as assigned by the UK Payment Association (APACS) for this creditor financial institution.,BBIE,Creditor_ Financial Institution. UK Sort Code_ Identification. Identifier,January 2017
73,2,Attribute,,Creditor_ Financial Institution,CHIPS Participant_ Identification,Identifier,,0..1,The unique (United States) Clearing House Interbank Payment System (CHIPS) Participant Identifier (ID) as assigned by the New York Clearing House for this creditor financial institution.,BBIE,Creditor_ Financial Institution. CHIPS Participant_ Identification. Identifier,January 2017
