nr,category,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_ja,label_local,definition_local,multiplicity,selector,fixed_value,version,code_list,issueing_agency,input_method,input_value,xml_imput_sing,selfbilling,amendment_selfbilling,Id,Business Term,Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ヘッダ部,,MA,SME_ Consolidated Self Invoice,,,,,,,,,,,,,,統合仕入明細（検収）書,発注者が受注者に交付する統合仕入明細（検収）文書（メッセージ）,－,,v4/v4.3, ,　 ,  　 , 　 ,,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ヘッダ部,UN01005479,ASMA,CI_ Exchanged Document_ Context. Details,,,,,,,,,,,,,,取引設定クラス,メッセージの設定内容に関する情報からなるクラス,0..1,,v1,  ,　 ,  　 , 　 ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ヘッダ部,UN01005480,BBIE,,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,,,,,,,,,,,,,取引ID,メッセージがやり取りされる取引識別番号,0..1,,v1,  , 　 ,  　 , 　 ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ヘッダ部,UN01012746,BBIE,,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,,,,,,,,,,,,,処理日時,メッセージがやり取りされる日時,0..1,,v1/v2,,, , 　 ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ヘッダ部,UN01005481,ASBIE,,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,,取引設定内容/取引プロセスグループ,取引設定内容の取引プロセスに関する情報,1..1,,v1, ,　 , 　 , 　 ,,△,△,☆,,IBG-02,PROCESS CONTROL,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,取引プロセス設定クラス,取引プロセスに関する情報のクラス, -,,v1, ,　 , 　 , 　 ,,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,取引プロセスID,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",0..1,,v1,JECxxxx,JEC,"ID値
固定入力",SMEConsolidatedSelfInvoice,,△,△,☆,1,IBT-023,?  Business process type,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,取引プロセス名,取引プロセスの名称,0..1,,v1,,, 　 , 　 ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ヘッダ部,UN01005474,ASBIE,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,,,,,,,,,取引プロセス/バージョングループ,取引プロセスのバージョンに関する情報,1..1,,v1,  ,　 , 　 , 　 ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ヘッダ部,UN01005475,ABIE,,,,,CI_ Document_ Version. Details,,,,,,,,,,バージョンクラス,バージョンに関する情報のクラス, - ,,v1,  ,　 , 　 , 　 ,,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
