version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,class_term,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v4.3,1,0,C,,,MA,コア仕入明細（検収）書,－,SME_ Core Self Invoice,,,,発注者が受注者に交付するコア仕入明細（検収）文書（メッセージ）,,,SME_ Core Self Invoice,,,SMECoreSelfInvoice,SMECoreSelfInvoice,/SMECoreSelfInvoice
v1,2,1,C,,UN01005479,ASMA,取引設定クラス,0..1,CI_ Exchanged Document_ Context,,,,メッセージの設定内容に関する情報からなるクラス,,,CI_ Exchanged Document_ Context. Details,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",CI Document Context,SMECoreSelfInvoiceExchangedDocumentContext,ExchangedDocumentContext,/SMECoreSelfInvoice/ExchangedDocumentContext
v1,3,2,A,,UN01005480,BBIE,取引ID,0..1,CI_ Exchanged Document_ Context,Specified_ Transaction,Identifier,,メッセージがやり取りされる取引識別番号,,,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,The identifier of a specified transaction in this CI exchanged document context.,Transaction ID,ExchangedDocumentContextTransactionID,TransactionID,/SMECoreSelfInvoice/ExchangedDocumentContext/TransactionID
v1/v2,4,2,A,,UN01012746,BBIE,処理日時,0..1,CI_ Exchanged Document_ Context,Processing_ Transaction,Date Time,,メッセージがやり取りされる日時,,,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context.",Transaction Processing Date Time,ExchangedDocumentContextTransactionDateTime,TransactionDateTime,/SMECoreSelfInvoice/ExchangedDocumentContext/TransactionDateTime
v1,5,2,C,,UN01005481,ASBIE,取引設定内容/取引プロセスグループ,1..1,CI_ Exchanged Document_ Context,Business Process_ Specified,,CI_ Document Context_ Parameter,取引設定内容の取引プロセスに関する情報,,,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,A business process CI document context parameter specified for this CI exchanged document context.,Business Process,ExchangedDocumentContextBusinessProcessDocumentContextParameter,BusinessProcessDocumentContextParameter,/SMECoreSelfInvoice/ExchangedDocumentContext/BusinessProcessDocumentContextParameter
v1,7,3,A,,UN01005472,BBIE,取引プロセスID,0..1,CI_ Document Context_ Parameter,Identification,Identifier,,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",JECxxxx,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedBusinessProcessDocumentContextParameterID,ID,/SMECoreSelfInvoice/ExchangedDocumentContext/BusinessProcessDocumentContextParameter/ID
v1,8,3,A,,UN01005473,BBIE,取引プロセス名,0..1,CI_ Document Context_ Parameter,Value,Text,,取引プロセスの名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedBusinessProcessDocumentContextParameterValueText,Value,/SMECoreSelfInvoice/ExchangedDocumentContext/BusinessProcessDocumentContextParameter/Value
v1,9,3,C,,UN01005474,ASBIE,取引プロセス/バージョングループ,1..1,CI_ Document Context_ Parameter,Specified,,CI_ Document_ Version,取引プロセスのバージョンに関する情報,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,The CI document version specified for this CI document context parameter.,Version,ExchangedBusinessProcessDocumentContextParameterDocumentVersion,DocumentVersion,/SMECoreSelfInvoice/ExchangedDocumentContext/BusinessProcessDocumentContextParameter/DocumentVersion
v1,11,4,A,,UN01005476,BBIE,バージョンID,0..1,CI_ Document_ Version,Identification,Identifier,,取引プロセスのバージョン識別番号,,,CI_ Document_ Version. Identification. Identifier,The unique identifier for this CI document version.,ID,BusinessProcessContextParameterDocumentVersionID,ID,/SMECoreSelfInvoice/ExchangedDocumentContext/BusinessProcessDocumentContextParameter/DocumentVersion/ID
v1,12,4,A,,UN01005478,BBIE,バージョン発行日,0..1,CI_ Document_ Version,Issue,Date Time,,取引プロセスのバージョン発行日,,,CI_ Document_ Version. Issue. Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Issue Date Time,BusinessProcessContextParameterDocumentVersionIssueDateTime,IssueDateTime,/SMECoreSelfInvoice/ExchangedDocumentContext/BusinessProcessDocumentContextParameter/DocumentVersion/IssueDateTime
