seq,acronym,property_type,class_term,property_term,representation_term,code_list,associated_class,element,DEN,multiplicity,definition,TDED,short_name,UNID,level,version,sequence,type,identifier,label_local,definition_local,attribute,xpath,name,multiplicity_SME
3447,ABIE,Class,CI_ Exchanged Document_ Context,,,,CI_ Exchanged Document_ Context,CIExchangedDocumentContext,CI_ Exchanged Document_ Context. Details,1..n,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",,CI Document Context,UN01005479,2,v1,2,C,,取引設定クラス,メッセージの設定内容に関する情報からなるクラス,,/SMECoreSelfInvoice/CIExchangedDocumentContext,SMECoreSelfInvoiceExchangedDocumentContextDetails,1..n
2178,ABIE,Class,CIIH_ Exchanged_ Document,,,,CIIH_ Exchanged_ Document,CIIHExchangedDocument,CIIH_ Exchanged_ Document. Details,1..n,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",,CIIH Exchanged Document,UN01005861,2,v1,29,C,,インボイス文書クラス,インボイス文書に関する情報項目のクラス,,/SMECoreSelfInvoice/CIIHExchangedDocument,SMECoreSelfInvoiceExchangedDocumentDetails,1..n
2287,ABIE,Class,CIIH_ Supply Chain_ Trade Transaction,,,,CIIH_ Supply Chain_ Trade Transaction,CIIHSupplyChainTradeTransaction,CIIH_ Supply Chain_ Trade Transaction. Details,1..n,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",,CIIH Trade Transaction,UN01005936,2,v1,51,C,,インボイス文書取引内容クラス,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction,SMECoreSelfInvoiceTransactionDetails,1..n
3456,ASBIE,Composition,CI_ Exchanged Document_ Context,I,,,_,I,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,1..1(0..n),A subset CI document context parameter specified for this CI exchanged document context.,,Subset,UN01005486,2,v1,21,C,,取引設定内容/ドメイングループ,取引設定内容のドメインの情報に関する情報,,/SMECoreSelfInvoice/CIExchangedDocumentContext/I,ExchangedDocumentContextSubsetDocumentContextParameter,
3448,BBIE,Attribute,CI_ Exchanged Document_ Context,I,_,,,SpecifiedTransactionID,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,0..1,The identifier of a specified transaction in this CI exchanged document context.,,Transaction ID,UN01005480,2,v1,3,A,,取引ID,メッセージがやり取りされる取引識別番号,,/SMECoreSelfInvoice/CIExchangedDocumentContext/I,ExchangedDocumentContextTransactionID,0..0
3449,BBIE,Attribute,CI_ Exchanged Document_ Context,I,_,,,ProcessingTransactionDateTime,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,0..1,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context.",,Transaction Processing Date Time,UN01012746,2,v1/v2,4,A,,処理日時,メッセージがやり取りされる日時,,/SMECoreSelfInvoice/CIExchangedDocumentContext/I,ExchangedDocumentContextTransactionDateTime,0..0
3450,BBIE,Attribute,CI_ Exchanged Document_ Context,Test,Indicator,UNCL(0035),,TestIndicator,CI_ Exchanged Document_ Context. Test. Indicator,0..1,The indication of whether or not this CI exchanged document context is a test.,(0035),Test Indicator,UN01014648,,,,,,,,,,,0..0
3451,ASBIE,Composition,CI_ Exchanged Document_ Context,Business Process Specified,,,CI_ Document Context Parameter,BusinessProcessSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,0..n,A business process CI document context parameter specified for this CI exchanged document context.,,Business Process,UN01005481,,,,,,,,,,,0..0
3452,ASBIE,Composition,CI_ Exchanged Document_ Context,BIM Specified,,,CI_ Document Context Parameter,BIMSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. BIM_ Specified. CI_ Document Context_ Parameter,0..n,A Business Information Master (BIM) CI document context parameter specified for this CI exchanged document context.,,BIM,UN01005482,,,,,,,,,,,0..0
3453,ASBIE,Composition,CI_ Exchanged Document_ Context,Scenario Specified,,,CI_ Document Context Parameter,ScenarioSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,0..n,A scenario CI document context parameter specified for this CI exchanged document context.,,Scenario,UN01005483,,,,,,,,,,,0..0
