version,sme_nr,mbie_nr,level,UNID,acronym,label_local,multiplicity,multiplicity_SME,property_type,class_term,sequence,identifier,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v4/v4.3,1,0,1,,MA,統合仕入明細（検収）書,,,Class,SME_ Consolidated Self Invoice,0,,,,,発注者が受注者に交付する統合仕入明細（検収）文書（メッセージ）,,,SME_ Consolidated Self Invoice,,,SMEConsolidatedSelfInvoice,SMEConsolidatedSelfInvoice,/SMEConsolidatedSelfInvoice
v1,29,2179,2,UN01005861,ASMA,インボイス文書クラス,,,Composition,SME_ Consolidated Self Invoice,0,,,,CIIH_ Exchanged_ Document,インボイス文書に関する情報項目のクラス,,,CIIH_ Exchanged_ Document. Details,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",CIIH Exchanged Document,SMEConsolidatedSelfInvoiceExchangedDocumentDetails,CIIHExchangedDocument,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument
v1,62,2288,2,UN01005936,ASMA,インボイス文書取引内容クラス,,,Composition,SME_ Consolidated Self Invoice,0,,,,CIIH_ Supply Chain_ Trade Transaction,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,,,CIIH_ Supply Chain_ Trade Transaction. Details,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",CIIH Trade Transaction,SMEConsolidatedSelfInvoiceTransactionDetails,CIIHSupplyChainTradeTransaction,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction
v1,2,3448,2,UN01005479,ASMA,取引設定クラス,,,Composition,SME_ Consolidated Self Invoice,0,,,,CI_ Exchanged Document_ Context,メッセージの設定内容に関する情報からなるクラス,,,CI_ Exchanged Document_ Context. Details,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",CI Document Context,SMEConsolidatedSelfInvoiceExchangedDocumentContextDetails,CIExchangedDocumentContext,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext
v1,2,3448,1,UN01005479,ASMA,取引設定クラス,,,Class,CI_ Exchanged Document_ Context,0,,,,,メッセージの設定内容に関する情報からなるクラス,,,CI_ Exchanged Document_ Context. Details,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",CI Document Context,SMEConsolidatedSelfInvoiceExchangedDocumentContextDetails,CIExchangedDocumentContext,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext
v1,3,3449,2,UN01005480,BBIE,取引ID,0..1,0..1,Attribute,CI_ Exchanged Document_ Context,1,,Specified_ Transaction,Identifier,,メッセージがやり取りされる取引識別番号,,,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,The identifier of a specified transaction in this CI exchanged document context.,Transaction ID,ExchangedDocumentContextTransactionID,SpecifiedTransactionID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SpecifiedTransactionID
v1/v2,4,3450,2,UN01012746,BBIE,処理日時,0..1,0..1,Attribute,CI_ Exchanged Document_ Context,2,,Processing_ Transaction,Date Time,,メッセージがやり取りされる日時,,,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context.",Transaction Processing Date Time,ExchangedDocumentContextTransactionDateTime,ProcessingTransactionDateTime,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ProcessingTransactionDateTime
v1,5,3452,2,UN01005481,ASBIE,取引設定内容/取引プロセスグループ,0..n,1..1,Composition,CI_ Exchanged Document_ Context,1,,Business Process_ Specified,,CI_ Document Context_ Parameter,取引設定内容の取引プロセスに関する情報,,,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,A business process CI document context parameter specified for this CI exchanged document context.,Business Process,ExchangedDocumentContextBusinessProcessDocumentContextParameter,BusinessProcessSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter
v1,13,3454,2,UN01005483,ASBIE,取引設定内容/取引シナリオグループ,0..n,0..1,Composition,CI_ Exchanged Document_ Context,3,,Scenario_ Specified,,CI_ Document Context_ Parameter,取引設定内容の取引シナリオに関する情報,,,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,A scenario CI document context parameter specified for this CI exchanged document context.,Scenario,ExchangedDocumentContextScenarioDocumentContextParameter,ScenarioSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter
v1,17,3455,2,UN01005484,ASBIE,取引設定内容/アプリケーショングループ,0..n,0..1,Composition,CI_ Exchanged Document_ Context,4,,Application_ Specified,,CI_ Document Context_ Parameter,取引設定内容のアプリケーションに関する情報,,,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,An application CI document context parameter specified for this CI exchanged document context.,Application,ExchangedDocumentContextApplicationDocumentContextParameter,ApplicationSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter
