version,sme_nr,mbie_nr,acronym,level,multiplicity,multiplicity_sme,label_sme,definition_sme,level_csv,multiplicity_csv,label_csv,label_ja,definition_ja,UNID,DEN,short_name,definition,property_type,class_term,sequence,identifier,property_term,representation_term,code_list,XML_datatype,associated_class,selector,fixed_value,element,XML_element_name,xpath
v4/v4.3,1,,MA,1,,1..1,統合仕入明細書,発注者が受注者に交付する統合仕入明細文書（メッセージ）,1,,統合仕入明細（検収）書,,,JP00000000,SME_ Consolidated Self Invoice,,,Class,SME_ Consolidated Self Invoice,,,,,,,,,,SMEConsolidatedSelfInvoice,SMEConsolidatedSelfInvoice,/SMEConsolidatedSelfInvoice
v1,2.0,3448,ASMA,2,0..1,0..1,取引設定グループ,メッセージの設定内容に関する情報からなるグループ,,,,CI文書のコンテキスト,取引文書のシナリオまたは設定（例：ビジネスプロセスアプリケーションコンテキスト）。,JPSxxxxxxxx,SME_ Consolidated Self Invoice. Specified. CI_ Exchanged Document_ Context,CI Document Context,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",Composition,SME_ Consolidated Self Invoice,,,,,,ram:CIExchangedDocumentContextType,CI_ Exchanged Document_ Context,,,CIExchangedDocumentContext,CIExchangedDocumentContext,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext
v1,2,3448,ABIE,2,,,取引設定クラス,メッセージの設定内容に関する情報からなるグループ,,,,CI文書のコンテキスト,取引文書のシナリオまたは設定（例：ビジネスプロセスアプリケーションコンテキスト）。,UN01005479,CI_ Exchanged Document_ Context. Details,CI Document Context,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",Class,CI_ Exchanged Document_ Context,,,,,,ram:CIExchangedDocumentContextType,,,,CIExchangedDocumentContext,CIExchangedDocumentContext,
v1,3.0,3449,BBIE,3,0..1,0..1,取引ID,メッセージがやり取りされる取引識別番号,2,0..1,取引ID,取引ID,インボイスの取引文書コンテキストにおける特定トランザクションの識別子。,UN01005480,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,Transaction ID,The identifier of a specified transaction in this CI exchanged document context.,Attribute,CI_ Exchanged Document_ Context,1,,Specified_ Transaction,Identifier,,udt:IDType,,,,SpecifiedTransactionID,SpecifiedTransactionID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SpecifiedTransactionID
v1/v2,4.0,3450,BBIE,3,0..1,0..1,処理日時,メッセージがやり取りされる日時,2,0..1,処理日時,取引処理日時,インボイスの取引文書コンテキストにおけるトランザクション処理の日付、時刻、日付時刻、またはその他の日付時刻値。,UN01012746,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,Transaction Processing Date Time,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context.",Attribute,CI_ Exchanged Document_ Context,2,,Processing_ Transaction,Date Time,,udt:DateTimeType,,,,ProcessingTransactionDateTime,ProcessingTransactionDateTime,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ProcessingTransactionDateTime
v1,5,3452,ASBIE,3,0..n,1..1,取引設定内容/取引プロセスグループ,取引設定内容の取引プロセスに関する情報,,,,ビジネスプロセス,インボイスの取引文書コンテキストに対して指定されたビジネスプロセスインボイスの文書コンテキストパラメータ。,UN01005481,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,Business Process,A business process CI document context parameter specified for this CI exchanged document context.,Composition,CI_ Exchanged Document_ Context,1,,,,,ram:CIDocumentContextParameterType,CI_ Document Context_ Parameter (Business Process_ Specified),,,BusinessProcessSpecifiedCIDocumentContextParameter,BusinessProcessSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter
v1,6,3423,ABIE,3,,,取引プロセス設定クラス,取引プロセスに関する情報のクラス,,,,CI文書コンテキストパラメータ,特定の文書コンテキストに対して固定される機能。,UN01005471,CI_ Document Context_ Parameter. Details,CI Document Context Parameter,A feature that is fixed for a particular Cross Industry (CI) document context.,Class,CI_ Document Context_ Parameter (Business Process_ Specified),,,,,,ram:CIDocumentContextParameterType,,,,,,
v1,7.0,3424,BBIE,4,0..1,0..1,取引プロセスID,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",2,0..1,取引プロセスID,ID,インボイスの文書コンテキストパラメータの一意の識別子。,UN01005472,CI_ Document Context_ Parameter. Identification. Identifier,ID,The unique identifier of this CI document context parameter.,Attribute,CI_ Document Context_ Parameter (Business Process_ Specified),1,PK,Identification,Identifier,JECxxxx D24A定義なし,udt:IDType,,,,ID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/ID
v1,8.0,3425,BBIE,4,0..1,0..1,取引プロセス名,取引プロセスの名称,2,0..1,取引プロセス名,値テキスト,インボイスの文書コンテキストパラメータの値（テキストで表現）。,UN01005473,CI_ Document Context_ Parameter. Value. Text,Value Text,"The value, expressed as text, of this CI document context parameter.",Attribute,CI_ Document Context_ Parameter (Business Process_ Specified),2,,Value,Text,,udt:TextType,,,,Value,Value,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/Value
v1,9,3426,ASBIE,4,0..1,1..1,取引プロセス/バージョングループ,取引プロセスのバージョンに関する情報,,,,バージョン,インボイスの文書コンテキストパラメータに指定されたインボイスの文書のバージョン。,UN01005474,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,Version,The CI document version specified for this CI document context parameter.,Composition,CI_ Document Context_ Parameter (Business Process_ Specified),1,,,,,ram:CIDocumentVersionType,CI_ Document_ Version (Business Process_ Specified/Specified),,,SpecifiedCIDocumentVersion,SpecifiedCIDocumentVersion,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion
v1,10,3444,ABIE,4,,,バージョンクラス,バージョンに関する情報のクラス,,,,CI文書バージョン,文書の特定のバリエーション。,UN01005475,CI_ Document_ Version. Details,CI Document Version,A specific variant of a Cross Industry (CI) document.,Class,CI_ Document_ Version (Business Process_ Specified/Specified),,,,,,ram:CIDocumentVersionType,,,,,,
v1,11.0,3445,BBIE,5,0..1,0..1,バージョンID,取引プロセスのバージョン識別番号,2,0..1,取引プロセスバージョンID,ID,インボイスの文書バージョンの固有識別子。,UN01005476,CI_ Document_ Version. Identification. Identifier,ID,The unique identifier for this CI document version.,Attribute,CI_ Document_ Version (Business Process_ Specified/Specified),1,PK,Identification,Identifier,,udt:IDType,,,,ID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID
v1,12.0,3447,BBIE,5,0..1,0..1,バージョン発行日,取引プロセスのバージョン発行日,2,0..1,取引プロセスバージョン発行日,発行日時,インボイスの文書バージョンの発行日、時刻、日付時刻、またはその他の日付時刻値。,UN01005478,CI_ Document_ Version. Issue. Date Time,Issue Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Attribute,CI_ Document_ Version (Business Process_ Specified/Specified),3,,Issue,Date Time,,udt:DateTimeType,,,,IssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/IssueDateTime
v1,13,3454,ASBIE,3,0..n,0..1,取引設定内容/取引シナリオグループ,取引設定内容の取引シナリオに関する情報,,,,シナリオ,インボイスの取引文書コンテキストに対して指定されたシナリオインボイスの文書コンテキストパラメータ。,UN01005483,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,Scenario,A scenario CI document context parameter specified for this CI exchanged document context.,Composition,CI_ Exchanged Document_ Context,3,,,,,ram:CIDocumentContextParameterType,CI_ Document Context_ Parameter (Scenario_ Specified),,,ScenarioSpecifiedCIDocumentContextParameter,ScenarioSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter
v1,14,3423,ABIE,3,,,取引シナリオ設定クラス,取引シナリオに関する情報のクラス,,,,CI文書コンテキストパラメータ,特定の文書コンテキストに対して固定される機能。,UN01005471,CI_ Document Context_ Parameter. Details,CI Document Context Parameter,A feature that is fixed for a particular Cross Industry (CI) document context.,Class,CI_ Document Context_ Parameter (Scenario_ Specified),,,,,,ram:CIDocumentContextParameterType,,,,,,
v1,15.0,3424,BBIE,4,0..1,0..1,取引シナリオID,取引シナリオの識別番号,2,0..1,取引シナリオID,ID,インボイスの文書コンテキストパラメータの一意の識別子。,UN01005472,CI_ Document Context_ Parameter. Identification. Identifier,ID,The unique identifier of this CI document context parameter.,Attribute,CI_ Document Context_ Parameter (Scenario_ Specified),1,PK,Identification,Identifier,,udt:IDType,,,,ID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/ID
