version,sme_nr,mbie_nr,level,property_type,class_term,sequence,multiplicity,multiplicity_sme,identifier,property_term,representation_term,code_list,XML_datatype,associated_class,selector,fixed_value,label_sme,label_csv,definition_sme,label_ja,definition_ja,UNID,acronym,DEN,definition,short_name,element,XML_element_name,selfbilling,amendment_selfbilling,single_selfbilling,core_selfbilling,pint_id,business_term,card
v4.1,545.0,3818,1,Class,(Included/Specified/Receivable_ Specified) CI_ Trade_ Accounting Account,,,,,,,,ram:CITradeAccountingAccountType,,,,会計アカウントクラス,明細文書会計アカウントクラス,会計アカウントに関するクラス,CI取引会計アカウント,一般会計、原価計算、または予算会計への借方および貸方を記録するための特定の取引勘定。,UN01005680,ABIE,CI_ Trade_ Accounting Account. Details,"A specific Cross Industry (CI) trade account for recording debits and credits to general accounting, cost accounting or budget accounting.",CI Trade Accounting Account,,,,,,,,,
v4.3,546.0,3819,2,Attribute,(Included/Specified/Receivable_ Specified) CI_ Trade_ Accounting Account,1,1..1,1..1,PK,Identification,Identifier,,udt:IDType,,,,明細文書ヘッダ会計アカウントID,明細文書会計アカウントID,明細文書ヘッダ会計アカウントのID,ID,インボイスの取引会計勘定に対する固有識別子。,UN01005681,BBIE,CI_ Trade_ Accounting Account. Identification. Identifier,The unique identifier for this CI trade accounting account.,ID,ID,ID,▽,▽,▽,▽,IBT-019,Buyer accounting reference,0..1
v4.1,547.0,3821,2,Attribute,(Included/Specified/Receivable_ Specified) CI_ Trade_ Accounting Account,3,0..1,1..1,,Type,Accounting Account Type_ Code, | XMLSchema /uncefact/codelist/standard/EDIFICAS-EU_AccountingAccountType_D11A.xsd,qdt:AccountingAccountTypeCodeType,,,,明細文書ヘッダ会計アカウントタイプコード,明細文書会計アカウントタイプコード,明細文書ヘッダ会計アカウントのタイプコード,タイプコード,インボイスの取引会計勘定の種類（一般（メイン）、二次、原価計算、予算勘定など）を指定するコード。,UN01005683,BBIE,CI_ Trade_ Accounting Account. Type. Code,"The code specifying the type of CI trade accounting account, such as general (main), secondary, cost accounting or budget account.",Type Code,TypeCode,TypeCode,▽,▽,▽,▽,,,
v4.1,548.0,3823,2,Attribute,(Included/Specified/Receivable_ Specified) CI_ Trade_ Accounting Account,5,0..1,0..1,,Name,Text,,udt:TextType,,,,明細文書ヘッダ会計アカウント名,明細文書会計アカウント名,明細文書ヘッダ会計アカウントの名称,名前,インボイスの取引勘定の名称（テキストで表現）。,UN01005685,BBIE,CI_ Trade_ Accounting Account. Name. Text,"The name, expressed as text, of this CI trade accounting account.",Name,Name,Name,▽,▽,▽,▽,IBT-019,Buyer accounting reference,0..1
v4.3,696.0,3818,1,Class,(Included/Subordinate/Specified/Receivable_ Specified) CI_ Trade_ Accounting Account,,,,,,,,ram:CITradeAccountingAccountType,,,,会計アカウントクラス,明細行会計アカウントクラス,会計アカウントに関するクラス,CI取引会計アカウント,一般会計、原価計算、または予算会計への借方および貸方を記録するための特定の取引勘定。,UN01005680,ABIE,CI_ Trade_ Accounting Account. Details,"A specific Cross Industry (CI) trade account for recording debits and credits to general accounting, cost accounting or budget accounting.",CI Trade Accounting Account,,,,,,,,,
v4.3,697.0,3819,2,Attribute,(Included/Subordinate/Specified/Receivable_ Specified) CI_ Trade_ Accounting Account,1,1..1,1..1,PK,Identification,Identifier,,udt:IDType,,,,明細行会計アカウントID,明細行会計アカウントID,明細行会計アカウントのID,ID,インボイスの取引会計勘定に対する固有識別子。,UN01005681,BBIE,CI_ Trade_ Accounting Account. Identification. Identifier,The unique identifier for this CI trade accounting account.,ID,ID,ID,▽,▽,▽,▽,IBT-133,Invoice line Buyer accounting reference,0..1
v4.3,698.0,3821,2,Attribute,(Included/Subordinate/Specified/Receivable_ Specified) CI_ Trade_ Accounting Account,3,0..1,0..1,,Type,Accounting Account Type_ Code, | XMLSchema /uncefact/codelist/standard/EDIFICAS-EU_AccountingAccountType_D11A.xsd,qdt:AccountingAccountTypeCodeType,,,,明細行会計アカウントタイプコード,明細行会計アカウントタイプコード,明細行会計アカウントのタイプコード,タイプコード,インボイスの取引会計勘定の種類（一般（メイン）、二次、原価計算、予算勘定など）を指定するコード。,UN01005683,BBIE,CI_ Trade_ Accounting Account. Type. Code,"The code specifying the type of CI trade accounting account, such as general (main), secondary, cost accounting or budget account.",Type Code,TypeCode,TypeCode,▽,▽,▽,▽,,,
v4.3,699.0,3823,2,Attribute,(Included/Subordinate/Specified/Receivable_ Specified) CI_ Trade_ Accounting Account,5,0..1,0..1,,Name,Text,,udt:TextType,,,,明細行会計アカウント名,明細行会計アカウント名,明細行会計アカウントの名称,名前,インボイスの取引勘定の名称（テキストで表現）。,UN01005685,BBIE,CI_ Trade_ Accounting Account. Name. Text,"The name, expressed as text, of this CI trade accounting account.",Name,Name,Name,▽,▽,▽,▽,,,
v1,292.0,3316,1,Class,(Applicable/Specified/Payee_ Party) CI_ Creditor_ Financial Account,,,,,,,,ram:CICreditorFinancialAccountType,,,,金融口座クラス,金融口座クラス,債権者の銀行口座のクラス,CI債権者金融口座,取引から生じるクレジットを記録する特定のインボイスのビジネス取り決め。,UN01005398,ABIE,CI_ Creditor_ Financial Account. Details,A specific Cross Industry (CI) business arrangement whereby credits arising from transactions are recorded.,CI Creditor Financial Account,,,,,,,,,
v1,293.0,3318,2,Attribute,(Applicable/Specified/Payee_ Party) CI_ Creditor_ Financial Account,2,0..1,0..1,,Account Name,Text,,udt:TextType,,,,口座名義,口座名義,"債権者金融口座の、文字で表現された口座名。
半角カナ（日本の場合）",名前,インボイスの債権者金融口座の口座名（テキスト表記）。,UN01005400,BBIE,CI_ Creditor_ Financial Account. Account Name. Text,"The account name, expressed as text, of this CI creditor financial account.",Name,AccountName,AccountName,●,●,●,●,IBT-085,Payment account name,0..1
v1,294.0,3319,2,Attribute,(Applicable/Specified/Payee_ Party) CI_ Creditor_ Financial Account,3,0..1,0..1,,Proprietary_ Identification,Identifier,D24A TDED 3492 Seller Bank Account Identifier <To identify an account with the bank designated to receive payment> (an..10) コード値不明 https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,udt:IDType,,,,口座番号,口座番号,債権者金融口座の一意の所有者ID。,独自のID,インボイスの債権者金融口座の一意の固有識別子。,UN01005401,BBIE,CI_ Creditor_ Financial Account. Proprietary_ Identification. Identifier,The unique proprietary identifier for this CI creditor financial account.,Proprietary ID,ProprietaryID,ProprietaryID,●,●,●,●,IBT-084,Payment account identifier,1..1
v4,295.0,3320,2,Attribute,(Applicable/Specified/Payee_ Party) CI_ Creditor_ Financial Account,4,0..1,0..1,,Type,Code,預金項目コード / D24A TDED4437,udt:CodeType,,,,口座種別コード,口座種別コード,債権者金融口座種別のコード。,タイプコード,インボイスの債権者の金融口座の種類を特定するコード。,UN01012127,BBIE,CI_ Creditor_ Financial Account. Type. Code,The code specifying the type of financial account for this CI creditor.,Type Code,TypeCode,TypeCode,●,●,●,●,,,
v4,124.0,3826,1,Class,(Applicable/Buyer/Postal) CI_ Trade_ Address,,,,,,,,ram:CITradeAddressType,,,,発注者住所クラス,発注者住所クラス,発注者住所に関する情報からなるクラス。,CI取引先住所,特定の取引関連組織または人物が所在し、または連絡が取れる場所。,UN01005687,ABIE,CI_ Trade_ Address. Details,The place at which a particular Cross Industry (CI) trade related organization or person may be found or reached.,CI Trade Address,,,,,,,,,
