version,sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,code_list,attribute,element,label_local,definition_local,DEN,UNID
v4/v4.3,1,1,Class,,SME_ Core Self Invoice,,,,0..*,#N/A,MA, ,,SMECoreSelfInvoice,コア仕入明細（検収）書,発注者が受注者に交付するコア仕入明細（検収）文書（メッセージ）,SME_ Core Self Invoice,JP00000000
v1,2,2,Composition,,SME_ Core Self Invoice,,,CI_ Exchanged Document_ Context,0..1,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",ASMA,  ,,CIExchangedDocumentContext,取引設定クラス,メッセージの設定内容に関する情報からなるクラス,CI_ Exchanged Document_ Context. Details,UN01005479
v1,3,2,Composition,,SME_ Core Self Invoice,,,CIIH_ Exchanged_ Document,1..1,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",ASMA,  ,,CIIHExchangedDocument,インボイス文書クラス,インボイス文書に関する情報項目のクラス,CIIH_ Exchanged_ Document. Details,UN01005861
v1,4,2,Composition,,SME_ Core Self Invoice,,,CIIH_ Supply Chain_ Trade Transaction,1..1,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",ASMA,  ,,CIIHSupplyChainTradeTransaction,インボイス文書取引内容クラス,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,CIIH_ Supply Chain_ Trade Transaction. Details,UN01005936
v1,5,1,Class,,CI_ Exchanged Document_ Context,,,,-,"The scenario or setting of a Cross Industry (CI) exchanged document, such as its business process application context.",ASMA,  ,,CIExchangedDocumentContext,取引設定クラス,メッセージの設定内容に関する情報からなるクラス,CI_ Exchanged Document_ Context. Details,UN01005479
v1,6,2,Attribute,,CI_ Exchanged Document_ Context,Specified_ Transaction,Identifier,,0..1,The identifier of a specified transaction in this CI exchanged document context.,BBIE,  ,,SpecifiedTransactionID,取引ID,メッセージがやり取りされる取引識別番号,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,UN01005480
v1/v2,7,2,Attribute,,CI_ Exchanged Document_ Context,Processing_ Transaction,Date Time,,0..1,"The date, time, date time, or other date time value of the processing of a transaction for this CI exchanged document context.",BBIE,日時様式ISO8601,,ProcessingTransactionDateTime,処理日時,メッセージがやり取りされる日時,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,UN01012746
v1,8,2,Composition,,CI_ Exchanged Document_ Context,Business Process_ Specified,,CI_ Document Context_ Parameter,1..1,A business process CI document context parameter specified for this CI exchanged document context.,ASBIE, ,,BusinessProcessSpecifiedCIDocumentContextParameter,取引設定内容/取引プロセスグループ,取引設定内容の取引プロセスに関する情報,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,UN01005481
v1,9,2,Composition,,CI_ Exchanged Document_ Context,Scenario_ Specified,,CI_ Document Context_ Parameter,0..1,A scenario CI document context parameter specified for this CI exchanged document context.,ASBIE,  ,,ScenarioSpecifiedCIDocumentContextParameter,取引設定内容/取引シナリオグループ,取引設定内容の取引シナリオに関する情報,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,UN01005483
v1,10,2,Composition,,CI_ Exchanged Document_ Context,Application_ Specified,,CI_ Document Context_ Parameter,0..1,An application CI document context parameter specified for this CI exchanged document context.,ASBIE,  ,,ApplicationSpecifiedCIDocumentContextParameter,取引設定内容/アプリケーショングループ,取引設定内容のアプリケーションに関する情報,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,UN01005484
v1,11,2,Composition,,CI_ Exchanged Document_ Context,Subset_ Specified,,CI_ Document Context_ Parameter,1..1,A subset CI document context parameter specified for this CI exchanged document context.,ASBIE,  ,,SubsetSpecifiedCIDocumentContextParameter,取引設定内容/ドメイングループ,取引設定内容のドメインの情報に関する情報,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,UN01005486
v1,12,1,Class,,CI_ Document Context_ Parameter,,,, -,A feature that is fixed for a particular Cross Industry (CI) document context.,ABIE,  ,,CIDocumentContextParameter,ドメイン設定クラス,JEC業界横断EDIメッセージドメインに関する情報のクラス,CI_ Document Context_ Parameter. Details,UN01005471
v1,13,2,Attribute,,CI_ Document Context_ Parameter,Identification,Identifier,,0..1,The unique identifier of this CI document context parameter.,BBIE,JECxxxx,,ID,ドメインID,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",CI_ Document Context_ Parameter. Identification. Identifier,UN01005472
v1,14,2,Attribute,,CI_ Document Context_ Parameter,Value,Text,,0..1,"The value, expressed as text, of this CI document context parameter.",BBIE,,ISO639言語コード,Value,ドメイン名,SIPSが付与したメッセージドメイン名称,CI_ Document Context_ Parameter. Value. Text,UN01005473
v1,15,2,Composition,,CI_ Document Context_ Parameter,Specified,,CI_ Document_ Version,1..1,The CI document version specified for this CI document context parameter.,ASBIE,  ,,SpecifiedCIDocumentVersion,取引プロセス/バージョングループ,取引プロセスのバージョンに関する情報,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,UN01005474
v1,16,1,Class,,CI_ Document_ Version,,,, - ,A specific variant of a Cross Industry (CI) document.,ABIE,  ,,CIDocumentVersion,バージョンクラス,バージョンに関する情報のクラス,CI_ Document_ Version. Details,UN01005475
v1,17,2,Attribute,,CI_ Document_ Version,Identification,Identifier,,0..1,The unique identifier for this CI document version.,BBIE,  ,,ID,バージョンID,ドメインのバージョン識別番号,CI_ Document_ Version. Identification. Identifier,UN01005476
v1,18,2,Attribute,,CI_ Document_ Version,Issue,Date Time,,0..1,"The date, time, date time or other date time value of issue of this CI document version.",BBIE,日時様式 ISO8601,,IssueDateTime,バージョン発行日,ドメインのバージョン発行日,CI_ Document_ Version. Issue. Date Time,UN01005478
v1,19,1,Class,,CIIH_ Exchanged_ Document,,,,-,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",ASMA,  ,,CIIHExchangedDocument,インボイス文書クラス,インボイス文書に関する情報項目のクラス,CIIH_ Exchanged_ Document. Details,UN01005861
v1/v3,20,2,Attribute,PK,CIIH_ Exchanged_ Document,Identification,Identifier,,1..1,The unique identifier of this CIIH exchanged document.,BBIE,  ,,ID,インボイス文書ID,インボイス文書を識別する文書ID,CIIH_ Exchanged_ Document. Identification. Identifier,UN01005862
v1,21,2,Attribute,,CIIH_ Exchanged_ Document,Name,Text,,0..1,"A name, expressed as text, of this CIIH exchanged document.",BBIE,,ISO639言語コード,Name,インボイス文書名,インボイス文書の文書名称,CIIH_ Exchanged_ Document. Name. Text,UN01005863
