version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,class,property_term,representation_term,associated_class,definition_local,code_list,DEN,definition,short_name,element,xpath
v4/v4.3,1,0,C,,JP00000000,MA,コア仕入明細（検収）書,－,SME_ Core Self Invoice,,,,発注者が受注者に交付するコア仕入明細（検収）文書（メッセージ）, ,SME_ Core Self Invoice,,,SMECoreSelfInvoice,/SMECoreSelfInvoice
v1,2,1,C,,UN01005479,ASMA,取引設定クラス,0..1,CI_ Exchanged Document_ Context,,,,メッセージの設定内容に関する情報からなるクラス,  ,CI_ Exchanged Document_ Context. Details,,,CIExchangedDocumentContext,/SMECoreSelfInvoice/None
v1,3,2,A,,UN01005480,BBIE,取引ID,0..1,CI_ Exchanged Document_ Context,Specified_ Transaction,Identifier,,メッセージがやり取りされる取引識別番号,  ,CI_ Exchanged Document_ Context. Specified_ Transaction. Identifier,,,SpecifiedTransactionID,/SMECoreSelfInvoice/CIExchangedDocumentContext/None
v1/v2,4,2,A,,UN01012746,BBIE,処理日時,0..1,CI_ Exchanged Document_ Context,Processing_ Transaction,Date Time,,メッセージがやり取りされる日時,日時様式ISO8601,CI_ Exchanged Document_ Context. Processing_ Transaction. Date Time,,,ProcessingTransactionDateTime,/SMECoreSelfInvoice/CIExchangedDocumentContext/SpecifiedTransactionID
v1,5,2,C,,UN01005481,ASBIE,取引設定内容/取引プロセスグループ,1..1,CI_ Exchanged Document_ Context,Business Process_ Specified,,CI_ Document Context_ Parameter,取引設定内容の取引プロセスに関する情報, ,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,,,BusinessProcessSpecifiedCIDocumentContextParameter,/SMECoreSelfInvoice/CIExchangedDocumentContext/ProcessingTransactionDateTime
v1,7,3,A,,UN01005472,BBIE,取引プロセスID,0..1,CI_ Document Context_ Parameter,Identification,Identifier,,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",JECxxxx,CI_ Document Context_ Parameter. Identification. Identifier,,,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/None
v1,8,3,A,,UN01005473,BBIE,取引プロセス名,0..1,CI_ Document Context_ Parameter,Value,Text,,取引プロセスの名称,"言語コード
ISO639",CI_ Document Context_ Parameter. Value. Text,,,Value,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/ID
v1,9,3,C,,UN01005474,ASBIE,取引プロセス/バージョングループ,1..1,CI_ Document Context_ Parameter,Specified,,CI_ Document_ Version,取引プロセスのバージョンに関する情報,  ,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,SpecifiedCIDocumentVersion,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/Value
v1,11,4,A,,UN01005476,BBIE,バージョンID,0..1,CI_ Document_ Version,Identification,Identifier,,取引プロセスのバージョン識別番号, ,CI_ Document_ Version. Identification. Identifier,,,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/None
v1,12,4,A,,UN01005478,BBIE,バージョン発行日,0..1,CI_ Document_ Version,Issue,Date Time,,取引プロセスのバージョン発行日,日時様式 ISO8601,CI_ Document_ Version. Issue. Date Time,,,IssueDateTime,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID
v1,13,2,C,,UN01005483,ASBIE,取引設定内容/取引シナリオグループ,0..1,CI_ Exchanged Document_ Context,Scenario_ Specified,,CI_ Document Context_ Parameter,取引設定内容の取引シナリオに関する情報,  ,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,,,ScenarioSpecifiedCIDocumentContextParameter,/SMECoreSelfInvoice/CIExchangedDocumentContext/BusinessProcessSpecifiedCIDocumentContextParameter
v1,15,3,A,,UN01005472,BBIE,取引シナリオID,0..1,CI_ Document Context_ Parameter,Identification,Identifier,,取引シナリオの識別番号,  ,CI_ Document Context_ Parameter. Identification. Identifier,,,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion
v1,16,3,A,,UN01005473,BBIE,取引シナリオ名,0..1,CI_ Document Context_ Parameter,Value,Text,,取引シナリオの名称,"言語コード
ISO639",CI_ Document Context_ Parameter. Value. Text,,,Value,/SMECoreSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/ID
v1,17,2,C,,UN01005484,ASBIE,取引設定内容/アプリケーショングループ,0..1,CI_ Exchanged Document_ Context,Application_ Specified,,CI_ Document Context_ Parameter,取引設定内容のアプリケーションに関する情報,  ,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,,,ApplicationSpecifiedCIDocumentContextParameter,/SMECoreSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter
v1,19,3,A,,UN01005472,BBIE,アプリケーションID,0..1,CI_ Document Context_ Parameter,Identification,Identifier,,業務アプリケーションが実装する業界・業種識別番号,  ,CI_ Document Context_ Parameter. Identification. Identifier,,,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/Value
v1,20,3,A,,UN01005473,BBIE,アプリケーション名,0..1,CI_ Document Context_ Parameter,Value,Text,,業務アプリケーションが実装する業界・業種名称,"言語コード
ISO639",CI_ Document Context_ Parameter. Value. Text,,,Value,/SMECoreSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/ID
