seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,Element,LocalLabel,LocalDocumentation
1,1,Abstract Class,,Phone,,,,0..*,Phone number information.,gl-bus,gl-bus:phoneNumberStructure,【電話番号】,主要電話番号情報。
2,2,Attribute,,Phone,Phone Number Description,xbrli:tokenItemType,,0..1,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",gl-bus,gl-bus:phoneNumberDescription,電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)"
3,2,Attribute,,Phone,Phone Number,xbrli:stringItemType,,0..1,Phone number referred to in Phone Number Description'\.,gl-bus,gl-bus:phoneNumber,電話番号,電話番号用途で示される電話番号。
4,1,Abstract Class,,Fax,,,,0..*,Fax number information.,gl-bus,gl-bus:faxNumberStructure,【FAX番号】,FAX番号情報。
5,2,Attribute,,Fax,Fax Number Usage,xbrli:stringItemType,,0..1,"Fax number usage (e.g. orders, head office, IR)",gl-bus,gl-bus:faxNumberUsage,FAX番号用途,FAX番号の用途。(注文、本社、IRなど)
6,2,Attribute,,Fax,Fax Number,xbrli:stringItemType,,0..1,Fax Number,gl-bus,gl-bus:faxNumber,FAX番号,FAX番号。
7,1,Abstract Class,,Email,,,,0..*,Email address information.,gl-bus,gl-bus:emailAddressStructure,【Eメールアドレス】,Eメールアドレス情報。
8,2,Attribute,,Email,Email Address Usage,xbrli:stringItemType,,0..1,"Email address usage (e.g. orders, head office, IR)",gl-bus,gl-bus:emailAddressUsage,Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど)
9,2,Attribute,,Email,Email Address,xbrli:stringItemType,,0..1,Email Address,gl-bus,gl-bus:emailAddress,Eメールアドレス,Eメールアドレス。
10,1,Abstract Class,,Web Site,,,,0..*,Web site information.,gl-bus,gl-bus:webSiteStructure,【Webサイト】,ウェブサイト情報。
11,2,Attribute,,Web Site,Web Site Description,xbrli:stringItemType,,0..1,Description of the web site.,gl-bus,gl-bus:webSiteDescription,Webサイト説明,ウェブサイトの説明。
12,2,Attribute,,Web Site,Web Site URL,xbrli:anyURIItemType,,0..1,Valid URL of the web site. Should be full URL.,gl-bus,gl-bus:webSiteURL,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。
13,1,Class,,Entity Phone,,,,0..*,Primary phone number of the entity.,gl-bus,gl-bus:entityPhoneNumber,【事業体電話番号】,事業体の主要電話番号情報。
14,2,Specialization,,Entity Phone,,,Phone,1,Phone number information.,gl-bus,,【電話番号】,主要電話番号情報。
15,1,Class,,Entity Fax,,,,0..*,Tuple for holding company fax information.,gl-bus,gl-bus:entityFaxNumberStructure,【事業体FAX番号】,事業体のFAX番号情報のタプル。
16,2,Specialization,,Entity Fax,,,Fax,1,Fax number information.,gl-bus,,【FAX番号】,FAX番号情報。
17,1,Class,,Entity Email,,,,0..*,Tuple for holding company email information.,gl-bus,gl-bus:entityEmailAddressStructure,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。
18,2,Specialization,,Entity Email,,,Email,1,Email address information.,gl-bus,,【Eメールアドレス】,Eメールアドレス情報。
19,1,Class,,Contact Phone,,,,0..*,Contact Phone Number,gl-bus,gl-bus:contactPhone,【担当者電話番号】,担当者の電話番号。
20,2,Specialization,,Contact Phone,,,Phone,1,Phone number information.,gl-bus,,【電話番号】,主要電話番号情報。
21,1,Class,,Contact Fax,,,,0..*,Contact Fax Number Structure,gl-bus,gl-bus:contactFax,【担当者FAX番号】,担当者のFAX番号の構造体。
22,2,Specialization,,Contact Fax,,,Fax,1,Fax number information.,gl-bus,,【FAX番号】,FAX番号情報。
23,1,Class,,Contact Email,,,,0..*,Contact E-mail address structure,gl-bus,gl-bus:contactEMail,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。
24,2,Specialization,,Contact Email,,,Email,1,Email address information.,gl-bus,,【Eメールアドレス】,Eメールアドレス情報。
