sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
459,1,C,,Accounting Entries,,1..*,,Root for XBRL GL. No entry made here.,gl-cor,0,Accounting Entries,CO16b,/CO16b,$.Accounting Entries,AccntgEntrs,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。,gl-cor:accountingEntries,/Accounting Entries
460,2,C,,Document Information,,1..1,,Parent for descriptive information about the accountingEntries Structure in which it is contained.,gl-cor,0,Document Information,CO05b,/CO16b/CO05b,$.Accounting Entries.Document Information,AccntgEntrs.DocmntInfrmn,【文書情報】,この会計仕訳に関する情報の親タグ。,gl-cor:documentInformation,/gl-cor:accountingEntries/gl-cor:documentInformation
461,3,A,PK,Audit Number,xbrli:stringItemType,0..1,,Unique identifier for this file.,gl-cor,0,Document Information,CO05b_01,/CO16b/CO05b_01,$.Accounting Entries.Document Information.Audit Number,AccntgEntrs.DocmntInfrmn.AdtNumbr,監査番号,このファイルの一意識別子。,gl-cor:documentInformationAuditNumber,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationAuditNumber
462,3,A,,Document Type,xbrli:tokenItemType,1..1,,"account: information to fill in a chart of accounts file.  
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger  
entries: a list of individual accounting entries, which might be posted/validated or nonposted/validated   
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these ""master file"" tax tables can be referenced. 
mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts.   
versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts.   
master_file: a collection of master files, such as the customer or inventory master file.   
trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders.   
profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles.   
other: for all other types of representations.

Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",gl-cor,0,Document Information,CO05b_02,/CO16b/CO05b_02,$.Accounting Entries.Document Information.Document Type,AccntgEntrs.DocmntInfrmn.DocmntType,文書種別,"・科目:科目体系ファイルの情報。 ・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。 ・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。 ・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。 ・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。 ・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。 ・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。 ・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。 ・マッピング情報:互いに関係があるデータセットの間の対応関係を集めたもの。例えば、企業グループ内の各会社で使用する勘定科目と全社勘定科目との対応付け、または明細データと最終的な報告書上の要約された科目への対応付け。 ・差分情報:同じクラス（種類）で異なるバージョンを持つ項目の変更・差分情報。例えば、勘定科目一覧のようなマスタファイルの特定科目の更新情報など。  ・マスターファイル:マスタファイルの一覧。例えば、顧客マスタ又は在庫/棚卸マスタなど。  ・取引伝票:取引に用いる情報の集合。例えば、納入業者からのインボイス 又は顧客からの受注情報など。  ・プロファイル情報:確立された文書説明情報及び特にXBRL GLプロファイルを理解し決定するこの情報の集合の意味を示す。説明情報は、名前空間宣言、スキーマ参照及びこれらの規約を通して決定する。  ・その他：その他のすべての表現形式  多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。 [設定値のリスト] (account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)、(Mapping：マッピング情報)、(versioning：差分情報)、(master_file：マスターファイル)、(trade_documents：取引伝票)、(profile_compliant：プロファイル情報)、(other：その他)",gl-cor:documentInformationDocumentType,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationDocumentType
463,3,A,,Revises Audit Number,xbrli:stringItemType,0..1,,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",gl-cor,0,Document Information,CO05b_03,/CO16b/CO05b_03,$.Accounting Entries.Document Information.Revises Audit Number,AccntgEntrs.DocmntInfrmn.RevssAdtNumbr,改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。,gl-cor:documentInformationRevisesAuditNumber,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationRevisesAuditNumber
464,3,A,,Action to Take with Previous Data,xbrli:tokenItemType,0..1,,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,gl-cor,0,Document Information,CO05b_04,/CO16b/CO05b_04,$.Accounting Entries.Document Information.Action to Take with Previous Data,AccntgEntrs.DocmntInfrmn.ActnTakPrevsDat,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。
補完-元々含まれていたかのように、そのデータに所属させる。
[設定値のリスト]
(supplement：補完)、(supersede：取替え)",gl-cor:documentInformationActionToTakeWithPreviousData,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationActionToTakeWithPreviousData
465,3,A,,Language,xbrli:QNameItemType,0..1,,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",gl-cor,0,Document Information,CO05b_05,/CO16b/CO05b_05,$.Accounting Entries.Document Information.Language,AccntgEntrs.DocmntInfrmn.Langg,言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。,gl-cor:documentInformationLanguage,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationLanguage
466,3,A,,Creation Date,xbrli:dateTimeItemType,0..1,,Date/time file was created.,gl-cor,0,Document Information,CO05b_06,/CO16b/CO05b_06,$.Accounting Entries.Document Information.Creation Date,AccntgEntrs.DocmntInfrmn.CretnDat,作成日付,ファイルが作成された日付/時間。,gl-cor:documentInformationCreationDate,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationCreationDate
467,3,A,,Creator,xbrli:stringItemType,0..1,,Identifies the creator of the XBRL instance.,gl-cor,0,Document Information,CO05b_BU05_07,/CO16b/CO05b_BU05_07,$.Accounting Entries.Document Information.Creator,AccntgEntrs.DocmntInfrmn.Cretr,作成者,ファイルの作成者の識別子。,gl-cor:documentInformationCreator,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationCreator
468,3,A,,Document Comment,xbrli:stringItemType,0..1,,Text for entire document.,gl-cor,0,Document Information,CO05b_08,/CO16b/CO05b_08,$.Accounting Entries.Document Information.Document Comment,AccntgEntrs.DocmntInfrmn.DocmntCommnt,文書コメント,文書全体に対する説明文。,gl-cor:documentInformationDocumentComment,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationDocumentComment
469,3,A,,Period Covered Start,xbrli:dateTimeItemType,0..1,,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,0,Document Information,CO05b_09,/CO16b/CO05b_09,$.Accounting Entries.Document Information.Period Covered Start,AccntgEntrs.DocmntInfrmn.PerdCovrdStart,対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,gl-cor:documentInformationPeriodCoveredStart,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationPeriodCoveredStart
470,3,A,,Period Covered End,xbrli:dateTimeItemType,0..1,,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,0,Document Information,CO05b_10,/CO16b/CO05b_10,$.Accounting Entries.Document Information.Period Covered End,AccntgEntrs.DocmntInfrmn.PerdCovrdEnd,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,gl-cor:documentInformationPeriodCoveredEnd,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationPeriodCoveredEnd
471,3,A,,Period Count,xbrli:decimalItemType,0..1,,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",gl-cor,0,Document Information,CO05b_BU05_11,/CO16b/CO05b_BU05_11,$.Accounting Entries.Document Information.Period Count,AccntgEntrs.DocmntInfrmn.PerdCont,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,gl-cor:documentInformationPeriodCount,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationPeriodCount
472,3,A,,Period Unit,xbrli:tokenItemType,0..1,,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",gl-cor,0,Document Information,CO05b_BU05_12,/CO16b/CO05b_BU05_12,$.Accounting Entries.Document Information.Period Unit,AccntgEntrs.DocmntInfrmn.PerdUnt,期間単位,"periodCountで対象とする期間の種別。
[設定値のリスト]
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)",gl-cor:documentInformationPeriodUnit,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationPeriodUnit
473,3,A,,Period Unit Description,xbrli:stringItemType,0..1,,Free format description of the period unit,gl-cor,0,Document Information,CO05b_BU05_13,/CO16b/CO05b_BU05_13,$.Accounting Entries.Document Information.Period Unit Description,AccntgEntrs.DocmntInfrmn.PerdUntDescrptn,期間単位説明,対象期間単位の説明。,gl-cor:documentInformationPeriodUnitDescription,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationPeriodUnitDescription
474,3,A,,Source Application,xbrli:stringItemType,0..1,,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",gl-cor,0,Document Information,CO05b_BU05_14,/CO16b/CO05b_BU05_14,$.Accounting Entries.Document Information.Source Application,AccntgEntrs.DocmntInfrmn.SorcApplcn,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,gl-cor:documentInformationSourceApplication,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationSourceApplication
475,3,A,,Target Application,xbrli:stringItemType,0..1,,Particular use for which file was generated.,gl-cor,0,Document Information,CO05b_BU05_15,/CO16b/CO05b_BU05_15,$.Accounting Entries.Document Information.Target Application,AccntgEntrs.DocmntInfrmn.TargtApplcn,対象アプリケーション,ファイルが作成された用途。,gl-cor:documentInformationTargetApplication,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationTargetApplication
476,3,A,,Default Currency,xbrli:QNameItemType,0..1,,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",gl-cor,0,Document Information,CO05b_MC05_16,/CO16b/CO05b_MC05_16,$.Accounting Entries.Document Information.Default Currency,AccntgEntrs.DocmntInfrmn.DefltCurrncy,既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,gl-cor:documentInformationDefaultCurrency,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-cor:documentInformationDefaultCurrency
477,3,C,,Summary Reporting Taxonomy,,0..*,,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,gl-srcd,0,Summary Reporting Taxonomy,SR01b,/CO16b/SR01b,$.Accounting Entries.Document Information.Summary Reporting Taxonomy,AccntgEntrs.DocmntInfrmn.SummryReprtngTaxnmy,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,gl-srcd:summaryReportingTaxonomy,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-srcd:summaryReportingTaxonomy
478,4,A,,ID,xbrli:stringItemType,0..1,,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",gl-srcd,0,Summary Reporting Taxonomy,SR01b_01,/CO16b/SR01b/SR01b_01,$.Accounting Entries.Document Information.Summary Reporting Taxonomy.ID,AccntgEntrs.DocmntInfrmn.SummryReprtngTaxnmy.Id,集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。,gl-srcd:summaryReportingTaxonomyId,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-srcd:summaryReportingTaxonomy/gl-srcd:summaryReportingTaxonomyId
479,4,A,,Schema Reference Href,xbrli:stringItemType,0..1,,Value of the href attribute of schemaRef in the target reporting taxonomy.,gl-srcd,0,Summary Reporting Taxonomy,SR01b_02,/CO16b/SR01b/SR01b_02,$.Accounting Entries.Document Information.Summary Reporting Taxonomy.Schema Reference Href,AccntgEntrs.DocmntInfrmn.SummryReprtngTaxnmy.SchemRefrncHref,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。,gl-srcd:summaryReportingTaxonomySchemaReferenceHref,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-srcd:summaryReportingTaxonomy/gl-srcd:summaryReportingTaxonomySchemaReferenceHref
480,4,A,,Header,xbrli:stringItemType,0..1,,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,gl-srcd,0,Summary Reporting Taxonomy,SR01b_03,/CO16b/SR01b/SR01b_03,$.Accounting Entries.Document Information.Summary Reporting Taxonomy.Header,AccntgEntrs.DocmntInfrmn.SummryReprtngTaxnmy.Hedr,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。,gl-srcd:summaryReportingTaxonomyHeader,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-srcd:summaryReportingTaxonomy/gl-srcd:summaryReportingTaxonomyHeader
481,4,A,,Description,xbrli:stringItemType,0..1,,A description of the taxonomy for human use.,gl-srcd,0,Summary Reporting Taxonomy,SR01b_04,/CO16b/SR01b/SR01b_04,$.Accounting Entries.Document Information.Summary Reporting Taxonomy.Description,AccntgEntrs.DocmntInfrmn.SummryReprtngTaxnmy.Descrptn,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。,gl-srcd:summaryReportingTaxonomyDescription,/gl-cor:accountingEntries/gl-cor:documentInformation/gl-srcd:summaryReportingTaxonomy/gl-srcd:summaryReportingTaxonomyDescription
482,2,C,,Entitry Information,,0..1,,Holder for entity information - information about the reporting organization.,gl-cor,0,Entitry Information,CO06b,/CO16b/CO06b,$.Accounting Entries.Entitry Information,AccntgEntrs.EnttryInfrmn,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,gl-cor:entitryInformation,/gl-cor:accountingEntries/gl-cor:entitryInformation
483,3,A,,Default Accounting Method Purpose,xbrli:tokenItemType,0..1,,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",gl-cor,0,Entitry Information,CO06b_BU06_01,/CO16b/CO06b_BU06_01,$.Accounting Entries.Entitry Information.Default Accounting Method Purpose,AccntgEntrs.EnttryInfrmn.DefltAccntgMethdPurps,既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",gl-cor:entitryInformationDefaultAccountingMethodPurpose,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-cor:entitryInformationDefaultAccountingMethodPurpose
484,3,A,,Default Accounting Method Purpose Description,xbrli:stringItemType,0..1,,Free format description of the default accounting method purpose,gl-cor,0,Entitry Information,CO06b_BU06_02,/CO16b/CO06b_BU06_02,$.Accounting Entries.Entitry Information.Default Accounting Method Purpose Description,AccntgEntrs.EnttryInfrmn.DefltAccntgMethdPurpsDescrptn,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,gl-cor:entitryInformationDefaultAccountingMethodPurposeDescription,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-cor:entitryInformationDefaultAccountingMethodPurposeDescription
485,3,A,,Business Description,xbrli:stringItemType,0..1,,Description of the nature of the business of the entity.,gl-cor,0,Entitry Information,CO06b_BU06_03,/CO16b/CO06b_BU06_03,$.Accounting Entries.Entitry Information.Business Description,AccntgEntrs.EnttryInfrmn.BusnssDescrptn,業種説明,事業体の事業の種類についての説明。,gl-cor:entitryInformationBusinessDescription,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-cor:entitryInformationBusinessDescription
486,3,A,,Fiscal Year Start,xbrli:dateItemType,0..1,,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-cor,0,Entitry Information,CO06b_BU06_04,/CO16b/CO06b_BU06_04,$.Accounting Entries.Entitry Information.Fiscal Year Start,AccntgEntrs.EnttryInfrmn.FisclYerStart,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,gl-cor:entitryInformationFiscalYearStart,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-cor:entitryInformationFiscalYearStart
487,3,A,,Fiscal Year End,xbrli:dateItemType,0..1,,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-cor,0,Entitry Information,CO06b_BU06_05,/CO16b/CO06b_BU06_05,$.Accounting Entries.Entitry Information.Fiscal Year End,AccntgEntrs.EnttryInfrmn.FisclYerEnd,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,gl-cor:entitryInformationFiscalYearEnd,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-cor:entitryInformationFiscalYearEnd
488,3,C,,Phone,,0..*,,Phone number information.,gl-bus,0,Phone,BU01f,/CO16b/BU01f,$.Accounting Entries.Entitry Information.Phone,AccntgEntrs.EnttryInfrmn.Phon,【電話番号】,主要電話番号情報。,gl-bus:phone,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:phone
489,4,A,,Description,xbrli:tokenItemType,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",gl-bus,0,Phone,BU01f_01,/CO16b/BU01f/BU01f_01,$.Accounting Entries.Entitry Information.Phone.Description,AccntgEntrs.EnttryInfrmn.Phon.Descrptn,電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",gl-bus:phoneDescription,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:phone/gl-bus:phoneDescription
490,4,A,,Number,xbrli:stringItemType,0..1,,Phone number referred to in Phone Number Description'\.,gl-bus,0,Phone,BU01f_02,/CO16b/BU01f/BU01f_02,$.Accounting Entries.Entitry Information.Phone.Number,AccntgEntrs.EnttryInfrmn.Phon.Numbr,電話番号,電話番号用途で示される電話番号。,gl-bus:phoneNumber,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:phone/gl-bus:phoneNumber
491,3,C,,Fax,,0..*,,Fax number information.,gl-bus,0,Fax,BU02f,/CO16b/BU02f,$.Accounting Entries.Entitry Information.Fax,AccntgEntrs.EnttryInfrmn.Fax,【FAX番号】,FAX番号情報。,gl-bus:fax,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:fax
492,4,A,,Usage,xbrli:stringItemType,0..1,,"Fax number usage (e.g. orders, head office, IR)",gl-bus,0,Fax,BU02f_01,/CO16b/BU02f/BU02f_01,$.Accounting Entries.Entitry Information.Fax.Usage,AccntgEntrs.EnttryInfrmn.Fax.Usg,FAX番号用途,FAX番号の用途。(注文、本社、IRなど),gl-bus:faxUsage,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:fax/gl-bus:faxUsage
493,4,A,,Number,xbrli:stringItemType,0..1,,Fax Number,gl-bus,0,Fax,BU02f_02,/CO16b/BU02f/BU02f_02,$.Accounting Entries.Entitry Information.Fax.Number,AccntgEntrs.EnttryInfrmn.Fax.Numbr,FAX番号,FAX番号。,gl-bus:faxNumber,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:fax/gl-bus:faxNumber
