sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,label_local,definition_local,id,inherited,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
16.0,1.0,Abstract Class,,Binary File,,,,,A computer file or program stored in a binary format.,Abstract Class,,,UN2002,,,,,,,,,,,,
8606.0,2.0,Attribute,,Binary File,Identification, Identifier,,0..1,An identifier for the binary file.,Abstract Class,,,UN2003_01,5.0,,,,,,,,,,,
8607.0,2.0,Attribute,,Binary File,Title, Text,,0..1,"A title, expressed as text.",Abstract Class,,,UN2003_02,6.0,,,,,,,,,,,
8608.0,2.0,Attribute,,Binary File,Author Name, Text,,0..1,"An author name, expressed as text, of the entry binary file.",Abstract Class,,,UN2003_03,5.0,,,,,,,,,,,
8609.0,2.0,Attribute,,Binary File,Version, Identifier,,0..1,A version identifier.,Abstract Class,,,UN2003_04,5.0,,,,,,,,,,,
8610.0,2.0,Attribute,,Binary File,File Name, Text,,0..1,"The name, expressed as text, of the entry binary file.",Abstract Class,,,UN2003_05,5.0,,,,,,,,,,,
8611.0,2.0,Attribute,,Binary File,Included, Binary Object,,0..1,A binary object included.,Abstract Class,,,UN2003_06,6.0,,,,,,,,,,,
8612.0,2.0,Attribute,,Binary File,Access, Text,,0..1,"Access information, expressed as text.",Abstract Class,,,UN2003_07,5.0,,,,,,,,,,,
8613.0,2.0,Attribute,,Binary File,Description, Text,,0..1,The textual description of the binary file.,Abstract Class,,,UN2003_08,6.0,,,,,,,,,,,
8614.0,2.0,Attribute,,Binary File,Size, Measure,,0..1,The measure of the size of the binary file.,Abstract Class,,,UN2003_09,6.0,,,,,,,,,,,
36.0,1.0,Abstract Class,,Certificate,,,,,"A document that provides official evidence of ownership, identity, qualification, or compliance with specified criteria.",Abstract Class,,,UN2004,,,,,,,,,,,,
8626.0,2.0,Attribute,,Certificate,Identification, Identifier,,0..1,An identifier for the certificate.,Abstract Class,,,UN2005_01,11.0,,,,,,,,,,,
8627.0,2.0,Attribute,,Certificate,Type, Code,,0..1,The code specifying the type of wrap certificate.,Abstract Class,,,UN2005_02,10.0,,,,,,,,,,,
8629.0,2.0,Attribute,,Certificate,Issue, Date Time,,0..1,"The date, time, date time, or other date time value.",Abstract Class,,,UN2005_04,10.0,,,,,,,,,,,
9988.0,2.0,Attribute,,Certificate,Expiry, Date Time,,0..1,"The expiry date, time, date time, or other date time value.",Abstract Class,,,UN2072_03,6.0,,,,,,,,,,,
9989.0,2.0,Attribute,,Certificate,Issue Reason, Code,,0..1,The code specifying the reason.,Abstract Class,,,UN2072_04,6.0,,,,,,,,,,,
9991.0,2.0,Attribute,,Certificate,Requested Effective, Date Time,,0..1,"The requested effective date, time, date time or other date time value.",Abstract Class,,,UN2072_06,6.0,,,,,,,,,,,
9992.0,2.0,Attribute,,Certificate,Actual Effective, Date Time,,0..1,"The actual effective date, time, date time or other date time value.",Abstract Class,,,UN2072_07,6.0,,,,,,,,,,,
9993.0,2.0,Attribute,,Certificate,Description, Text,,0..1,A textual description of the certificate.,Abstract Class,,,UN2072_08,7.0,,,,,,,,,,,
9995.0,2.0,Attribute,,Certificate,Issuing_ Party, Identifier,,0..1,An issuing_ party for the certificate.,Abstract Class,,,UN2072_10,6.0,,,,,,,,,,,
9994.0,2.0,Attribute,,Certificate,Applicable_ Object, Code,,0..*,A code specifying an object.,Abstract Class,,,UN2072_09,5.0,,,,,,,,,,,
9996.0,2.0,Attribute,,Certificate,Purpose, Code,,0..*,A code specifying the purpose of the product certificate.,Abstract Class,,,UN2072_11,6.0,,,,,,,,,,,
