sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,element,label_local,definition_local,id
90,1,Class,,btx:Adjustment,,,,0..*,"Abstract class representing a correction or modification made to reflect actual financial conditions. It supports adjustments expressed as additions or subtractions, with associated reason information, actual values (amount, quantity, and date/time), and references to related parties, invoices, and taxes.",btx,btx:adjustment,【調整】,実際の財務状況を反映するために行われる補正または修正を表す抽象クラス。加算または減算として表現される調整を、理由情報、実績値（金額・数量・日時）、および関連当事者・請求書参照・税参照とともに表現する。,BT13
91,2,Attribute,,btx:Adjustment,btx:Reason Code,Code,,0..1,Code specifying the reason for the adjustment. May use UNTDED 4465 (Adjustment reason description code),btx,btx:reasonCode,調整理由コード,調整の理由を示すコード。,BT13_01
92,2,Attribute,,btx:Adjustment,btx:Reason Text,String,,0..1,Text expressing the reason for the adjustment.,btx,btx:reasonText,調整理由テキスト,調整の理由を示すテキスト。,BT13_02
93,2,Attribute,,btx:Adjustment,btx:Actual Amount,Monetary,,0..1,Actual monetary value added or subtracted as a result of the adjustment.,btx,btx:actualAmount,調整実績金額,調整の結果として加算または減算される実績金額。,BT13_03
94,2,Attribute,,btx:Adjustment,btx:Actual Quantity,Decimal,,0..1,Actual quantity added or subtracted as a result of the adjustment.,btx,btx:actualQuantity,調整実績数量,調整の結果として加算または減算される実績数量。,BT13_04
95,2,Attribute,,btx:Adjustment,btx:Actual Date Time,Date Time,,0..1,"Actual date, time, dateTime, or other date/time value of the adjustment.",btx,btx:actualDateTime,調整実績日時,調整の実績日時（年月日、時刻、日時等）。,BT13_05
96,2,Attribute,,btx:Adjustment,btx:Direction Code,Code,,0..1,Code specifying whether the adjustment is an addition or a subtraction.,btx,btx:directionCode,調整方向コード（加算／減算）,当該調整が加算か減算かを示すコード。,BT13_06
97,2,Reference Association,,btx:Adjustment,,,taf:Originating_ Document,0..1,Referenced document associated with the adjustment.,btx,taf:originatingDocument,調整参照文書,当該調整に関連して参照される請求書文書。,BT13_TA08_07
98,2,Reference Association,,btx:Adjustment,,,cor:Party,0..1,Party related to a claim for the adjustment.,btx,cor:party,請求関連当事者,調整に関連する請求（クレーム）に関係する当事者。,BT13_CO21_08
99,2,Composition,,btx:Adjustment,,,taf:Tax,0..*,Trade tax related to the adjustment.,btx,taf:tax,調整関連取引税,当該調整に関連する取引税。,BT13_TA08_09
158,1,Class,,btx:Adjustment_ Tax,,,,0..*,"Tax information that is determined or applied as part of a financial adjustment, correction, or settlement process, rather than as a direct transaction tax. This class supports traceability between the tax and the underlying adjustment event.",btx,btx:adjustmentTax,【調整税】,取引税として直接発生するのではなく、調整・修正・精算などの処理に伴って決定または適用される税を表す抽象クラス。調整事象と税情報の対応関係を追跡可能にする。,BT19
160,2,Attribute,,btx:Adjustment_ Tax,btx:Tax Authority,String,,0..1,Name of the relevant tax authority,btx,btx:taxAuthority,課税庁,関係する課税庁の名前。,BT19_BT14_01
161,2,Attribute,,btx:Adjustment_ Tax,btx:Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,btx,btx:taxTableCode,税率表コード,関係する課税庁で使用される税率表のコード。,BT19_BT14_02
162,2,Attribute,,btx:Adjustment_ Tax,btx:Tax Description,String,,0..1,Description of tax authority,btx,btx:taxDescription,課税庁説明,課税庁の説明。,BT19_BT14_03
163,2,Attribute,,btx:Adjustment_ Tax,btx:Amount of Tax,Monetary,,0..1,Amount of taxes,btx,btx:amountOfTax,税額,税額。,BT19_BT14_04
164,2,Attribute,,btx:Adjustment_ Tax,btx:Basis for Taxation,Monetary,,0..1,Basis for taxation,btx,btx:basisForTaxation,課税基準,課税基準。,BT19_BT14_05
165,2,Attribute,,btx:Adjustment_ Tax,btx:Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,btx,btx:taxPercentageRate,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。",BT19_BT14_06
166,2,Attribute,,btx:Adjustment_ Tax,btx:Tax Category,String,,0..1,A class or category of taxes,btx,btx:taxCategory,税区分,税のクラス又はカテゴリ。,BT19_BT14_07
167,2,Attribute,,btx:Adjustment_ Tax,btx:Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",btx,btx:taxCategoryCode,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。,BT19_BT14_08
168,2,Attribute,,btx:Adjustment_ Tax,btx:Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,btx,btx:taxCommentExemptionReason,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,BT19_BT14_09
169,2,Composition,,btx:Adjustment_ Tax,,,taf:Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,btx,taf:taxMulticurrency,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。",BT19_TA14_10
45,1,Class,,btx:Allowance Charge,,,,0..*,"Abstract class representing an allowance or a charge applied to an amount, used to model reductions (allowances) or additions (charges) to a base amount, together with their calculation basis, rate, reason, and tax-related attributes.",btx,btx:allowanceCharge,【控除・加算】,"金額に対して適用される控除（Allowance）または加算（Charge）を表す抽象クラス。
基準額、割合、理由、税に関する属性とともに、金額の減額または増額を表現するために使用される。",BT08
46,2,Attribute,,btx:Allowance Charge,btx:Charge Indicator,Boolean,,1,Indicator specifying whether the allowance charge represents a charge (true) or an allowance (false).,btx,btx:chargeIndicator,控除・加算区分指示子,当該控除・加算が、加算（true）か控除（false）かを示す指示子。,BT08_01
47,2,Attribute,,btx:Allowance Charge,btx:Amount,Monetary,,1,The monetary amount of the allowance or charge applied.,btx,btx:amount,控除・加算金額,適用される控除額または加算額。,BT08_02
48,2,Attribute,,btx:Allowance Charge,btx:Base Amount,Monetary,,0..1,The base monetary amount to which the allowance or charge is applied.,btx,btx:baseAmount,控除・加算基準額,控除または加算が適用される基準となる金額。,BT08_03
49,2,Attribute,,btx:Allowance Charge,btx:Percentage,Pure,,0..1,The percentage rate used to calculate the allowance or charge based on the base amount.,btx,btx:percentage,控除・加算割合,基準額に対して控除または加算を計算するために使用される割合。,BT08_04
50,2,Attribute,,btx:Allowance Charge,btx:Reason Code,Code,,0..1,A code specifying the reason for applying the allowance or charge.,btx,btx:reasonCode,控除・加算理由コード,控除または加算を適用する理由を示すコード。,BT08_05
51,2,Attribute,,btx:Allowance Charge,btx:Tax Category Code,Code,,0..1,A code identifying the tax category applicable to the allowance or charge.,btx,btx:taxCategoryCode,控除・加算税区分コード,当該控除または加算に適用される税区分を示すコード。,BT08_06
52,2,Attribute,,btx:Allowance Charge,btx:Tax Ratio,Pure,,0..1,The tax ratio or rate applicable to the allowance or charge amount.,btx,btx:taxRatio,控除・加算税率,控除または加算額に適用される税率または税割合。,BT08_07
1,1,Class,,btx:Amount,,,,0..*,Structure combining a monetary amount with its currency and currency role information.,btx,btx:amount,【金額構造】,金額と、その通貨および通貨の役割に関する情報を組み合わせて表現する構造。,BT03
2,2,Attribute,,btx:Amount,btx:Amount Value,Monetary,,1,Numeric value of the monetary amount expressed in the specified currency.,btx,btx:amountValue,金額,指定された通貨で表現された金額の数値。,BT03_01
3,2,Attribute,,btx:Amount,btx:Amount Type,Token,,0..1,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",btx,btx:amountType,金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。,BT03_02
4,2,Attribute,,btx:Amount,btx:Currency Code,Token,,0..1,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",btx,btx:currencyCode,通貨コード,金額が表現される通貨を指定するコード。通常は ISO 4217 通貨コードを用いる。,BT03_03
