sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id,label_local,definition_local,xpath
320,1,Class,,Account Payable Adjustment,,,,,,"A class records adjustments to invoice balances due to suppliers, capturing each unique adjustment within the specified period.",Accounts Payable,95,AP01,,,
321,2,Attribute,PK,Account Payable Adjustment,ID,1..1,Identifier,Identifier Long,,The unique identifier for the adjustment record.,Accounts Payable,95,AP01_01,,,
322,2,Attribute,,Account Payable Adjustment,Number,0..1,Char,Char Long,,"The number for an adjustment record, ensuring the uniqueness of each adjustment transaction",Accounts Payable,95,AP01_02,,,
323,2,Attribute,,Account Payable Adjustment,Type Name,0..1,Name,Name Short,,Name of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the supplier.,Accounts Payable,95,AP01_03,,,
324,2,Attribute,,Account Payable Adjustment,Document Number,0..1,Char,Char Long,,The number for a document associated with an adjustment,Accounts Payable,95,AP01_04,,,
325,2,Attribute,,Account Payable Adjustment,Date,0..1,Date,DATE,,the date on which an adjustment is recorded.,Accounts Payable,95,AP01_05,,,
330,2,Reference Association,,Account Payable Adjustment,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,95,AP01_10,,,
331,2,Reference Association,,Account Payable Adjustment,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,95,AP01_11,,,
332,2,Reference Association,,Account Payable Adjustment,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,95,AP01_12,,,
333,2,Reference Association,,Account Payable Adjustment,Credit,0..1,,,Ledger Account,The ledger account for credit adjustments to accounts payable.,Accounts Payable,95,AP01_13,,,
334,2,Reference Association,,Account Payable Adjustment,Debit,0..1,,,Ledger Account,The ledger account for debit adjustments to accounts payable.,Accounts Payable,95,AP01_14,,,
335,2,Reference Association,,Account Payable Adjustment,,0..1,,,Purchase Invoice,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,95,AP01_15,,,
336,2,Reference Association,,Account Payable Adjustment,,0..1,,,Supplier,A class containing essential information about suppliers.,Accounts Payable,95,AP01_16,,,
326,2,Composition,,Account Payable Adjustment,,0..*,,,Account Payable Adjustment Line,A class provides details of how adjustments affect specific line items on supplier invoices.,Accounts Payable,95,AP01_06,,,
327,2,Composition,,Account Payable Adjustment,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Payable,95,AP01_07,,,
328,2,Composition,,Account Payable Adjustment,,0..1,,,Amounts,The multi-currency monetary amounts representing adjustments made to accounts payable balances within a specified accounting period.,Accounts Payable,95,AP01_08,,,
329,2,Composition,,Account Payable Adjustment,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Accounts Payable,95,AP01_09,,,
337,1,Class,,Account Payable Adjustment Line,,,,,,A class provides details of how adjustments affect specific line items on supplier invoices.,Accounts Payable,97,AP02,,,
338,2,Attribute,PK,Account Payable Adjustment Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for the line within an adjustment record.,Accounts Payable,97,AP02_01,,,
339,2,Attribute,,Account Payable Adjustment Line,Number,0..1,Char,Char Short,,The number of a line item within an account payable adjustment record,Accounts Payable,97,AP02_02,,,
342,2,Reference Association,,Account Payable Adjustment Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,97,AP02_05,,,
343,2,Reference Association,,Account Payable Adjustment Line,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,97,AP02_06,,,
344,2,Reference Association,,Account Payable Adjustment Line,Credit,0..1,,,Ledger Account,The ledger account line item for credit adjustments within accounts payable.,Accounts Payable,97,AP02_07,,,
345,2,Reference Association,,Account Payable Adjustment Line,Debit,0..1,,,Ledger Account,The ledger account line item for debit adjustments within accounts payable.,Accounts Payable,97,AP02_08,,,
346,2,Reference Association,,Account Payable Adjustment Line,,0..1,,,Purchase Invoice,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,97,AP02_09,,,
347,2,Reference Association,,Account Payable Adjustment Line,,0..1,,,Purchase Invoice Line,"A class describing the specifics of each invoice line received during the period under review, used to validate that invoiced items match ordered and received goods in the three-way matching process.",Accounts Payable,97,AP02_10,,,
340,2,Composition,,Account Payable Adjustment Line,,0..1,,,Amounts,The multi-currency monetary amounts representing adjustments made to accounts payable balances within a specified accounting period.,Accounts Payable,97,AP02_03,,,
341,2,Composition,,Account Payable Adjustment Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Accounts Payable,97,AP02_04,,,
348,1,Class,,Account Payable Cash Application,,,,,,A class details the application of cash payments against supplier invoice obligations within a specific period.,Accounts Payable,93,AP03,,,
349,2,Attribute,PK,Account Payable Cash Application,ID,1..1,Identifier,Identifier Long,,The unique identifier for the application of cash to an invoice in accounts payable.,Accounts Payable,93,AP03_01,,,
350,2,Attribute,,Account Payable Cash Application,Date,0..1,Date,DATE,,"The date on which the cash was applied to the invoice, regardless of the date when the transaction was created.",Accounts Payable,93,AP03_02,,,
351,2,Attribute,,Account Payable Cash Application,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for the cash application in accounts payable.,Accounts Payable,93,AP03_03,,,
354,2,Reference Association,,Account Payable Cash Application,,0..1,,,Account Payable Payment Made,"A class documents the details of payment transactions to suppliers, including payment amounts and dates, conducted during a specified period.",Accounts Payable,93,AP03_06,,,
355,2,Reference Association,,Account Payable Cash Application,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,93,AP03_07,,,
356,2,Reference Association,,Account Payable Cash Application,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,93,AP03_08,,,
357,2,Reference Association,,Account Payable Cash Application,Credit,0..1,,,Ledger Account,The ledger account for cash credits applied to accounts payable.,Accounts Payable,93,AP03_09,,,
358,2,Reference Association,,Account Payable Cash Application,Debit,0..1,,,Ledger Account,The ledger account for cash debits applied to accounts payable.,Accounts Payable,93,AP03_10,,,
359,2,Reference Association,,Account Payable Cash Application,,0..1,,,Purchase Invoice,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,93,AP03_11,,,
360,2,Reference Association,,Account Payable Cash Application,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Accounts Payable,93,AP03_12,,,
361,2,Reference Association,,Account Payable Cash Application,,0..1,,,Supplier,A class containing essential information about suppliers.,Accounts Payable,93,AP03_13,,,
352,2,Composition,,Account Payable Cash Application,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Payable,93,AP03_04,,,
353,2,Composition,,Account Payable Cash Application,,0..1,,,Amounts,The multi-currency monetary amounts representing the total cash applied to payable account within a specified accounting period.,Accounts Payable,93,AP03_05,,,
362,1,Class,,Account Payable Open Account,,,,,,"A class records the total amount due to suppliers from unresolved payable transactions as of a particular date, summarized at the invoice level.",Accounts Payable,89,AP04,,,
363,2,Attribute,PK,Account Payable Open Account,Transaction ID,1..1,Identifier,Identifier Medium,,The unique identifier for a financial transaction.,Accounts Payable,89,AP04_01,,,
364,2,Attribute,,Account Payable Open Account,Transaction Date,0..1,Date,DATE,,"The recorded date of a transaction in an open accounts payable account, which is used as the basis for calculating payment due dates.",Accounts Payable,89,AP04_02,,,
365,2,Attribute,,Account Payable Open Account,Transaction Due Date,0..1,Date,DATE,,The date by which payment for a transaction in an open accounts payable account is due.,Accounts Payable,89,AP04_03,,,
366,2,Attribute,,Account Payable Open Account,Reference Number,0..1,Char,Char Long,,The number for a transaction related to an open accounts payable account.,Accounts Payable,89,AP04_04,,,
367,2,Attribute,,Account Payable Open Account,Reference Date,0..1,Date,DATE,,The date associated with a transaction related to an open accounts payable account.,Accounts Payable,89,AP04_05,,,
368,2,Attribute,,Account Payable Open Account,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for the open accounts payable.,Accounts Payable,89,AP04_06,,,
369,2,Attribute,,Account Payable Open Account,Grouping Code,0..1,Char,Char Long,,The code that groups related accounts payable items for organizational or processing activities.,Accounts Payable,89,AP04_07,,,
372,2,Reference Association,,Account Payable Open Account,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,89,AP04_10,,,
373,2,Reference Association,,Account Payable Open Account,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,89,AP04_11,,,
374,2,Reference Association,,Account Payable Open Account,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,89,AP04_12,,,
375,2,Reference Association,,Account Payable Open Account,,0..1,,,Project,"A class that provides detailed records of a project's facets, pertinent to open accounts payable.",Accounts Payable,89,AP04_13,,,
376,2,Reference Association,,Account Payable Open Account,,0..1,,,Purchase Contract,"A class encapsulating the aggregate details of purchase contracts including involved parties, terms, and specifics of the items to be procured.",Accounts Payable,89,AP04_14,,,
377,2,Reference Association,,Account Payable Open Account,,0..1,,,Purchase Invoice,"A class summarizing invoices received during the period under review, central to the three-way matching process to ensure that payments are made solely for goods that have been ordered and received.",Accounts Payable,89,AP04_15,,,
