No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain,Action,,,,,,,,,
1,1,Class,,Product AICPA,,,,,A class that describes an inventory item with all its essential attributes and tracking details.,AICPA,,,,,,,,,,,,
2,2,Specialization,,Product AICPA,,,Inventory Product,1,A class that describes an inventory item with all its essential attributes and tracking details.,AICPA,,,,,,,,,,,,
3,2,Attribute,,Product AICPA,Inventory Bar Code,Char,,0,The barcode symbol assigned to a product for unique identification and tracking.,AICPA,,Char Medium,,,,,,,,,,
4,2,Attribute,,Product AICPA,Default Costing Method,Char,,0,"The method an organization uses to compute and record the financial value of inventory items, important for precise cost of goods sold reporting and inventory valuation on financial statements.",AICPA,,Char Medium,,,,,,,,,,
5,2,Attribute,,Product AICPA,Out Of Service Date,Date,,0,The date on which an inventory item is designated as no longer in service.,AICPA,,DATE,,,,,,,,,,
6,2,Attribute,,Product AICPA,Out Of Service Indicator,Indicator,,0,The indicator that denotes whether an inventory item is out of service.,AICPA,,Indicator,,,,,,,,,,
7,2,Attribute,,Product AICPA,Lot Number,Char,,0,The number for a batch of products for tracking and inventory management purposes.,AICPA,,Char Medium,,,,,,,,,,
8,2,Attribute,,Product AICPA,Serial Number,Char,,0,"The number for an individual item within a group of products, used for tracking and inventory management.",AICPA,,Char Medium,,,,,,,,,,
9,2,Reference Association,,Product AICPA,,,Business Segment,0,The class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,AICPA,,,,,,,,,,,,
10,2,Reference Association,,Product AICPA,,,Inventory Product Type,0,The inventory product type classification.,AICPA,,,,,,,,,,,,
11,2,Reference Association,,Product AICPA,Asset,,Ledger Account,0,The ledger account that tracks the value of inventory products classified as assets.,AICPA,,,,,,,,,,,,
12,2,Reference Association,,Product AICPA,Cost,,Ledger Account,0,The ledger account that records the costs associated with inventory products.,AICPA,,,,,,,,,,,,
13,2,Reference Association,,Product AICPA,Basic,,Measurement Unit,0,The class represents a n unit of measure for the quantity of an inventory product utilized in stock management.,AICPA,,,,,,,,,,,,
14,2,Reference Association,,Product AICPA,Default Stocking,,Measurement Unit,0,The class represents a unit of measure typically used for stocking this inventory product.,AICPA,,,,,,,,,,,,
15,2,Reference Association,,Product AICPA,Preferred,,Supplier,0,The class containing essential information about prefered supplier.,AICPA,,,,,,,,,,,,
16,2,Attribute,,Product AICPA,Product_Description,Text,,1,Product description (plain English) to indicate the name or other identifying characteristics of the product.,AICPA,,,gl-bus:measurableDescription,,,,,,,,,
17,1,Class,,User AICPA,,,,,"This table holds an identifier and information about each user within the system. Each user should have a full name, title, and role (if available) within the system.",AICPA,,,,,,,,,,,,
18,2,Specialization,,User AICPA,,,User,1,"A class with user details, important for overseeing access, maintaining security, and tracking system use.",AICPA,,,,,,,,,,,,
19,2,Attribute,,User AICPA,Name,Name,,0,The identifying label assigned to an individual within the system.,AICPA,,Name Medium,,,,,,,,,,
20,2,Reference Association,,User AICPA,Department,,Business Segment,0..1,The department within a business segment that is associated with a particular user.,AICPA,,,,,,,,,,,,
21,2,Attribute,,User AICPA,First_Name,Name,,1,The first (given) name of the person.,AICPA,,Name Medium,"gl-cor:
identifierContactFirstName",,,,,,,,,
22,2,Attribute,,User AICPA,Last_Name,Name,,1,The last (family) name of the person.,AICPA,,Name Medium,gl-cor:identifierContactLastName,,,,,,,,,
