sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,xpath
1000,1,C,,Contact,,,,A class that details the communication information for an individual or entity.,General,0,Contact,GE09a,/GE09a,$.Contact,Cnt,,,
1001,2,A,,Name,Name,0..1,Name Medium,The full name of an individual or entity that is a point of contact.,General,0,Contact,GE09a_01,/GE09a/GE09a_01,$.Contact.Name,Cnt.Nam,,,
1002,2,A,,Phone,Char,0..1,PHONE NUMBER,The telephone number associated with a contact.,General,0,Contact,GE09a_02,/GE09a/GE09a_02,$.Contact.Phone,Cnt.Phn,,,
1003,2,A,,Email,Char,0..1,EMAIL,The electronic mail address associated with a contact.,General,0,Contact,GE09a_03,/GE09a/GE09a_03,$.Contact.Email,Cnt.Eml,,,
1004,1,C,,User,,,,"A class with user details, important for overseeing access, maintaining security, and tracking system use.",Base,10,User,BS17a,/BS17a,$.User,Usr,,,
1005,2,A,PK,ID,Identifier,1..1,Identifier Short,"The unique identifier for individuals entering transactions into the accounting and/or ERP system.
",Base,10,User,BS17a_01,/BS17a/BS17a_01,$.User.ID,Usr.Id,,,
1006,2,A,,Status Modified Date,Date,0..1,DATE,The date on which the activation or termination status of the user was last modified.,Base,10,User,BS17a_03,/BS17a/BS17a_03,$.User.Status Modified Date,Usr.StatMdfDt,,,
1007,2,A,,Name,Name,0..1,Name Medium,The identifying label assigned to an individual within the system.,Base,10,User,BS17a_04,/BS17a/BS17a_04,$.User.Name,Usr.Nam,,,
1008,2,A,,Job Title,Char,0..1,Char Long,"The designation of the individual's role within the system, indicating their position or responsibility.",Base,10,User,BS17a_05,/BS17a/BS17a_05,$.User.Job Title,Usr.JbTtl,,,
1009,2,A,,Role Responsibility,Char,0..1,Char Long,A descriptive depiction of the functional role or primary responsibility of the individual within the system.,Base,10,User,BS17a_06,/BS17a/BS17a_06,$.User.Role Responsibility,Usr.RlResp,,,
1010,2,R,,(Department) Business Segment,,0..1,,"The reference association to the Department Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Base,4,(Department) Business Segment,BS05a,/BS17a/BS05a,$.User.(Department) Business Segment,Usr.DeprtBusSg,,,
1011,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Base,4,(Department) Business Segment,BS05a_01,/BS17a/BS05a_01,$.User.(Department) Business Segment.Code,Usr.DeprtBusSg.Cd,,,
1012,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,(Department) Business Segment,BS05a_03,/BS17a/BS05a_03,$.User.(Department) Business Segment.Segment Reference Level,Usr.DeprtBusSg.SgRefLevl,,,
1013,1,C,,Purchase Requisition,,,,A class representing an internal document requesting the procurement of goods or services.,Purchase,100,Purchase Requisition,PR01a,/PR01a,$.Purchase Requisition,PurRqstn,,,
1014,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a purchase requisition.,Purchase,100,Purchase Requisition,PR01a_01,/PR01a/PR01a_01,$.Purchase Requisition.ID,PurRqstn.Id,,,
1015,2,A,,Number,Char,0..1,Char Long,The number for a material purchase requisition document.,Purchase,100,Purchase Requisition,PR01a_02,/PR01a/PR01a_02,$.Purchase Requisition.Number,PurRqstn.Nr,,,
1016,2,A,,Date,Date,0..1,DATE,The date on which a purchase requisition is officially submitted.,Purchase,100,Purchase Requisition,PR01a_03,/PR01a/PR01a_03,$.Purchase Requisition.Date,PurRqstn.Dt,,,
1017,2,A,,Status,Code,0..1,STATUS CODE,The current state of the purchase requisition's lifecycle.,Purchase,100,Purchase Requisition,PR01a_04,/PR01a/PR01a_04,$.Purchase Requisition.Status,PurRqstn.Stat,,,
