sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,xpath
3738,1,C,,Segment0X AICPA,,,,"It is often useful to analyze financial data by different dimensions (for example—profit center, division, branch, product, geographic region). This standard includes up to 5 such dimensions, referred to as segments. The (up to) 5-segment listing tables map the values of each of the 5 segments to a text description of that value. The purpose of (optional) segments 1−5 is captured in the Base Standards questionnaire, question 10. XBRL GL provides more explicit context for the segments, and therefore does not require an implicit representation and an order to be associated with each segment grouping. Should it be deemed important to maintain the presentation order of the segments, the following fields can be used. All of the value and description pairs can be included in a single XBRL GL instance. For each segment used, complete the following table.",AICPA,0,Segment0X AICPA,None04a,/None04a,$.Segment0X AICPA,SegmnAicpa,,,
3739,2,A,PK,(Segment0X) Value,Identifier,1,Identifier Short,,AICPA,0,Segment0X AICPA,None04a_01,/None04a/None04a_01,$.Segment0X AICPA.Segment0X_Value,SegmnAicpa.Segmn,,,
3740,2,A,,(Segment0X) Description,Text,0..1,Text,,AICPA,0,Segment0X AICPA,None04a_02,/None04a/None04a_02,$.Segment0X AICPA.Segment0X_Description,SegmnAicpa.Segmn,,,
3741,1,C,,Tax Regulator AICPA,,,,Master table of organizations for whom tax is collected or accrued.,AICPA,0,Tax Regulator AICPA,None08a,/None08a,$.Tax Regulator AICPA,TxRgltrAicpa,,,
3742,2,A,PK,Code,Identifier,1..1,REGULATOR CODE,The unique code for a regulatory body or jurisdiction.,AICPA,40,Tax Regulator AICPA,None08a_BS15_01,/None08a/None08a_BS15_01,$.Tax Regulator AICPA.Code,TxRgltrAicpa.Cd,,,
3743,2,A,,Country Code,Code,1,COUNTRY CODE,"The code for the country in which the tax regulator operates, as per ISO 3166-1.",AICPA,0,Tax Regulator AICPA,None08a_01,/None08a/None08a_01,$.Tax Regulator AICPA.Country Code,TxRgltrAicpa.CntryCd,,,
3744,2,A,,Region,Name,1,REGION,The specific area within a country that falls under the jurisdiction of a tax regulator.,AICPA,0,Tax Regulator AICPA,None08a_02,/None08a/None08a_02,$.Tax Regulator AICPA.Region,TxRgltrAicpa.Regn,,,
3745,2,A,,Name,Name,1,Name Medium,The name of the entity responsible for tax regulation.,AICPA,0,Tax Regulator AICPA,None08a_03,/None08a/None08a_03,$.Tax Regulator AICPA.Name,TxRgltrAicpa.Nam,,,
3746,2,A,,Role,Char,1,Char Short,"The jurisdictional level at which the regulator operates, such as federal, regional, or local.",AICPA,0,Tax Regulator AICPA,None08a_04,/None08a/None08a_04,$.Tax Regulator AICPA.Role,TxRgltrAicpa.Rl,,,
3747,2,A,,Regulator ID,Char,1,Char Short,The identifier for the reporting organization as assigned by the tax regulator.,AICPA,0,Tax Regulator AICPA,None08a_05,/None08a/None08a_05,$.Tax Regulator AICPA.Regulator ID,TxRgltrAicpa.RgltrId,,,
