sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,xpath
1000,1,C,,Accountant,,,,Information about the relevant external accountant,gl-bus,0,Accountant,BU08a,/BU08a,$.Accountant,Accnt,【会計士情報】,関連する外部会計士に関する情報。,
1001,2,A,,Name,Name,0..1,,Name of the accountant,gl-bus,0,Accountant,BU08a_01,/BU08a/BU08a_01,$.Accountant.Name,Accnt.Nam,会計士名,会計士の名前。,
1002,2,A,,Type of Engagement,Name,0..1,,Type of engagement being performed by external accountant,gl-bus,0,Accountant,BU08a_02,/BU08a/BU08a_02,$.Accountant.Type of Engagement,Accnt.TypOfEnggm,契約種別,"外部会計士によって実行される契約の種別。
[設定値のリスト]
(audit：監査)、(review：検査)、(compilation：調整)、(tax：税)、(other：その他) ",
1003,2,A,,Type of Engagement Description,Text,0..1,,Free format description of the type of engagement,gl-bus,0,Accountant,BU08a_03,/BU08a/BU08a_03,$.Accountant.Type of Engagement Description,Accnt.TypOfEnggmDscr,契約種別説明,契約種別の説明。,
1004,2,A,,Contact Type,Name,0..1,,Contact Type for Accountant Contact,gl-bus,0,Accountant,BU08a_04,/BU08a/BU08a_04,$.Accountant.Contact Type,Accnt.CntTyp,会計士担当者役割,会計士の担当者の種別,
1005,2,A,,Location ID cross reference,Char,0..1,,This code is used to associate the contact with a specific location for the Accountant. Its value should be the same as that of the accountantAddressLocationIdentifier,gl-bus,0,Accountant,BU08a_05,/BU08a/BU08a_05,$.Accountant.Location ID cross reference,Accnt.LctIdCrssRef,会計士所在地相互参照情報,"担当者と会計士の所在地情報を関係付けるためのコード。
accountantAddressLocationIdentifierと同じ値であるべき。",
1006,2,C,,Address,,0..*,,Address structure for the reporting entity,gl-bus,0,Address,BU04a,/BU08a/BU04a,$.Accountant.Address,Accnt.Adr,【住所】,報告事業体の住所構造体。,
1007,3,A,,Name,Name,0..1,,Name of organization used at this address,gl-bus,0,Address,BU04a_01,/BU08a/BU04a/BU04a_01,$.Accountant.Address.Name,Accnt.Adr.Nam,住所名,この住所で使用される組織の名前。,
1008,3,A,,Description,Text,0..1,,"Description of the address, such as Mailing, Physical, Investor Relations, etc.",gl-bus,0,Address,BU04a_02,/BU08a/BU04a/BU04a_02,$.Accountant.Address.Description,Accnt.Adr.Dscr,住所説明,住所の説明。郵送先、実体、投資家向けなど。,
1009,3,A,,Purpose,Char,0..1,,"Freeform for codes like shipping, billing, mailing at address level.  Allows identification of multiple purpose addresses for each identifier.",gl-bus,0,Address,BU04a_03,/BU08a/BU04a/BU04a_03,$.Accountant.Address.Purpose,Accnt.Adr.Prps,住所目的,配送、請求、郵送のような、住所レベルのコードの自由記述。個々の識別子により、住所の用途を識別する。,
1010,3,A,,Location Identifier,Char,0..1,,A code used to identify the location and to associate it with contacts and transactions,gl-bus,0,Address,BU04a_04,/BU08a/BU04a/BU04a_04,$.Accountant.Address.Location Identifier,Accnt.Adr.LctIdntf,所在地識別子,位置を識別したり、窓口や取引と関係付けるコード。,
1011,3,A,,Building Number,Char,0..1,,Building Number,gl-bus,0,Address,BU04a_05,/BU08a/BU04a/BU04a_05,$.Accountant.Address.Building Number,Accnt.Adr.BldngNr,建物番号,建物番号。,
1012,3,A,,Street,Name,0..1,,Street address,gl-bus,0,Address,BU04a_06,/BU08a/BU04a/BU04a_06,$.Accountant.Address.Street,Accnt.Adr.Strt,通り,住所の通り。,
1013,3,A,,Detail,Name,0..1,,Address Detail,gl-bus,0,Address,BU04a_07,/BU08a/BU04a/BU04a_07,$.Accountant.Address.Detail,Accnt.Adr.Detl,住所詳細,住所詳細。,
1014,3,A,,City,Name,0..1,,City or town of the address.,gl-bus,0,Address,BU04a_08,/BU08a/BU04a/BU04a_08,$.Accountant.Address.City,Accnt.Adr.Cty,都市,住所の都市や町。,
1015,3,A,,State or Province,Name,0..1,,"State, province or region of the address.",gl-bus,0,Address,BU04a_09,/BU08a/BU04a/BU04a_09,$.Accountant.Address.State or Province,Accnt.Adr.SttOrPrvnc,州,住所の州や地方。,
1016,3,A,,Zip or Postal Code,Char,0..1,,Zip or other postal code of the address.,gl-bus,0,Address,BU04a_10,/BU08a/BU04a/BU04a_10,$.Accountant.Address.Zip or Postal Code,Accnt.Adr.ZpOrPstlCd,郵便番号,住所の郵便番号。,
1017,3,A,,Country,Char,0..1,,Country of the address.,gl-bus,0,Address,BU04a_11,/BU08a/BU04a/BU04a_11,$.Accountant.Address.Country,Accnt.Adr.Cntry,国,住所の国。,
1018,2,C,,Contact,,0..*,,Information about contacts.,gl-bus,0,Contact,BU06a,/BU08a/BU06a,$.Accountant.Contact,Accnt.Cnt,【担当者情報】,担当者に関する情報。,
