sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,xpath
1772,1,C,,Accounting Entries SA,,,,Root for XBRL GL. No entry made here.,gl-cor,0,Accounting Entries SA,CO23a,/CO23a,$.Accounting Entries SA,AccntEntrsSa,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。,gl-cor:accountingEntries
1773,2,C,,Document Information SA,,0..*,,Parent for descriptive information about the accountingEntries section in which it is contained.,gl-cor,0,Document Information SA,CO13a,/CO23a/CO13a,$.Accounting Entries SA.Document Information SA,AccntEntrsSa.DocInfrmSa,【文書情報】,この会計仕訳に関する情報の親タグ。,gl-cor:documentInfo
1774,3,A,,Document Type,Char,0..1,,"account: information to fill in a chart of accounts file. 
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger 
entries:  a list of individual accounting entries, which might be posted/validated or nonposted/validated  
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables:  aids automated interpretation of instances that represent tax tables; 
Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these ""master file"" tax tables can be referenced. 
Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",gl-cor,0,Document Information SA,CO13a_CO04_01,/CO23a/CO13a/CO13a_CO04_01,$.Accounting Entries SA.Document Information SA.Document Type,AccntEntrsSa.DocInfrmSa.DocTyp,文書種別,"・科目:科目体系ファイルの情報。
・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。
・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。
・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。
・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。
・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。
・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。
・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。
多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。
[設定値のリスト]
(account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)",gl-cor:entriesType
1775,3,A,,Audit Number,Char,0..1,,Unique identifier for this file.,gl-cor,0,Document Information SA,CO13a_CO04_02,/CO23a/CO13a/CO13a_CO04_02,$.Accounting Entries SA.Document Information SA.Audit Number,AccntEntrsSa.DocInfrmSa.AdtNr,監査番号,このファイルの一意識別子。,gl-cor:uniqueID
1776,3,A,,Language,Code,0..1,ISO639,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",gl-cor,0,Document Information SA,CO13a_CO04_05,/CO23a/CO13a/CO13a_CO04_05,$.Accounting Entries SA.Document Information SA.Language,AccntEntrsSa.DocInfrmSa.Lang,言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。,gl-cor:language
1777,3,A,,Creation Date,Date,0..1,,Date/time file was created.,gl-cor,0,Document Information SA,CO13a_CO04_06,/CO23a/CO13a/CO13a_CO04_06,$.Accounting Entries SA.Document Information SA.Creation Date,AccntEntrsSa.DocInfrmSa.CrtnDt,作成日付,ファイルが作成された日付/時間。,gl-cor:creationDate
1778,3,A,,Document Comment,Text,0..1,,Text for entire document.,gl-cor,0,Document Information SA,CO13a_CO04_07,/CO23a/CO13a/CO13a_CO04_07,$.Accounting Entries SA.Document Information SA.Document Comment,AccntEntrsSa.DocInfrmSa.DocCmmnt,文書コメント,文書全体に対する説明文。,gl-cor:entriesComment
1779,3,A,,Period Covered Start,Date,0..1,,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,0,Document Information SA,CO13a_CO04_08,/CO23a/CO13a/CO13a_CO04_08,$.Accounting Entries SA.Document Information SA.Period Covered Start,AccntEntrsSa.DocInfrmSa.PerCvrdStrt,対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,gl-cor:periodCoveredStart
1780,3,A,,Period Covered End,Date,0..1,,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,0,Document Information SA,CO13a_CO04_09,/CO23a/CO13a/CO13a_CO04_09,$.Accounting Entries SA.Document Information SA.Period Covered End,AccntEntrsSa.DocInfrmSa.PerCvrdEnd,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,gl-cor:periodCoveredEnd
1781,3,A,,Creator,Name,0..1,,Identifies the creator of the XBRL instance.,gl-cor,0,Document Information SA,CO13a_BU04_10,/CO23a/CO13a/CO13a_BU04_10,$.Accounting Entries SA.Document Information SA.Creator,AccntEntrsSa.DocInfrmSa.Crtr,作成者,ファイルの作成者の識別子。,gl-bus:creator
1782,3,A,,Source Application,Name,0..1,,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",gl-cor,0,Document Information SA,CO13a_BU04_14,/CO23a/CO13a/CO13a_BU04_14,$.Accounting Entries SA.Document Information SA.Source Application,AccntEntrsSa.DocInfrmSa.SrcApl,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,gl-bus:sourceApplication
1783,3,R,,(Default Currency) Currency,,0..1,,"The reference association to the Default Currency Currency class, which is a class holds information about different currencies.",gl-cor,0,(Default Currency) Currency,GE05r,/CO23a/CO13a/GE05r,$.Accounting Entries SA.Document Information SA.(Default Currency) Currency,AccntEntrsSa.DocInfrmSa.DefltCrrncCur,【通貨】,異なる通貨についての情報を保持するクラス,
1784,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official code of the currency utilized in the accounting and/or ERP system.,gl-cor,0,(Default Currency) Currency,GE05r_01,/CO23a/CO13a/GE05r_01,$.Accounting Entries SA.Document Information SA.(Default Currency) Currency.Code,AccntEntrsSa.DocInfrmSa.DefltCrrncCur.Cd,コード,通貨の公式コード,gl-cor:defaultCurrency
1785,2,C,,Entity Information SA,,0..*,,Holder for entity information - information about the reporting organization.,gl-cor,0,Entity Information SA,CO14a,/CO23a/CO14a,$.Accounting Entries SA.Entity Information SA,AccntEntrsSa.EnttyInfrmSa,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,gl-cor:entityInformation
1786,3,C,,Organization,,0..*,,Section which contains various identifiers for the company.,gl-cor,0,Organization,BU11c,/CO23a/CO14a/BU11c,$.Accounting Entries SA.Entity Information SA.Organization,AccntEntrsSa.EnttyInfrmSa.Org,【識別子】,組織に関する様々な識別子を含むセクション。,gl-bus:organizationIdentifiers
1787,4,A,PK,ID,Identifier,1,,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",gl-cor,0,Organization,BU11c_01,/CO23a/CO14a/BU11c/BU11c_01,$.Accounting Entries SA.Entity Information SA.Organization.ID,AccntEntrsSa.EnttyInfrmSa.Org.Id,事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,gl-bus:organizationIdentifier
1788,4,A,,Description,Text,0..1,,Text for organization identified by organizationIdentifier. Any descriptive information about the code.,gl-cor,0,Organization,BU11c_02,/CO23a/CO14a/BU11c/BU11c_02,$.Accounting Entries SA.Entity Information SA.Organization.Description,AccntEntrsSa.EnttyInfrmSa.Org.Dscr,事業体説明,organizationIdentifierによって特定された組織の説明文。 コードに関するなんらかの記述情報。,gl-bus:organizationDescription
1789,2,C,,Entry Header SA,,0..*,,Parent for entry headers/journal entry headers.,gl-cor,0,Entry Header SA,CO15a,/CO23a/CO15a,$.Accounting Entries SA.Entry Header SA,AccntEntrsSa.EntryHedrSa,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,gl-cor:entryHeader
1790,3,A,PK,Entry Identifier,Identifier,0..1,,Identifier within source journal,gl-cor,0,Entry Header SA,CO15a_CO11_01,/CO23a/CO15a/CO15a_CO11_01,$.Accounting Entries SA.Entry Header SA.Entry Identifier,AccntEntrsSa.EntryHedrSa.EntryIdntf,仕訳識別子,元仕訳帳中の識別子。,gl-cor:entryNumber
1791,3,C,,Entry Detail SA,,0..*,,Parent for entry detail,gl-cor,0,Entry Detail SA,CO16a,/CO23a/CO15a/CO16a,$.Accounting Entries SA.Entry Header SA.Entry Detail SA,AccntEntrsSa.EntryHedrSa.EntryDetlSa,【仕訳明細】,仕訳明細の親タグ。,gl-cor:entryDetail
1792,4,A,,Line Number,Char,0..1,,Identifier for a particular entry detail,gl-cor,0,Entry Detail SA,CO16a_CO10_01,/CO23a/CO15a/CO16a/CO16a_CO10_01,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Line Number,AccntEntrsSa.EntryHedrSa.EntryDetlSa.LnNr,明細行番号,仕訳明細の識別子。,gl-cor:lineNumber
1793,4,A,,Line Number Counter,Char,0..1,,Unique reference for the line - a numeric counter,gl-cor,0,Entry Detail SA,CO16a_CO10_02,/CO23a/CO15a/CO16a/CO16a_CO10_02,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Line Number Counter,AccntEntrsSa.EntryHedrSa.EntryDetlSa.LnNrCntr,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ,gl-cor:lineNumberCounter
1794,4,C,,Amount,,0..1,,A class that specifies a value of money in a given currency.,gl-cor,0,Amount,GE04o,/CO23a/CO15a/CO16a/GE04o,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Amount,AccntEntrsSa.EntryHedrSa.EntryDetlSa.Amt,【金額】,特定の通貨での金額を指定するクラス,
1795,5,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,gl-cor,0,Amount,GE04o_01,/CO23a/CO15a/CO16a/GE04o_01,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Amount.Value,AccntEntrsSa.EntryHedrSa.EntryDetlSa.Amt.Val,値,金額を表す数値,gl-cor:amount
1796,5,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",gl-cor,0,Currency,GE05s,/CO23a/CO15a/CO16a/GE05s,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Amount.Currency,AccntEntrsSa.EntryHedrSa.EntryDetlSa.Amt.Cur,【通貨】,異なる通貨についての情報を保持するクラス,
1797,6,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official code of the currency utilized in the accounting and/or ERP system.,gl-cor,0,Currency,GE05s_01,/CO23a/CO15a/CO16a/GE05s_01,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Amount.Currency.Code,AccntEntrsSa.EntryHedrSa.EntryDetlSa.Amt.Cur.Cd,コード,通貨の公式コード,gl-cor:amount@unitRef
1798,4,C,,Identifier Reference SA,,0..*,,"Identification for customer, vendor, or employee.",gl-cor,0,Identifier Reference SA,CO17a,/CO23a/CO15a/CO16a/CO17a,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Identifier Reference SA,AccntEntrsSa.EntryHedrSa.EntryDetlSa.IdntfRefSa,【CVE情報】,顧客、仕入先、従業員のための識別子。,gl-cor:identifierReference
1799,5,A,PK,ID,Identifier,0..1,,Internal ID Number associated with identifierReference,gl-cor,0,Identifier Reference SA,CO17a_CO02_01,/CO23a/CO15a/CO16a/CO17a/CO17a_CO02_01,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Identifier Reference SA.ID,AccntEntrsSa.EntryHedrSa.EntryDetlSa.IdntfRefSa.Id,CVE識別番号（内部）,identifierReferenceに関係付けられた、内部ID番号。,gl-cor:identifierCode
1800,5,C,,Registered Entity Identifier SA,,0..*,,Structure containing references to an external authority associated with identifier,gl-cor,0,Registered Entity Identifier SA,CO18a,/CO23a/CO15a/CO16a/CO17a/CO18a,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Identifier Reference SA.Registered Entity Identifier SA,AccntEntrsSa.EntryHedrSa.EntryDetlSa.IdntfRefSa.RegstEnttyIdntfSa,【登録法人識別子】,識別子と関係付けられる外部機関への参照情報を含む構造体。,gl-cor:identifierExternalReference
1801,6,A,,Verification Date,Date,0..1,,Date on which the External Authority last performed a verification,gl-cor,0,Registered Entity Identifier SA,CO18a_CO01_03,/CO23a/CO15a/CO16a/CO17a/CO18a/CO18a_CO01_03,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Identifier Reference SA.Registered Entity Identifier SA.Verification Date,AccntEntrsSa.EntryHedrSa.EntryDetlSa.IdntfRefSa.RegstEnttyIdntfSa.VerfcDt,外部機関認証日付,外部機関が最後に認証した日付。,gl-cor:identifierAuthorityVerificationDate
1802,5,C,,Contact SA,,0..*,,Information about contacts.,gl-cor,0,Contact SA,CO19a,/CO23a/CO15a/CO16a/CO17a/CO19a,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Identifier Reference SA.Contact SA,AccntEntrsSa.EntryHedrSa.EntryDetlSa.IdntfRefSa.CntSa,【担当者情報】,担当者に関する情報。,gl-cor:identifierContactInformationStructure
1803,6,A,,Last Name,Name,0..1,,Last or family name,gl-cor,0,Contact SA,CO19a_BU06_02,/CO23a/CO15a/CO16a/CO17a/CO19a/CO19a_BU06_02,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Identifier Reference SA.Contact SA.Last Name,AccntEntrsSa.EntryHedrSa.EntryDetlSa.IdntfRefSa.CntSa.LastNam,姓,姓,gl-cor:identifierContactLastName
1804,6,A,,First Name,Name,0..1,,First or given name,gl-cor,0,Contact SA,CO19a_BU06_03,/CO23a/CO15a/CO16a/CO17a/CO19a/CO19a_BU06_03,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Identifier Reference SA.Contact SA.First Name,AccntEntrsSa.EntryHedrSa.EntryDetlSa.IdntfRefSa.CntSa.FrstNam,名,名、クリスチャンネーム,gl-cor:identifierContactFirstName
1805,4,C,,Measurable SA,,0..*,,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-cor,0,Measurable SA,CO20a,/CO23a/CO15a/CO16a/CO20a,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Measurable SA,AccntEntrsSa.EntryHedrSa.EntryDetlSa.MesrbSa,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,gl-bus:measurable
1806,5,A,,Measurable Identification,Char,0..1,,Internal inventory part or SKU number or other code identifier for the measurable.,gl-cor,0,Measurable SA,CO20a_BU12_04,/CO23a/CO15a/CO16a/CO20a/CO20a_BU12_04,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Measurable SA.Measurable Identification,AccntEntrsSa.EntryHedrSa.EntryDetlSa.MesrbSa.MesrbIdntf,計測可能物識別子,計測可能物の社内在庫部分またはSKU番号またはその他のコード識別子。,gl-bus:measurableID
1807,5,A,,Schema for Measurable Identification,Char,0..1,,URI or other identifier for schema with which measurable ID can be validated,gl-cor,0,Measurable SA,CO20a_BU12_05,/CO23a/CO15a/CO16a/CO20a/CO20a_BU12_05,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Measurable SA.Schema for Measurable Identification,AccntEntrsSa.EntryHedrSa.EntryDetlSa.MesrbSa.SchmFrMesrbIdntf,計測可能物識別子スキーマ,計測可能物のIDを検証するスキーマの、URIまたはその他の識別子。,gl-bus:measurableIDSchema
1808,5,A,,Measurable Description,Text,0..1,,Text description of measurable (e.g. inventory item or other identifier),gl-cor,0,Measurable SA,CO20a_BU12_08,/CO23a/CO15a/CO16a/CO20a/CO20a_BU12_08,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Measurable SA.Measurable Description,AccntEntrsSa.EntryHedrSa.EntryDetlSa.MesrbSa.MesrbDscr,計測可能物説明,計測可能物の説明。（たとえば、在庫やその他の識別子）,gl-bus:measurableDescription
1809,5,A,,Start Time,DateTime,0..1,,Start time of the duration being measured,gl-cor,0,Measurable SA,CO20a_BU12_12,/CO23a/CO15a/CO16a/CO20a/CO20a_BU12_12,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Measurable SA.Start Time,AccntEntrsSa.EntryHedrSa.EntryDetlSa.MesrbSa.StrtTm,開始日時,計量期間の開始時刻。,gl-bus:measurableStartDateTime
1810,5,A,,End Time,DateTime,0..1,,End time of the duration being measured,gl-cor,0,Measurable SA,CO20a_BU12_13,/CO23a/CO15a/CO16a/CO20a/CO20a_BU12_13,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Measurable SA.End Time,AccntEntrsSa.EntryHedrSa.EntryDetlSa.MesrbSa.EndTm,終了日時,計量期間の終了時刻。,gl-bus:measurableEndDateTime
1811,5,C,,Quantity,,0..1,,A class that specifies a value of measurable in UOM code.,gl-cor,0,Quantity,GE01k,/CO23a/CO15a/CO16a/CO20a/GE01k,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Measurable SA.Quantity,AccntEntrsSa.EntryHedrSa.EntryDetlSa.MesrbSa.Qt,【数量】,特定の単位での数量を指定するクラス,
1812,6,A,,Value,Decimal,0..1,,The numerical amount of a specified item or resource.,gl-cor,0,Quantity,GE01k_01,/CO23a/CO15a/CO16a/CO20a/GE01k_01,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Measurable SA.Quantity.Value,AccntEntrsSa.EntryHedrSa.EntryDetlSa.MesrbSa.Qt.Val,値,指定された項目またはリソースの数値量,gl-bus:measurableQuantity
1813,6,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",gl-cor,0,Measurement Unit,GE02l,/CO23a/CO15a/CO16a/CO20a/GE02l,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Measurable SA.Quantity.Measurement Unit,AccntEntrsSa.EntryHedrSa.EntryDetlSa.MesrbSa.Qt.MeaUnt,【測定単位】,測定値を定量化するために使用される基本測定単位,
1814,7,A,REF,UOM Code,Identifier,1,,The unique code for the unit of measure used in transactions.,gl-cor,0,Measurement Unit,GE02l_01,/CO23a/CO15a/CO16a/CO20a/GE02l_01,$.Accounting Entries SA.Entry Header SA.Entry Detail SA.Measurable SA.Quantity.Measurement Unit.UOM Code,AccntEntrsSa.EntryHedrSa.EntryDetlSa.MesrbSa.Qt.MeaUnt.UomCd,測定単位コード,測定単位のコード,gl-bus:measurableUnitOfMeasure
