name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,English_Label
　貸借対照表,,,5,貸借対照表,,,,,
　　資産の部,,資産,,資産の部,,T,2,10A000010,Assets
　　　流動資産,,流動資産,,流動資産,,T,3,10A100010,Current assets
　　　　現金及び預金,0,流動資産,,現金及び預金,,1,4,10A100020,Cash and deposits
　　　　受取手形及び売掛金,0,流動資産,,受取手形及び売掛金,,1,4,10A100030,Notes and accounts receivable - trade
　　　　　貸倒引当金,0,流動資産,,貸倒引当金,,1,5,10A100040,Allowance for doubtful accounts
　　　　　受取手形及び売掛金（純額）,0,流動資産,,受取手形及び売掛金（純額）,,1,5,10A100050,"Notes and accounts receivable - trade, net"
　　　　受取手形,0,流動資産,,受取手形,,1,4,10A100060,Notes receivable - trade
　　　　　貸倒引当金,0,流動資産,,貸倒引当金,,1,5,10A100070,Allowance for doubtful accounts
　　　　　受取手形（純額）,0,流動資産,,受取手形（純額）,,1,5,10A100080,"Notes receivable - trade, net"
　　　　売掛金,0,流動資産,,売掛金,,1,4,10A100090,Accounts receivable - trade
　　　　　貸倒引当金,0,流動資産,,貸倒引当金,,1,5,10A100100,Allowance for doubtful accounts
　　　　　売掛金（純額）,0,流動資産,,売掛金（純額）,,1,5,10A100110,"Accounts receivable - trade, net"
　　　　関係会社売掛金,0,流動資産,,関係会社売掛金,,1,4,10A100120,Accounts receivable from subsidiaries and associates - trade
　　　　割賦売掛金,0,流動資産,,割賦売掛金,,1,4,10A100130,Accounts receivable - installment
　　　　開発事業未収入金,0,流動資産,,開発事業未収入金,,1,4,10A100140,Accounts receivable - development business
　　　　不動産事業未収入金,0,流動資産,,不動産事業未収入金,,1,4,10A100150,Accounts receivable - real estate business
　　　　完成業務未収入金,0,流動資産,,完成業務未収入金,,1,4,10A100160,Accounts receivable - completed service contracts
　　　　加盟店貸勘定,0,流動資産,,加盟店貸勘定,,1,4,10A100170,Accounts receivable - due from franchised stores
　　　　受取手形及び営業未収入金,0,流動資産,,受取手形及び営業未収入金,,1,4,10A100180,Trade notes and accounts receivable
　　　　営業未収入金,0,流動資産,,営業未収入金,,1,4,10A100190,Trade accounts receivable
　　　　電子記録債権,0,流動資産,,電子記録債権,,1,4,10A100200,Electronically recorded monetary claims - operating
　　　　営業貸付金,0,流動資産,,営業貸付金,,1,4,10A100210,Operating loans
　　　　売買目的有価証券及び1年内に満期の到来する有価証券,,流動資産,,売買目的有価証券及び1年内に満期の到来する有価証券,,T,4,10A100220,Securities - trading and matured within one year
　　　　　有価証券,0,流動資産,,有価証券,,1,5,10A100230,Securities
　　　　親会社株式,0,流動資産,,親会社株式,,1,4,10A100240,Shares of parent
　　　　金銭の信託,0,流動資産,,金銭の信託,,1,4,10A100250,Money held in trust
　　　　営業投資有価証券,0,流動資産,,営業投資有価証券,,1,4,10A100260,Operational investment securities
　　　　たな卸資産,0,流動資産,,たな卸資産,,1,4,10A100270,Inventories
　　　　　商品,0,流動資産,,商品,,1,5,10A100280,Merchandise
　　　　　　未着商品,0,流動資産,,未着商品,,1,6,10A100290,Goods in transit
　　　　　製品、副産物及び作業くず,,流動資産,,製品、副産物及び作業くず,,T,5,10A100300,"Finished goods, by-products and scraps"
　　　　　　製品,0,流動資産,,製品,,1,6,10A100310,Finished goods
　　　　　　副産物,0,流動資産,,副産物,,1,6,10A100320,By-product
　　　　　商品及び製品,0,流動資産,,商品及び製品,,1,5,10A100330,Merchandise and finished goods
　　　　　半製品,0,流動資産,,半製品,,1,5,10A100340,Semi-finished goods
　　　　　原料及び材料,,流動資産,,原料及び材料,,T,5,10A100350,Raw materials and materials
　　　　　　原材料,0,流動資産,,原材料,,1,6,10A100360,Raw materials
　　　　　　原材料及び貯蔵品,0,流動資産,,原材料及び貯蔵品,,1,6,10A100370,Raw materials and supplies
　　　　　　未着原材料,0,流動資産,,未着原材料,,1,6,10A100380,Raw materials in transit
　　　　　仕掛品及び半成工事,,流動資産,,仕掛品及び半成工事,,T,5,10A100390,Work in process and partly-finished work
　　　　　　仕掛品,0,流動資産,,仕掛品,,1,6,10A100400,Work in process
　　　　　　半成工事,0,流動資産,,半成工事,,1,6,10A100410,Partly-finished work
　　　　　消耗品、消耗工具、器具及び備品その他の貯蔵品で相当額以上のもの,,流動資産,,消耗品、消耗工具、器具及び備品その他の貯蔵品で相当額以上のもの,,T,5,10A100420,Supplies and other - reasonable value
　　　　　　貯蔵品,0,流動資産,,貯蔵品,,1,6,10A100430,Supplies
　　　　　販売用不動産,0,流動資産,,販売用不動産,,1,5,10A100440,Real estate for sale
　　　　　仕掛販売用不動産,0,流動資産,,仕掛販売用不動産,,1,5,10A100450,Real estate for sale in process
