Name,Category,seq,Account_Nname,Type,Level,Ledger_Account_Number,Beginning_Balance,Total_Debit,Total_Credit,Ending_Balance
　　資産の部,資産,,資産の部,T,2,10A000010,0,0,0,0
　　　流動資産,流動資産,,流動資産,T,3,10A100010,0,0,0,0
　　　　現金及び預金,流動資産,,現金及び預金,1,4,10A100020,73659897,1304847002,1268415220,110091679
　　　　　貸倒引当金,流動資産,,貸倒引当金,1,5,10A100040,822674000,0,0,822674000
　　　　受取手形,流動資産,,受取手形,1,4,10A100060,77631436,426025539,392166316,111490659
　　　　売掛金,流動資産,,売掛金,1,4,10A100090,8130812723,852595939,905425166,8077983496
　　　　電子記録債権,流動資産,,電子記録債権,1,4,10A100200,0,40000,0,40000
　　　　売買目的有価証券及び1年内に満期の到来する有価証券,流動資産,,売買目的有価証券及び1年内に満期の到来する有価証券,T,4,10A100220,0,0,0,0
　　　　　有価証券,流動資産,,有価証券,1,5,10A100230,1271350,0,0,1271350
　　　　　商品,流動資産,,商品,1,5,10A100280,63013226,63025546,63013226,63025546
　　　　　製品、副産物及び作業くず,流動資産,,製品、副産物及び作業くず,T,5,10A100300,0,0,0,0
　　　　　原料及び材料,流動資産,,原料及び材料,T,5,10A100350,0,0,0,0
　　　　　仕掛品及び半成工事,流動資産,,仕掛品及び半成工事,T,5,10A100390,0,0,0,0
　　　　　消耗品、消耗工具、器具及び備品その他の貯蔵品で相当額以上のもの,流動資産,,消耗品、消耗工具、器具及び備品その他の貯蔵品で相当額以上のもの,T,5,10A100420,0,0,0,0
　　　　その他の資産で1年内に現金化できると認められるもの,流動資産,,その他の資産で1年内に現金化できると認められるもの,T,4,10A100570,0,0,0,0
　　　　　短期貸付金,流動資産,,短期貸付金,1,5,10A100610,480000,600000,680000,400000
　　　　　差入保証金,流動資産,,差入保証金,1,5,10A100800,1200000,0,0,1200000
　　　　流動資産に属する資産に係る引当金,流動資産,,流動資産に属する資産に係る引当金,T,4,10A101040,0,0,0,0
　　　固定資産,固定資産,,固定資産,T,3,10A200010,0,0,0,0
　　　　有形固定資産,有形固定資産,,有形固定資産,T,4,10A210010,0,0,0,0
　　　　　建物及び暖房、照明、通風等の附属設備,有形固定資産,,建物及び暖房、照明、通風等の附属設備,T,5,10A210020,0,0,0,0
　　　　　構築物,有形固定資産,,構築物,1,5,10A210130,2001693400,0,328000,2001365400
　　　　　機械及び装置並びにコンベヤー、ホイスト、起重機等の搬送設備その他の附属設備,有形固定資産,,機械及び装置並びにコンベヤー、ホイスト、起重機等の搬送設備その他の附属設備,T,5,10A210230,0,0,0,0
　　　　　船舶及び水上運搬具,有形固定資産,,船舶及び水上運搬具,T,5,10A210290,0,0,0,0
　　　　　鉄道車両、自動車その他の陸上運搬具,有形固定資産,,鉄道車両、自動車その他の陸上運搬具,T,5,10A210350,0,0,0,0
　　　　　工具、器具及び備品,有形固定資産,,工具、器具及び備品,1,5,10A210410,953769200,0,1911924,951857276
　　　　　その他の有形固定資産で流動資産または投資たる資産に属しないもの,有形固定資産,,その他の有形固定資産で流動資産または投資たる資産に属しないもの,T,5,10A210680,0,0,0,0
　　　　無形固定資産,無形固定資産,,無形固定資産,T,4,10A220010,0,0,0,0
　　　　　地上権,無形固定資産,,地上権,T,5,10A220040,0,0,0,0
　　　　　入漁権,無形固定資産,,入漁権,T,5,10A220100,0,0,0,0
　　　　　その他の無形資産で流動資産又は投資たる資産に属しないもの,無形固定資産,,その他の無形資産で流動資産又は投資たる資産に属しないもの,T,5,10A220170,0,0,0,0
