name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,element_name,English_Label
　損益計算書,,,5,損益計算書,,T,1,10_000000,#N/A,Profit and Loss
　　営業活動による収益,,売上高,,営業活動による収益,,T,2,10D100010,RevenueFromOperatingActivitiesAbstract,Revenue from operating activities
　　　売上高,,売上高,,売上高,,T,3,10D100020,NetSalesAbstract,Net sales
　　　　売上高,0,売上高,,売上高,,1,4,10D100030,NetSales,Net sales
　　　営業収益,,売上高,,営業収益,,T,3,10D100040,OperatingRevenue2Abstract,Operating revenue
　　　　営業収益,0,売上高,,営業収益,,1,4,10D100050,OperatingRevenue1,Operating revenue
　　　営業収入,,売上高,,営業収入,,T,3,10D100060,OperatingRevenue2Abstract,Operating revenue
　　　　営業収入,0,売上高,,営業収入,,1,4,10D100070,OperatingRevenue2,Operating revenue
　　　　営業総収入,0,売上高,,営業総収入,,1,4,10D100080,GrossOperatingRevenue,Gross operating revenue
　　　営業活動による収益の内訳,,売上高,,営業活動による収益の内訳,,T,3,10D100090,RevenueFromOperatingActivitiesDetailAbstract,Revenue from operating activities - detail
　　　　総売上高,0,売上高,,総売上高,,T,4,10D100100,GrossSalesRevOA,Gross sales
　　　　　電子取引 総売上高,0,売上高,,電子取引総売上高,,T,5,10D100103,#N/A,Gross sales from electronic transactions
　　　　　　電子取引 売上高,0,売上高,,電子取引売上高,,0,6,10D100101,#N/A,Sales from electronic transactions
　　　　　　電子取引 売上値引及び戻り高,0,売上高,,電子取引売上値引及び戻り高,,0,6,10D100111,#N/A,Sales allowance and returns from electronic transactions from electronic transactions
　　　　売上値引及び戻り高,0,売上高,,売上値引及び戻り高,,0,4,10D100110,SalesAllowanceAndReturnsRevOA,Sales allowance and returns
　　　　　電子取引以外 総売上高,0,売上高,,電子取引以外総売上高,,T,5,10D100104,#N/A,Gross sales from traditional transactions
　　　　　　電子取引以外 売上高,0,売上高,,電子取引以外売上高,,0,6,10D100102,#N/A,Sales from traditional transactions
　　　　　　電子取引以外 売上値引及び戻り高,0,売上高,,電子取引以外売上値引及び戻り高,,0,6,10D100112,#N/A,Sales allowance and returns from traditional transactions
　　　　商品売上高,0,売上高,,商品売上高,,1,4,10D100120,NetSalesOfGoodsRevOA,Net sales of goods
　　　　製品売上高,0,売上高,,製品売上高,,1,4,10D100130,NetSalesOfFinishedGoodsRevOA,Net sales of finished goods
