Ledger_Account_Number,Level,Ledger_Account_Number,Parent,Beginning_Balance,Total_Debit,Total_Credit,Ending_Balance,seq,eTax_Category,eTax_Account_Name
10A100010,2,10A100010,,8282104056,2583508480,2566006702,8299605834,3,流動資産,　　　流動資産
10A100020,3,10A100020,10A100010,73659897,1304847002,1268415220,110091679,4,流動資産,　　　　現金及び預金
10A100030,3,10A100030,,822674000,0,0,822674000,5,流動資産,　　　　受取手形及び売掛金
10A100040,4,10A100040,10A100030,822674000,0,0,822674000,6,流動資産,　　　　　貸倒引当金
10A100060,3,10A100060,10A100010,77631436,426025539,392166316,111490659,8,流動資産,　　　　受取手形
10A100090,3,10A100090,10A100010,8130812723,852595939,905425166,8077983496,11,流動資産,　　　　売掛金
10A100200,3,10A100200,10A100010,0,40000,0,40000,22,流動資産,　　　　電子記録債権
10A100220,3,10A100220,,1271350,0,0,1271350,24,流動資産,　　　　売買目的有価証券及び1年内に満期の到来する有価証券
10A100230,4,10A100230,10A100220,1271350,0,0,1271350,25,流動資産,　　　　　有価証券
10A100270,3,10A100270,,63013226,63025546,63013226,63025546,29,流動資産,　　　　たな卸資産
10A100280,4,10A100280,10A100270,63013226,63025546,63013226,63025546,30,流動資産,　　　　　商品
10A100570,3,10A100570,,1680000,600000,680000,1600000,59,流動資産,　　　　その他の資産で1年内に現金化できると認められるもの
10A100610,4,10A100610,10A100570,480000,600000,680000,400000,63,流動資産,　　　　　短期貸付金
10A100800,4,10A100800,10A100570,1200000,0,0,1200000,82,流動資産,　　　　　差入保証金
10A210010,3,10A210010,,2955462600,0,2239924,2953222676,120,有形固定資産,　　　　有形固定資産
10A210130,4,10A210130,10A210010,2001693400,0,328000,2001365400,132,有形固定資産,　　　　　構築物
10A210410,4,10A210410,10A210010,953769200,0,1911924,951857276,160,有形固定資産,　　　　　工具、器具及び備品
10A220170,4,10A220170,,512000,0,0,512000,231,無形固定資産,　　　　　その他の無形資産で流動資産又は投資たる資産に属しないもの
10A220190,5,10A220190,10A220170,512000,0,0,512000,233,無形固定資産,　　　　　　電話加入権
10A230280,4,10A230280,,4668000,1500000,0,6168000,275,投資その他の資産,　　　　　前各号に掲げられるものの外、流動資産、有形固定資産、無形固定資産又は繰延資産に属するもの以外の長期資産
10A230570,5,10A230570,10A230280,1528000,1500000,0,3028000,304,投資その他の資産,　　　　　　保険積立金
10A230650,5,10A230650,10A230280,3140000,0,0,3140000,312,投資その他の資産,　　　　　　敷金
10B100010,2,10B100010,,316302836,689081858,696929277,324150255,347,流動負債,　　　流動負債
10B100030,3,10B100030,10B100010,52251735,167107676,183544830,68688889,349,流動負債,　　　　支払手形
10B100040,3,10B100040,10B100010,264051101,521974182,513384447,255461366,350,流動負債,　　　　買掛金
10B100300,3,10B100300,,32000000,0,0,32000000,376,流動負債,　　　　引当金
10B100320,4,10B100320,10B100300,32000000,0,0,32000000,378,流動負債,　　　　　賞与引当金
10B100620,3,10B100620,,69567745,127992625,121748253,63323373,408,流動負債,　　　　通常の取引に関連して発生する未払金又は預り金で一般の取引慣行として発生後短期間に支払われるもの
10B100630,4,10B100630,10B100620,57584692,97455856,96837971,56966807,409,流動負債,　　　　　未払金
10B100640,4,10B100640,10B100620,2864378,2864378,0,0,410,流動負債,　　　　　未払法人税等
10B100650,4,10B100650,10B100620,1862000,1862000,0,0,411,流動負債,　　　　　未払事業所税
10B100660,4,10B100660,10B100620,4947100,4947100,0,0,412,流動負債,　　　　　未払消費税等
10B100690,4,10B100690,10B100620,2309575,20863291,24910282,6356566,415,流動負債,　　　　　預り金
10B100730,3,10B100730,,14382636,7842000,0,6540636,419,流動負債,　　　　その他の負債で1年内に支払又は返済されると認められるもの
10B100790,4,10B100790,10B100730,7842000,7842000,0,0,425,流動負債,　　　　　短期借入金
10B100890,4,10B100890,10B100730,6540636,0,0,6540636,435,流動負債,　　　　　仮受消費税等
10B200070,3,10B200070,,14000000,7000000,0,7000000,460,固定負債,　　　　長期借入金
10B200080,4,10B200080,10B200070,14000000,7000000,0,7000000,461,固定負債,　　　　　長期借入金
10B200110,3,10B200110,,40560000,0,0,40560000,464,固定負債,　　　　引当金
10B200120,4,10B200120,10B200110,18560000,0,0,18560000,465,固定負債,　　　　　退職給付引当金
10B200300,4,10B200300,10B200110,22000000,0,0,22000000,483,固定負債,　　　　　その他の引当金
10C100010,2,10C100010,,8900000000,0,0,8900000000,527,株主資本,　　　株主資本
10C110010,3,10C110010,10C100010,8900000000,0,0,8900000000,528,資本金,　　　　資本金
10C120010,3,10C120010,,1085000000,0,0,1085000000,530,資本剰余金,　　　　資本剰余金
10C120020,4,10C120020,10C120010,1085000000,0,0,1085000000,531,資本剰余金,　　　　　資本準備金
10C130010,3,10C130010,,7200000,0,0,7200000,534,利益剰余金,　　　　利益剰余金
10C130020,4,10C130020,10C130010,7200000,0,0,7200000,535,利益剰余金,　　　　　利益準備金
10C130030,4,10C130030,,9786596,0,0,9786596,536,利益剰余金,　　　　　その他利益剰余金
10C130360,5,10C130360,10C130030,4830000,0,0,4830000,569,利益剰余金,　　　　　　別途積立金
10C130370,5,10C130370,10C130030,4956596,0,0,4956596,570,利益剰余金,　　　　　　繰越利益剰余金
