JP07a,JP08a,Month,JP07a_GL02_03,JP07a_GL02_01,JP08a_GL03_03,JP06b_BS16_01,JP06b_BS16_02,Debit_Amount,JP02c_BS28_01,JP02c_BS28_02,GE05gS_01,JP05a_01,JP05a_02,BS04c5_01,BS04c5_02,JP06d_BS16_01,JP06d_BS16_02,Credit_Amount,JP02d_BS28_01,JP02d_BS28_02,GE05h0_01,JP05b_01,JP05b_02,BS04c6_01,BS04c6_02
1,1,2021-04,2021-04-01,18,旅費,10E201230,旅費及び交通費,19500,S10,標準10%,1772,,,,,10A100020,現金及び預金,19500,O,-,0,,,,
2,1,2021-04,2021-04-01,246,旅費,10E201230,旅費及び交通費,10000,S10,標準10%,909,,,,,10A100020,現金及び預金,10000,O,-,0,,,,
3,1,2021-04,2021-04-02,19,旅費,10E201230,旅費及び交通費,11000,S10,標準10%,1000,,,,,10A100020,現金及び預金,11000,O,-,0,,,,
4,1,2021-04,2021-04-02,68,トイレットペーパー他,10E201270,雑費,2970,S10,標準10%,270,,,,,10A100020,現金及び預金,2970,O,-,0,,,,
5,1,2021-04,2021-04-02,122,証明書発行手数料,10E200180,通信費,1050,S10,標準10%,95,,,,,10A100020,現金及び預金,1050,O,-,0,,,,
6,1,2021-04,2021-04-02,142,高速代,10E201120,車両費,2458,S10,標準10%,223,,,,,10A100020,現金及び預金,13384,O,-,0,,,,
6,2,2021-04,2021-04-02,142,駐車代,10E201120,車両費,591,S10,標準10%,53,,,,,,,0,,,0,,,,
6,3,2021-04,2021-04-02,142,ガソリン代,10E201120,車両費,4620,S10,標準10%,420,,,,,,,0,,,0,,,,
6,4,2021-04,2021-04-02,142,洗車券代,10E201120,車両費,5715,S10,標準10%,519,,,,,,,0,,,0,,,,
7,1,2021-04,2021-04-03,41,結婚式会費,10E200150,交際費,12000,S10,標準10%,1090,,,,,10A100020,現金及び預金,12000,O,-,0,,,,
8,1,2021-04,2021-04-03,134,用紙,10E201110,事務用消耗品費,15600,S10,標準10%,1418,,,,,10A100020,現金及び預金,15600,O,-,0,,,,
9,1,2021-04,2021-04-04,310,ガソリン代,10E201120,車両費,6486,S10,標準10%,589,,,,,10A100020,現金及び預金,17401,O,-,0,,,,
9,2,2021-04,2021-04-04,310,高速代,10E201120,車両費,9715,S10,標準10%,883,,,,,,,0,,,0,,,,
9,3,2021-04,2021-04-04,310,駐車代,10E201120,車両費,1200,S10,標準10%,109,,,,,,,0,,,0,,,,
10,1,2021-04,2021-04-05,76,制服代,10E200140,福利厚生費,56000,S10,標準10%,5090,,,,,10B100630,未払金,56000,O,-,0,,,,
11,1,2021-04,2021-04-05,133,税理士報酬,10E200600,支払報酬,139710,S10,標準10%,12700,,,,,10A100020,現金及び預金,139710,O,-,0,20,みずほ 本店,,
12,1,2021-04,2021-04-05,139,制服代,10E200140,福利厚生費,55630,S10,標準10%,5057,,,,,10B100630,未払金,55630,O,-,0,,,,
13,1,2021-04,2021-04-05,254,4月5日伝票No190株式会社 渡辺産業,10A100020,現金及び預金,2959035,O,-,0,50,福岡 北九州,,,10A100090,売掛金,2959035,O,-,0,22,㈱渡辺産業,,
13,2,2021-04,2021-04-05,254,4月5日伝票No190株式会社 渡辺産業,10E200690,支払手数料,630,S10,標準10%,57,,,,,10A100090,売掛金,630,O,-,0,22,㈱渡辺産業,,
