JP07a,JP08a,BS04c5,JP05a,BS04c6,JP05b,JP07a_GL02_01,JP07a_GL02_03,GE03dl_01,GL05c_01,BS15c_01,JP08a_GL03_03,JP06b_BS16_01,JP06b_BS16_02,JP05a_01,JP05a_02,JP05a_03,GE05gP_01,GE05gS_01,JP02c_BS28_01,JP02c_BS28_02,JP06d_BS16_01,JP06d_BS16_02,JP05b_01,JP05b_02,JP05b_03,GE05hX_01,GE05h0_01,JP02d_BS28_01,JP02d_BS28_02,BS04c5_01,BS04c5_02,BS04c5_03,BS04c6_01,BS04c6_02,BS04c6_03
1,,,,,,18,2021-04-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,,,,,,,,,,旅費,10E201230,旅費及び交通費,,,,19500.0,1772.0,S10,標準10%,10A100020,現金及び預金,,,,19500.0,0.0,O,対象外,,,,,,
1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
1,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
2,,,,,,246,2021-04-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,,,,,,,,,,旅費,10E201230,旅費及び交通費,,,,10000.0,909.0,S10,標準10%,10A100020,現金及び預金,,,,10000.0,0.0,O,対象外,,,,,,
2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
2,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
3,,,,,,19,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,,,,,,,,,,旅費,10E201230,旅費及び交通費,,,,11000.0,1000.0,S10,標準10%,10A100020,現金及び預金,,,,11000.0,0.0,O,対象外,,,,,,
3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
3,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
4,,,,,,68,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,,,,,,,,,,トイレットペーパー他,10E201270,雑費,,,,2970.0,270.0,S10,標準10%,10A100020,現金及び預金,,,,2970.0,0.0,O,対象外,,,,,,
4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
4,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
5,,,,,,122,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0,,,,,,,,,,証明書発行手数料,10E200180,通信費,,,,1050.0,95.0,S10,標準10%,10A100020,現金及び預金,,,,1050.0,0.0,O,対象外,,,,,,
5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
5,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
6,,,,,,142,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0,,,,,,,,,,高速代,10E201120,車両費,,,,2458.0,223.0,S10,標準10%,10A100020,現金及び預金,,,,13384.0,0.0,O,対象外,,,,,,
6,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
