name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,English_Label
　損益計算書,,,5,損益計算書,,T,1,10_000000,Profit and Loss
　　営業活動による収益,,売上高,,営業活動による収益,,T,2,10D100010,Revenue from operating activities
　　　売上高,,売上高,,売上高,,T,3,10D100020,Net sales
　　　　売上高,0,売上高,,売上高,,1,4,10D100030,Net sales
　　　営業収益,,売上高,,営業収益,,T,3,10D100040,Operating revenue
　　　　営業収益,0,売上高,,営業収益,,1,4,10D100050,Operating revenue
　　　営業収入,,売上高,,営業収入,,T,3,10D100060,Operating revenue
　　　　営業収入,0,売上高,,営業収入,,1,4,10D100070,Operating revenue
　　　　営業総収入,0,売上高,,営業総収入,,1,4,10D100080,Gross operating revenue
　　　営業活動による収益の内訳,,売上高,,営業活動による収益の内訳,,T,3,10D100090,Revenue from operating activities - detail
　　　　総売上高,0,売上高,,総売上高,,1,4,10D100100,Gross sales
　　　　電子取引売上高,0,売上高,,電子取引売上高,,1,4,10D100101,Gross sales from electronic transactions
　　　　電子取引以外売上高,0,売上高,,電子取引以外売上高,,1,4,10D100102,Gross sales from traditional transactions
　　　　売上値引及び戻り高,0,売上高,,売上値引及び戻り高,,1,4,10D100110,Sales allowance and returns
　　　　商品売上高,0,売上高,,商品売上高,,1,4,10D100120,Net sales of goods
　　　　製品売上高,0,売上高,,製品売上高,,1,4,10D100130,Net sales of finished goods
　　　　商品及び製品売上高,0,売上高,,商品及び製品売上高,,1,4,10D100140,Net sales of merchandise and finished goods
　　　　半製品売上高,0,売上高,,半製品売上高,,1,4,10D100150,Sales of semi-finished goods
　　　　原材料売上高,0,売上高,,原材料売上高,,1,4,10D100160,Sales of raw materials
　　　　副産物売上高,0,売上高,,副産物売上高,,1,4,10D100170,Sales of by-products
　　　　作業くず売上高,0,売上高,,作業くず売上高,,1,4,10D100180,Sales of scraps
　　　　役務収益,0,売上高,,役務収益,,1,4,10D100190,Service revenue
　　　　サービス売上高,0,売上高,,サービス売上高,,1,4,10D100200,Service sales
　　　　割賦販売売上高,0,売上高,,割賦販売売上高,,1,4,10D100210,Installment sales
　　　　不動産売上高,0,売上高,,不動産売上高,,1,4,10D100220,Real estate sales
　　　　開発事業売上高,0,売上高,,開発事業売上高,,1,4,10D100230,Sales in development business
　　　　不動産事業売上高,0,売上高,,不動産事業売上高,,1,4,10D100240,Sales in real estate business
　　　　賃貸事業売上高,0,売上高,,賃貸事業売上高,,1,4,10D100250,Sales in leasing business
　　　　分譲事業売上高,0,売上高,,分譲事業売上高,,1,4,10D100260,Sales in residential property sales business
　　　　その他の事業売上高,0,売上高,,その他の事業売上高,,1,4,10D100270,Sales in other businesses
　　　　賃貸事業収益,0,売上高,,賃貸事業収益,,1,4,10D100280,Leasing business revenue
　　　　賃貸事業収入,0,売上高,,賃貸事業収入,,1,4,10D100290,Leasing business revenue
　　　　賃貸収入,0,売上高,,賃貸収入,,1,4,10D100300,Lease revenue
　　　　不動産賃貸収入,0,売上高,,不動産賃貸収入,,1,4,10D100310,Real estate lease revenue
　　　　不動産収入,0,売上高,,不動産収入,,1,4,10D100320,Real estate income
　　　　手数料収入,0,売上高,,手数料収入,,1,4,10D100330,Commission income
　　　　加工料収入,0,売上高,,加工料収入,,1,4,10D100340,Processing income
　　　　ロイヤリティー収入,0,売上高,,ロイヤリティー収入,,1,4,10D100350,Royalty income
　　　　コンサルティング収入,0,売上高,,コンサルティング収入,,1,4,10D100360,Consulting income
　　　　加盟店からの収入,0,売上高,,加盟店からの収入,,1,4,10D100370,Income from franchised stores
　　　　関係会社受取配当金,0,売上高,,関係会社受取配当金,,1,4,10D100380,Dividends from subsidiaries and associates
　　　　受取配当金,0,売上高,,受取配当金,,1,4,10D100390,Dividend income
　　　　関係会社受入手数料,0,売上高,,関係会社受入手数料,,1,4,10D100400,Commissions from subsidiaries and associates
　　　　関係会社貸付金利息,0,売上高,,関係会社貸付金利息,,1,4,10D100410,Interest on loans receivable from subsidiaries and associates
　　　　関係会社有価証券利息,0,売上高,,関係会社有価証券利息,,1,4,10D100420,Interest on securities of subsidiaries and associates
　　　　経営管理料,0,売上高,,経営管理料,,1,4,10D100430,Management fee income
　　　　経営指導料,0,売上高,,経営指導料,,1,4,10D100440,Consulting fee income
　　　　商標使用料,0,売上高,,商標使用料,,1,4,10D100450,Trademark fee income
　　　　資産利用料,0,売上高,,資産利用料,,1,4,10D100460,Asset rental income
　　　　完成業務高,0,売上高,,完成業務高,,1,4,10D100470,Completed service contracts
　　　　工事売上高,0,売上高,,工事売上高,,1,4,10D100480,Construction sales
　　　　ソフトウエア開発売上高,0,売上高,,ソフトウエア開発売上高,,1,4,10D100490,Sales of software development
　　　　情報サービス売上高,0,売上高,,情報サービス売上高,,1,4,10D100500,Sales of information service
　　　　保守売上高,0,売上高,,保守売上高,,1,4,10D100510,Sales of maintenance service
　　　　年会費収入,0,売上高,,年会費収入,,1,4,10D100520,Annual fee income
　　　　倉庫収入,0,売上高,,倉庫収入,,1,4,10D100530,Warehouse income
　　　　倉庫保管料,0,売上高,,倉庫保管料,,1,4,10D100540,Warehousing fee income
　　　　倉庫荷役料,0,売上高,,倉庫荷役料,,1,4,10D100550,Stevedoring income
　　　　運送収入,0,売上高,,運送収入,,1,4,10D100560,Transportation income
　　　　運送雑収,0,売上高,,運送雑収,,1,4,10D100570,Miscellaneous transportation income
　　　　制作収入,0,売上高,,制作収入,,1,4,10D100580,Production income
　　　　放送収入,0,売上高,,放送収入,,1,4,10D100590,Income from broadcasting business
　　　　テレビ収入,0,売上高,,テレビ収入,,1,4,10D100600,Income from television business
　　　　ラジオ収入,0,売上高,,ラジオ収入,,1,4,10D100610,Income from radio business
　　　　レンタル売上高,0,売上高,,レンタル売上高,,1,4,10D100620,Rental sales
　　　　受託品売上高,0,売上高,,受託品売上高,,1,4,10D100630,Sales of goods on consignment
　　　　買付品売上高,0,売上高,,買付品売上高,,1,4,10D100640,Indent sales
　　　　その他の売上高,0,売上高,,その他の売上高,,1,4,10D100650,Other sales
　　　　その他の事業収益,0,売上高,,その他の事業収益,,1,4,10D100660,Other business revenue
　　　　その他の事業収入,0,売上高,,その他の事業収入,,1,4,10D100670,Other business revenue
　　　　その他の営業収益,0,売上高,,その他の営業収益,,1,4,10D100680,Other operating revenue
　　　　その他の営業収入,0,売上高,,その他の営業収入,,1,4,10D100690,Other operating revenue
　　　　その他の収益,0,売上高,,その他の収益,,1,4,10D100700,Other revenue
　　　　その他の収入,0,売上高,,その他の収入,,1,4,10D100710,Other revenue
　　　　その他,0,売上高,,その他,,1,4,10D100720,Other
　　　　金融収益,,売上高,,金融収益,,T,4,10D100730,Financial revenue
　　　　　金融収益,0,売上高,,金融収益,,1,5,10D100740,Financial revenue
　　　　　融資収益,0,売上高,,融資収益,,1,5,10D100750,Financing revenue
　　　　　リース収益,0,売上高,,リース収益,,1,5,10D100760,Lease revenue
　　　　　営業投資有価証券売上高,0,売上高,,営業投資有価証券売上高,,1,5,10D100770,Revenue from operational investment securities
　　　　　割賦購入あっせん収益,0,売上高,,割賦購入あっせん収益,,1,5,10D100780,Revenue from agency services of installment purchase
　　　　　包括信用購入あっせん収益,0,売上高,,包括信用購入あっせん収益,,1,5,10D100790,Revenue from credit card business
　　　　　個別信用購入あっせん収益,0,売上高,,個別信用購入あっせん収益,,1,5,10D100800,Revenue from installment sales finance business
　　　　　受取割引料,0,売上高,,受取割引料,,1,5,10D100810,Discount revenue
　　　　　信用保証収益,0,売上高,,信用保証収益,,1,5,10D100820,Revenue from credit guarantee
　　　　　投資事業組合管理収入,0,売上高,,投資事業組合管理収入,,1,5,10D100830,Income from investment partnership management
　　　　　名義書換手数料,0,売上高,,名義書換手数料,,1,5,10D100840,Name transfer fee income
　　　　　融資代行収益,0,売上高,,融資代行収益,,1,5,10D100850,Loan agency revenue
　　　　　買取債権回収高,0,売上高,,買取債権回収高,,1,5,10D100860,Proceeds from purchased receivables
　　　　　借入有価証券代り金利息,0,売上高,,借入有価証券代り金利息,,1,5,10D100870,Interest on collateral money for securities borrowed
　　　　　有価証券貸付料,0,売上高,,有価証券貸付料,,1,5,10D100880,Charge on securities loaned
　　　　　貸借取引貸付金利息,0,売上高,,貸借取引貸付金利息,,1,5,10D100890,Interest on loans on margin transaction
　　　　　公社債貸付金利息,0,売上高,,公社債貸付金利息,,1,5,10D100900,Interest on bond financing
　　　　　一般貸付金利息,0,売上高,,一般貸付金利息,,1,5,10D100910,Interest on general loans
　　　　　投資収益,0,売上高,,投資収益,,1,5,10D100920,Gain on investments
　　　　　その他の金融収益,0,売上高,,その他の金融収益,,1,5,10D100930,Other financial revenue
　　営業活動による費用・売上原価,,売上原価,,営業活動による費用・売上原価,,T,2,10E100010,COS and expenses from operating activities
　　　売上原価,,売上原価,,売上原価,,T,3,10E100020,Cost of sales
　　　　売上原価,0,売上原価,,売上原価,,1,4,10E100030,Cost of sales
　　　営業費用,,売上原価,,営業費用,,T,3,10E100040,Operating expenses
　　　　営業費用,0,売上原価,,営業費用,,1,4,10E100050,Operating expenses
　　　営業原価,,売上原価,,営業原価,,T,3,10E100060,Operating cost
　　　　営業原価,0,売上原価,,営業原価,,1,4,10E100070,Operating cost
　　　営業活動による費用・売上原価の内訳,,売上原価,,営業活動による費用・売上原価の内訳,,T,3,10E100080,COS and expenses from operating activities - detail
　　　　商品売上原価,,売上原価,,商品売上原価,,T,4,10E100090,Cost of goods sold
　　　　　商品期首たな卸高,0,売上原価,,商品期首たな卸高,,1,5,10E100100,Beginning merchandise inventory
　　　　　総仕入高,0,売上原価,,総仕入高,,1,5,10E100110,Total purchase of goods
　　　　　仕入値引及び戻し高,0,売上原価,,仕入値引及び戻し高,,1,5,10E100120,Purchase allowance and returns
電子取引仕入値引及び戻し高,0,売上原価,,電子取引仕入割戻し高,,1,6,10E100121,Purchase allowance and returns from electronic transactions
電子取引以外仕入値引及び戻し高,0,売上原価,,電子取引以外仕入割戻し高,,1,6,10E100122,Purchase allowance and returns from traditional transactions
　　　　　当期商品仕入高,0,売上原価,,当期商品仕入高,,1,5,10E100130,Cost of purchased goods
電子取引当期商品仕入高,0,売上原価,,電子取引商品仕入高,,1,6,10E100131,Cost of purchased goods from electronic transactions
電子取引以外当期商品仕入高,0,売上原価,,電子取引以外商品仕入高,,1,6,10E100132,Cost of purchased goods from traditional transactions
　　　　　商品期末たな卸高,0,売上原価,,商品期末たな卸高,,1,5,10E100140,Ending merchandise inventory
　　　　　合計,0,売上原価,,合計,,1,5,10E100150,Total
　　　　　商品他勘定振替高,0,売上原価,,商品他勘定振替高,,1,5,10E100160,Goods transfer to other account
　　　　　商品評価損,0,売上原価,,商品評価損,,1,5,10E100170,Valuation loss on goods
　　　　　小計,0,売上原価,,小計,,1,5,10E100180,Subtotal
　　　　　差引,0,売上原価,,差引,,1,5,10E100190,Net
　　　　　商品売上原価,0,売上原価,,商品売上原価,,1,5,10E100200,Cost of goods sold
　　　　製品売上原価,,売上原価,,製品売上原価,,T,4,10E100210,Cost of finished goods sold
　　　　　製品期首たな卸高,0,売上原価,,製品期首たな卸高,,1,5,10E100220,Beginning finished goods inventory
　　　　　当期製品製造原価,0,売上原価,,当期製品製造原価,,1,5,10E100230,Cost of products manufactured
　　　　　当期製品仕入高,0,売上原価,,当期製品仕入高,,1,5,10E100240,Purchase of finished goods
　　　　　製品期末たな卸高,0,売上原価,,製品期末たな卸高,,1,5,10E100250,Ending finished goods inventory
　　　　　合計,0,売上原価,,合計,,1,5,10E100260,Total
　　　　　製品他勘定振替高,0,売上原価,,製品他勘定振替高,,1,5,10E100270,Finished goods transfer to other account
　　　　　製品評価損,0,売上原価,,製品評価損,,1,5,10E100280,Valuation loss on finished goods
　　　　　原材料評価損,0,売上原価,,原材料評価損,,1,5,10E100290,Valuation loss on raw materials
　　　　　小計,0,売上原価,,小計,,1,5,10E100300,Subtotal
　　　　　差引,0,売上原価,,差引,,1,5,10E100310,Net
　　　　　製品売上原価,0,売上原価,,製品売上原価,,1,5,10E100320,Cost of finished goods sold
　　　　他勘定振替高,0,売上原価,,他勘定振替高,,1,4,10E100330,Transfer to other account
　　　　他勘定受入高,0,売上原価,,他勘定受入高,,1,4,10E100340,Transfer from other account
　　　　合併による商品受入高,0,売上原価,,合併による商品受入高,,1,4,10E100350,Transfer of goods by merger
　　　　原価差額,0,売上原価,,原価差額,,1,4,10E100360,Cost variances
　　　　商品及び製品売上原価,0,売上原価,,商品及び製品売上原価,,1,4,10E100370,Cost of merchandise and finished goods sold
　　　　　商品及び製品期首たな卸高,0,売上原価,,商品及び製品期首たな卸高,,1,5,10E100380,Beginning inventory of merchandise and finished goods
　　　　　当期商品及び製品仕入高,0,売上原価,,当期商品及び製品仕入高,,1,5,10E100390,Cost of purchased merchandise and finished goods
　　　　　合計,0,売上原価,,合計,,1,5,10E100400,Total
　　　　　商品及び製品期末たな卸高,0,売上原価,,商品及び製品期末たな卸高,,1,5,10E100410,Ending inventory of merchandise and finished goods
　　　　原材料売上原価,0,売上原価,,原材料売上原価,,1,4,10E100420,Cost of raw material sales
　　　　サービス売上原価,0,売上原価,,サービス売上原価,,1,4,10E100430,Cost of service sales
　　　　不動産売上原価,0,売上原価,,不動産売上原価,,1,4,10E100440,Cost of sales - real estate
　　　　開発事業売上原価,0,売上原価,,開発事業売上原価,,1,4,10E100450,Cost of sales in development business
　　　　不動産事業売上原価,0,売上原価,,不動産事業売上原価,,1,4,10E100460,Cost of sales in real estate business
　　　　賃貸事業売上原価,0,売上原価,,賃貸事業売上原価,,1,4,10E100470,Cost of sales in leasing business
　　　　分譲事業売上原価,0,売上原価,,分譲事業売上原価,,1,4,10E100480,Cost of sales in residential property sales business
　　　　その他の事業売上原価,0,売上原価,,その他の事業売上原価,,1,4,10E100490,Cost of sales in other businesses
　　　　工事売上原価,0,売上原価,,工事売上原価,,1,4,10E100500,Cost of construction sales
　　　　ソフトウエア開発売上原価,0,売上原価,,ソフトウエア開発売上原価,,1,4,10E100510,Cost of sales of software development
　　　　情報サービス売上原価,0,売上原価,,情報サービス売上原価,,1,4,10E100520,Cost of sales of information service
　　　　保守売上原価,0,売上原価,,保守売上原価,,1,4,10E100530,Cost of sales of maintenance service
　　　　受託品売上原価,0,売上原価,,受託品売上原価,,1,4,10E100540,Cost of sales of goods on consignment
　　　　買付品売上原価,0,売上原価,,買付品売上原価,,1,4,10E100550,Cost of indent sales
　　　　完成業務原価,0,売上原価,,完成業務原価,,1,4,10E100560,Cost of completed service contracts
　　　　賃貸原価,0,売上原価,,賃貸原価,,1,4,10E100570,Cost of lease revenue
　　　　不動産賃貸原価,0,売上原価,,不動産賃貸原価,,1,4,10E100580,Cost of real estate lease revenue
　　　　不動産賃貸費用,0,売上原価,,不動産賃貸費用,,1,4,10E100590,Real estate lease expenses
　　　　賃貸事業原価,0,売上原価,,賃貸事業原価,,1,4,10E100600,Cost of sales in leasing business
　　　　分譲事業原価,0,売上原価,,分譲事業原価,,1,4,10E100610,Cost of sales in residential property sales business
　　　　その他の事業原価,0,売上原価,,その他の事業原価,,1,4,10E100620,Cost of sales in other businesses
　　　　ソフトウエア償却費,0,売上原価,,ソフトウエア償却費,,1,4,10E100630,Amortization of software
　　　　維持運転費,0,売上原価,,維持運転費,,1,4,10E100640,Maintenance and operating expenses
