伝票日付,借方部門コード,借方部門名,借方科目コード,借方科目名,借方補助コード,借方補助名,借方税区分名,借方金額,借方消費税額,貸方部門名,貸方科目コード,貸方科目名,貸方補助コード,貸方補助名,貸方税区分コード,貸方税区分名,貸方金額,貸方消費税額,摘要文,取引先
20210430,020,東京支店,541,商品仕入高,,,仕入10%,2584863,234987,共通部門,312,買掛金,14,(同)ｳｪｽﾄ,00,対象外,2584863,,4月1日～4月30日分仕入,(同)ｳｪｽﾄ
20210430,020,東京支店,541,商品仕入高,,,仕入10%,1263652,114877,共通部門,312,買掛金,13,ﾅｶﾑﾗ産業㈱,00,対象外,1263652,,4月1日～4月30日分仕入,ﾅｶﾑﾗ産業㈱
20210430,020,東京支店,541,商品仕入高,,,仕入10%,409145,37195,共通部門,312,買掛金,2,㈱Pole,00,対象外,409145,,4月1日～4月30日分仕入,㈱Pole
20210430,030,名古屋支店,541,商品仕入高,,,仕入10%,152913,13901,共通部門,312,買掛金,2,㈱Pole,00,対象外,152913,,4月1日～4月30日分仕入,㈱Pole
20210430,040,大阪支店,541,商品仕入高,,,仕入10%,293427,26675,共通部門,312,買掛金,2,㈱Pole,00,対象外,293427,,4月1日～4月30日分仕入,㈱Pole
20210430,050,九州営業所,541,商品仕入高,,,仕入10%,74390,6762,共通部門,312,買掛金,2,㈱Pole,00,対象外,74390,,4月1日～4月30日分仕入,㈱Pole
20210430,010,札幌営業所,541,商品仕入高,,,仕入10%,185975,16906,共通部門,312,買掛金,2,㈱Pole,00,対象外,185975,,4月1日～4月30日分仕入,㈱Pole
20210430,020,東京支店,541,商品仕入高,,,仕入10%,6031869,548351,共通部門,312,買掛金,1,㈱Y2,00,対象外,6031869,,4月1日～4月30日分仕入,㈱Y2
20210430,000,共通部門,312,買掛金,1,㈱Y2,対象外,73207,,東京支店,551,仕入値引戻し高,,,R5,仕返10%,73207,6655,4月1日～4月30日分仕入,㈱Y2
20210430,040,大阪支店,541,商品仕入高,,,仕入10%,905555,82323,共通部門,312,買掛金,4,㈱ｱﾀｯﾁ,00,対象外,905555,,4月1日～4月30日分仕入,㈱ｱﾀｯﾁ
20210430,030,名古屋支店,541,商品仕入高,,,仕入10%,3387545,307958,共通部門,312,買掛金,7,㈱ｻﾝｾｯﾄ,00,対象外,3387545,,4月1日～4月30日分仕入,㈱ｻﾝｾｯﾄ
20210430,020,東京支店,541,商品仕入高,,,仕入10%,2915080,265007,共通部門,312,買掛金,3,㈱ﾁｪｯｸ,00,対象外,2915080,,4月1日～4月30日分仕入,㈱ﾁｪｯｸ
20210430,000,共通部門,312,買掛金,3,㈱ﾁｪｯｸ,対象外,21672,,東京支店,551,仕入値引戻し高,,,R5,仕返10%,21672,1970,4月1日～4月30日分仕入,㈱ﾁｪｯｸ
20210430,040,大阪支店,541,商品仕入高,,,仕入10%,3320176,301834,共通部門,312,買掛金,6,㈱ﾊﾅﾀﾞ,00,対象外,3320176,,4月1日～4月30日分仕入,㈱ﾊﾅﾀﾞ
20210430,000,共通部門,312,買掛金,6,㈱ﾊﾅﾀﾞ,対象外,22478,,大阪支店,551,仕入値引戻し高,,,R5,仕返10%,22478,2043,4月1日～4月30日分仕入,㈱ﾊﾅﾀﾞ
20210430,030,名古屋支店,541,商品仕入高,,,仕入10%,1113366,101215,共通部門,312,買掛金,15,㈱はなまる商事,00,対象外,1113366,,4月1日～4月30日分仕入,㈱はなまる商事
20210430,000,共通部門,312,買掛金,15,㈱はなまる商事,対象外,16968,,名古屋支店,551,仕入値引戻し高,,,R5,仕返10%,16968,1542,4月1日～4月30日分仕入,㈱はなまる商事
20210430,020,東京支店,541,商品仕入高,,,仕入10%,4109548,373595,共通部門,312,買掛金,11,㈱まつむら,00,対象外,4109548,,4月1日～4月30日分仕入,㈱まつむら
20210430,010,札幌営業所,541,商品仕入高,,,仕入10%,23688,2153,共通部門,312,買掛金,8,㈱山下,00,対象外,23688,,4月1日～4月30日分仕入,㈱山下
20210430,020,東京支店,541,商品仕入高,,,仕入10%,189504,17227,共通部門,312,買掛金,8,㈱山下,00,対象外,189504,,4月1日～4月30日分仕入,㈱山下
20210430,030,名古屋支店,541,商品仕入高,,,仕入10%,42638,3876,共通部門,312,買掛金,8,㈱山下,00,対象外,42638,,4月1日～4月30日分仕入,㈱山下
20210430,040,大阪支店,541,商品仕入高,,,仕入10%,71064,6460,共通部門,312,買掛金,8,㈱山下,00,対象外,71064,,4月1日～4月30日分仕入,㈱山下
20210430,050,九州営業所,541,商品仕入高,,,仕入10%,23688,2153,共通部門,312,買掛金,8,㈱山下,00,対象外,23688,,4月1日～4月30日分仕入,㈱山下
20210430,020,東京支店,541,商品仕入高,,,仕入10%,322812,29346,共通部門,312,買掛金,12,㈱有江,00,対象外,322812,,4月1日～4月30日分仕入,㈱有江
20210430,040,大阪支店,541,商品仕入高,,,仕入10%,3445686,313244,共通部門,312,買掛金,5,小藤丸㈱,00,対象外,3445686,,4月1日～4月30日分仕入,小藤丸㈱
20210430,000,共通部門,312,買掛金,5,小藤丸㈱,対象外,21674,,大阪支店,551,仕入値引戻し高,,,R5,仕返10%,21674,1970,4月1日～4月30日分仕入,小藤丸㈱
20210430,030,名古屋支店,541,商品仕入高,,,仕入10%,1733105,157555,共通部門,312,買掛金,9,斉藤産業㈱,00,対象外,1733105,,4月1日～4月30日分仕入,斉藤産業㈱
20210430,000,共通部門,312,買掛金,9,斉藤産業㈱,対象外,11793,,名古屋支店,551,仕入値引戻し高,,,R5,仕返10%,11793,1072,4月1日～4月30日分仕入,斉藤産業㈱
20210430,040,大阪支店,541,商品仕入高,,,仕入10%,2891993,262908,共通部門,312,買掛金,10,鈴木販売㈱,00,対象外,2891993,,4月1日～4月30日分仕入,鈴木販売㈱
