type,shape,label,description,uri,thumbnail,source_seq,target_seq,group,visible,text_color,text_size,color,style,size,width,height,radius,x,y,seq
Topic,RECTANGLE,Sales Invoice,,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-800,-800,1
Topic,RECTANGLE,ID(1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-600,-760,2
Topic,RECTANGLE,Due Date(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-600,-720,3
Topic,RECTANGLE,Accounting Period(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-600,-680,4
Topic,RECTANGLE,Fiscal Year(1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-400,-640,5
Topic,RECTANGLE,ID(1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-400,-600,6
Topic,RECTANGLE,Activities(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-600,-560,7
Topic,RECTANGLE,(Created) Activity(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-400,-520,8
Topic,RECTANGLE,Date(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-200,-480,9
Topic,RECTANGLE,Time(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-200,-440,10
Topic,RECTANGLE,User(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-200,-400,11
Topic,RECTANGLE,ID(1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-181,-357,12
Topic,RECTANGLE,(Transaction) Amount(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-600,-320,13
Topic,RECTANGLE,Value(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-400,-280,14
Topic,RECTANGLE,Currency(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-400,-240,15
Topic,RECTANGLE,Code(1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-200,-200,16
Topic,RECTANGLE,Customer(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-600,-160,17
Topic,RECTANGLE,Account ID(1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-400,-120,18
Topic,RECTANGLE,Tax(0..*),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-600,-80,19
Topic,RECTANGLE,(Transaction) Amount(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-400,-40,20
Topic,RECTANGLE,Value(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-201,-0,21
Topic,RECTANGLE,Currency(0..1),,,,,,,TRUE,DarkSlateGray,M,Ivory,,,240,32,,-200,40,22
